scenario,US_phase_pol,US_price_pol,US_cp_pol,CN_phase_pol,CN_price_pol,CN_cp_pol,IN_phase_pol,IN_price_pol,IN_cp_pol,RGS_phase_pol,RGS_price_pol,RGS_cp_pol,RGN_phase_pol,RGN_price_pol,RGN_cp_pol,learning_solar,learning_wind,lifetime_solar,lifetime_wind,lead_onshore,lead_solar,lead_commission,cr_wind,cr_solar,discr,elec_demand,ccgt_price,coal_price,tech_potential
S4_baseline,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319,-0.194,30,26,2,1,2,0,0,0.5,0.5,0.5,0.5,0.5
S4_IN_hi_cf_lo,0,0.5,0,0,0,0,1,1,1,0,0,0,0,0,0,-0.319,-0.194,30,26,2,1,2,3,3,0.5,0.5,0.5,0.5,0.5
S4_IN_hi_cf_hi,0,0.5,0,0,0,0,1,1,1,0,0,0,0,0,0,-0.319,-0.194,30,26,2,1,2,-3,-3,0.5,0.5,0.5,0.5,0.5
S4_base_allcf_lo,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319,-0.194,30,26,2,1,2,3,3,0.5,0.5,0.5,0.5,0.5
S4_base_allcf_hi,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319,-0.194,30,26,2,1,2,-3,-3,0.5,0.5,0.5,0.5,0.5
S4_base_windcf_hi_solcf_lo,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319,-0.194,30,26,2,1,2,-3,3,0.5,0.5,0.5,0.5,0.5
S4_base_windcf_lo_solcf_hi,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.319,-0.194,30,26,2,1,2,3,-3,0.5,0.5,0.5,0.5,0.5
