scenario,heat_rebound,trans_rebound,heat_lifetime,trans_turnover,lead_onshore,lead_solar,cr_wind,cr_solar
S3_1,1.028,0.729,21.366,0.273,1.298,2.447,-0.794,-1.035
S3_2,1.262,0.725,24.735,0.215,2.193,1.78,-0.989,-2.984
S3_3,0.634,1.406,20.648,0.331,0.541,1.222,-0.753,-2.589
S3_4,1.122,1.044,23.7,0.193,1.402,2.999,-1.39,-3.118
S3_5,1.176,1.091,16.612,0.218,2.652,2.427,-0.254,-0.701
S3_6,0.856,0.744,24.001,0.223,2.605,1.839,-0.916,-2.653
S3_7,1.423,0.821,23.656,0.267,1.563,1.409,-1.534,-3.276
S3_8,0.899,1.329,22.888,0.151,0.878,1.706,-1.057,-0.905
S3_9,1.326,1.182,24.47,0.28,2.47,2.824,-0.543,-0.993
S3_10,0.523,1.239,16.899,0.225,2.68,1.265,-0.374,-2.503
S3_11,0.557,0.575,21.871,0.283,2.595,2.051,-0.218,-0.334
S3_12,0.788,1.426,24.49,0.332,1.059,2.259,-0.765,-1.764
S3_13,0.816,1.004,21.83,0.196,1.358,2.53,-0.176,-2.741
S3_14,1.241,1.128,23.256,0.324,2.91,0.685,-1.866,-3.24
S3_15,1.066,0.801,23.382,0.256,1.499,0.995,-0.381,-2.224
S3_16,1.404,0.721,16.543,0.235,0.738,0.603,-1.124,-2.303
S3_17,0.967,1.38,19.022,0.235,2.81,2.787,-1.094,-0.691
S3_18,1.426,0.965,20.669,0.195,1.539,1.883,-1.332,-0.669
S3_19,0.53,0.984,19.187,0.239,1.642,1.34,-1.728,-2.267
S3_20,0.637,1.34,19.034,0.259,2.075,2.306,-1.212,-2.831
S3_21,0.521,1.143,20.785,0.188,1.516,1.151,-1.926,-0.87
S3_22,0.575,0.617,17.583,0.152,2.923,2.164,-1.801,-0.815
S3_23,1.32,1.414,16.688,0.348,2.374,2.403,-1.595,-0.238
S3_24,0.563,0.642,19.196,0.323,1.166,2.837,-1.338,-0.807
S3_25,0.831,0.797,23.301,0.269,1.84,1.81,-0.84,-0.518
S3_26,0.828,1.15,22.514,0.316,1.91,2.755,-1.77,-3.152
S3_27,1.355,1.455,17.94,0.334,2.261,2.884,-0.962,-2.313
S3_28,1.098,1.251,18.631,0.317,2.491,2.212,-1.111,-2.155
S3_29,1.294,1.429,21.717,0.223,1.682,1.319,-0.43,-0.309
S3_30,0.744,0.867,20.087,0.157,1.218,1.797,-1.546,-2.269
S3_31,0.725,0.961,23.475,0.318,2.343,2.606,-0.641,-0.773
S3_32,0.975,0.655,19.259,0.32,2.055,2.23,-1.037,-1.365
S3_33,1.367,0.696,23.756,0.18,1.664,1.451,-1.055,-2.306
S3_34,1.324,1.289,18.882,0.18,1.966,1.584,-1.762,-3.021
S3_35,0.793,1.224,19.699,0.238,2.328,1.098,-0.56,-1.625
S3_36,1.384,1.061,17.886,0.167,1.153,1.123,-1.988,-0.221
S3_37,0.883,0.838,20.228,0.175,1.914,0.96,-1.348,-3.055
S3_38,0.932,1.398,16.167,0.157,1.318,1.666,-0.361,-2.521
S3_39,1.457,1.016,22.603,0.242,2.057,0.54,-1.845,-2.434
S3_40,1.187,0.814,19.619,0.21,2.553,2.098,-0.493,-1.448
