"scenario","US_phase_pol","US_price_pol","US_cp_pol","CN_phase_pol","CN_price_pol","CN_cp_pol","IN_phase_pol","IN_price_pol","IN_cp_pol","RGS_phase_pol","RGS_price_pol","RGS_cp_pol","RGN_phase_pol","RGN_price_pol","RGN_cp_pol","learning_solar","learning_wind","lifetime_solar","lifetime_wind","lead_onshore","lead_solar","lead_commission","cr_wind","cr_solar","discr","elec_demand","ccgt_price","coal_price","tech_potential"
"S3_1",0.17,0.72,0.84,0.81,0.24,0.31,0.17,0.78,0.22,0.77,0.17,0.23,0.43,0.7,0.46,0.703488372093023,0.445121951219512,0.4302,0.9373,0.144,0.953,0.599,0.0452674897119342,0.1455919395466,0.667,0.65,0.893,0.002,0.031
"S3_2",0.06,0.45,0.55,0.69,0.23,0.17,0.81,0.29,0.88,0.74,0.31,0.53,0.09,0.32,0,0.546511627906977,0.408536585365854,0.7516,0.8307,0.0819999999999999,0.9915,0.973,0.664609053497942,0.927455919395466,0.931,0.418,0.313,0.493,0.415
"S3_3",0.59,0.73,0.83,0.48,0.35,0.61,0.99,0.87,0.18,0.33,0.63,0.83,0.18,0.27,0.1,0.302325581395349,0.951219512195122,0.4475,0.7999,0.0430000000000001,0.9855,0.119,0.524691358024691,0.568765743073048,0.392,0.569,0.219,0.971,0.827
"S3_4",0.12,0.11,0.69,0.81,0.37,0.68,0.39,0.08,0.71,0.71,0.78,0.23,0.57,0.66,0.63,0.988372093023256,0.231707317073171,0.8412,0.8835,0.282,0.3875,0.721,0.351851851851852,0.849370277078086,0.768,0.127,0.924,0.097,0.811
"S3_5",0.39,0.69,0.22,0.21,0.92,0.76,0.67,0.84,0.21,0.85,0.77,0.36,0.5,0.46,0.65,0.151162790697674,0.25,0.6035,0.8237,0.837,0.6945,0.202,0.137860082304527,0.24735516372796,0.624,0.038,0.762,0.149,0.629
"S3_6",0.45,0.94,0.5,0.05,0.86,0.3,0.27,0.73,0.77,0.57,0.91,0.04,0.45,0.66,0.28,0.0232558139534882,0.585365853658536,0.5792,0.5761,0.263,0.6075,0.856,0.00617283950617287,0.908816120906801,0.786,0.632,0.849,0.563,0.51
"S3_7",0.09,0.18,0.01,0.15,0.03,0.09,0.96,0.11,0.96,0.82,0.07,0.25,0.78,0.92,0.98,0.593023255813953,0.707317073170732,0.5664,0.0280999999999999,0.501,0.824,0.715,0.502057613168724,0.0947103274559195,0.673,0.591,0.499,0.359,0.043
"S3_8",0.2,0.32,0.24,0.52,0.04,0.89,0.4,0.91,0.11,0.15,0.56,0.75,0.4,0.51,0.11,0.936046511627907,0.74390243902439,0.3094,0.8585,0.322,0.056,0.531,1,0.221662468513854,0.166,0.836,0.994,0.019,0.14
"S3_9",0.24,0.71,0.5,0.16,0.12,0.7,0.96,0.8,0.66,0.66,0.34,0.3,0.83,0.77,0.83,0.872093023255814,0.615853658536585,0.6868,0.9979,0.0710000000000002,0.5855,0.883,0.94238683127572,0.430730478589421,0.549,0.139,0.919,0.721,0.693
"S3_10",0.92,0.5,0.75,0.54,0.56,0.92,0.09,0.79,0.78,0.27,0.71,0.73,0.66,0.28,0.4,0.831395348837209,0.847560975609756,0.5415,0.9697,0.69,0.37,0.544,0.226337448559671,0.503778337531486,0.938,0.265,0.785,0.215,0.379
"S3_11",0.79,0.21,0.13,0.4,0.5,0.03,0.7,0.8,0.81,0.96,0.21,0.28,0.7,0.71,0.73,0.744186046511628,0.573170731707317,0.5061,0.0459,0.594,0.3625,0.518,0.374485596707819,0.0876574307304787,0.048,0.893,0.949,0.153,0.74
