,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,13787.6498948565,3088.46618950268,0.061829282698563595,0.03614,0.038,0.02,0.15,15,2.1347373394872484,14577,0.375,5.466375,-0.2145720000000002,147.93729762646632,4,-0.014499569695115089,4,0.01023947651311757
2 Petrol  Mid,15816.5864246539,3317.42791083568,0.06903560772103917,0.03604150175371148,0.051,0.03,0.15,15,2.383545192894826,14577,0.375,5.466375,-0.5206199999999999,165.17968186761144,4,-0.014499569695115089,4,0.01023947651311757
3 Petrol Lux,35516.8403998879,17513.5711022516,0.07005552114505186,0.06791081121001138,0.064,0.03,0.15,15,2.4187590458502113,14577,0.375,5.466375,-0.9596879999999999,167.62000187741964,4,-0.014499569695115089,4,0.01023947651311757
4 Adv Petrol Econ,13787.6498948565,3088.46618950268,0.059375,0.026,0.038,0.02,0.15,15,2.05,14577,0.375,5.466375,-0.2145720000000002,142.065,4,-0.07400058144377691,4,0.01023947651311757
5 Adv Petrol Mid,15816.5864246539,3317.42791083568,0.06785714285714285,0.026,0.051,0.03,0.15,15,2.3428571428571425,14577,0.375,5.466375,-0.5206199999999999,162.35999999999996,4,-0.07400058144377691,4,0.01023947651311757
6 Adv Petrol Lux,35516.8403998879,17513.5711022516,0.06785714285714285,0.052,0.064,0.03,0.15,15,2.3428571428571425,14577,0.375,5.466375,-0.9596879999999999,162.35999999999996,4,-0.07400058144377691,4,0.01023947651311757
7 Diesel Econ,13463,1000,0.04583333333333334,0.06,0.038,0.02,0.15,15,1.4916666666666665,14577,0.375,5.466375,-0.15999999999999992,110.53249999999998,4,-0.014499569695115089,4,0.01023947651311757
8 Diesel Mid,22950,1000,0.04719000000000001,0,0.051,0.03,0.15,15,1.53582,14577,0.375,5.466375,-0.5426360000000001,113.80426200000001,4,-0.014499569695115089,4,0.01023947651311757
9 Diesel Lux,23076.9352320675,14076.4986206936,0.1003839565209326,0.1002,0.064,0.04,0.15,15,3.267041494044897,14577,0.375,5.466375,-0.906668,242.08777470872684,4,-0.014499569695115089,4,0.01023947651311757
10 Adv Diesel Econ,13463,1000,0.04583333333333334,0.06,0.038,0,0.15,15,1.4916666666666665,14577,0.375,5.466375,-0.15999999999999992,110.53249999999998,4,-0.07400058144377691,4,0.01023947651311757
11 Adv Diesel Mid,22950,1000,0.04782608695652174,0.06,0.051,0,0.15,15,1.5565217391304347,14577,0.375,5.466375,-0.5426360000000001,115.33826086956522,4,-0.07400058144377691,4,0.01023947651311757
12 Adv Diesel Lux,23076.9352320675,14076.4986206936,0.1,0.06,0.064,0,0.15,15,3.2545454545454544,14577,0.375,5.466375,-0.906668,241.16181818181818,4,-0.07400058144377691,4,0.01023947651311757
13 LPG Econ,14136.150000000001,1050,0,0,0.039,0.02,0.15,15,2.2375,14577,0.375,5.466375,0,125.52374999999998,4,-0.014499569695115089,4,0
14 LPG Mid,24097.5,1050,0,0,0.056,0.03,0.15,15,2.3428571428571425,14577,0.375,5.466375,0,131.43428571428572,4,-0.014499569695115089,4,0
15 LPG Lux,24230.781993670877,14780.32355172828,0,0,0.066,0.04,0.15,15,2.3428571428571425,14577,0.375,5.466375,0,131.43428571428572,4,-0.014499569695115089,4,0
16 Hybrid Econ,14000,1000,0.027142857142857142,0.026,0.039,0.03,0.15,15,0.937142857142857,14577,0.375,5.466375,-1.627908,64.94399999999999,4,-0.15200309344504995,4,0
17 Hybrid Mid,41500,1000,0.027169999999999996,0.026,0.056,0.04,0.15,15,0.9380799999999999,14577,0.375,5.466375,-1.88,65.008944,4,-0.15200309344504995,4,0
18 Hybrid Lux,42000,1000,0.0475,0.026,0.066,0.04,0.15,15,1.64,14577,0.375,5.466375,-2,113.652,4,-0.15200309344504995,4,0
19 Electric Econ,14000,1000,0.030000000000000002,0,0.046,0.04,0.15,15,0.54,14577,0.375,5.466375,0,0,4,-0.15200309344504995,4,0
20 Electric Mid,41500,1000,0.042,0,0.065,0.05,0.15,15,0.756,14577,0.375,5.466375,0,0,4,-0.15200309344504995,4,0
21 Electric Lux,42000,1000,0.052000000000000005,0,0.08,0.06,0.15,15,0.936,14577,0.375,5.466375,0,0,4,-0.15200309344504995,4,0
22 motorcycles Econ,1307,256,0.016964285714285713,0.15002,0.03,0.03,0.15,7,0.5857142857142856,7288.5,0.55,5.466375,1.261704,40.58999999999999,4,-0.014499569695115089,3,0
23 motorcycles Lux,2597,1181,0.024739583333333332,0.0923,0.04,0.03,0.15,7,0.8541666666666666,7288.5,0.55,5.466375,0.48062000000000005,59.19375,4,-0.014499569695115089,3,0
24 Adv motorcycles Econ,1307,256,0.02777777777777778,0,0,0,0.15,7,0.5,7288.5,0.55,5.466375,1.261704,0,4,-0.014499569695115089,3,0
25 Adv motorcycles Lux,2597,1181,0.04166666666666667,0,0,0,0.15,7,0.75,7288.5,0.55,5.466375,0.48062000000000005,0,4,-0.014499569695115089,3,0
