,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,17938.8440988841,2283.82295486209,0.06091719127031918,0.03203659555915143,0.038,0.02,0.15,11,2.2654012173089217,17615,0.375,6.605625,0,156.99230435950827,4,-0.014499569695115089,4,0.0
2 Petrol  Mid,20749.2281161389,4391.19518627269,0.06259833205493077,0.02583080898934627,0.051,0.03,0.15,11,2.3279198315212346,17615,0.375,6.605625,0.179532,161.32484432442155,4,-0.014499569695115089,4,0.0
3 Petrol Lux,29743.9630186508,15587.9227900628,0.0791577329291691,0.03325661780855908,0.064,0.03,0.15,11,2.9437342858012996,17615,0.375,6.605625,-1.23395,204.00078600603007,4,-0.014499569695115089,4,0.0
4 Adv Petrol Econ,17938.8440988841,2283.82295486209,0.05801637263839922,0.03363842533710901,0.038,0.02,0.15,11,2.1575249688656397,17615,0.375,6.605625,0,149.51648034238883,4,-0.07400058144377691,4,0.0
5 Adv Petrol Mid,20749.2281161389,4391.19518627269,0.05961745909993406,0.027122349438813587,0.051,0.03,0.15,11,2.2170665062106996,17615,0.375,6.605625,0.179532,153.64270888040147,4,-0.07400058144377691,4,0.0
6 Adv Petrol Lux,29743.9630186508,15587.9227900628,0.07538831707539914,0.034919448698987034,0.064,0.03,0.15,11,2.8035564626679044,17615,0.375,6.605625,-1.23395,194.28646286288577,4,-0.07400058144377691,4,0.0
7 Diesel Econ,21526.612918660918,2283.82295486209,0.04452,0.002,0.038,0.02,0.15,11,1.7383999999999997,17615,0.375,6.605625,-0.237672,128.81543999999997,4,-0.014499569695115089,4,0.0
8 Diesel Mid,24899.07373936668,4391.19518627269,0.04629750075765225,0.00861709449529718,0.051,0.03,0.15,11,1.8078071724416593,17615,0.375,6.605625,-1.16651,133.95851147792695,4,-0.014499569695115089,4,0.0
9 Diesel Lux,35692.75562238096,15587.9227900628,0.06826734742434364,0.00722639156261476,0.064,0.04,0.15,11,2.6656773756172276,17615,0.375,6.605625,1.5116299999999998,197.52669353323657,4,-0.014499569695115089,4,0.0
10 Adv Diesel Econ,17938.8440988841,2283.82295486209,0.04239999999999999,0.0021000000000000003,0.038,0,0.15,11,1.655619047619047,17615,0.375,6.605625,-0.237672,122.6813714285714,4,-0.07400058144377691,4,0.0
11 Adv Diesel Mid,20749.2281161389,4391.19518627269,0.04409285786443072,0.009047949220062041,0.051,0,0.15,11,1.7217211166111042,17615,0.375,6.605625,-1.16651,127.57953474088282,4,-0.07400058144377691,4,0.0
12 Adv Diesel Lux,29743.9630186508,15587.9227900628,0.06501652135651775,0.007587711140745497,0.064,0,0.15,11,2.538740357730693,17615,0.375,6.605625,1.5116299999999998,188.12066050784435,4,-0.07400058144377691,4,0.0
13 LPG Econ,17938.8440988841,2283.82295486209,0.04,0.002,0.039,0.02,0.15,11,2.1866666666666665,17615,0.375,6.605625,0,122.67199999999998,4,-0.014499569695115089,4,0
14 LPG Mid,20749.2281161389,4391.19518627269,0.04285714285714286,0.002,0.056,0.03,0.15,11,2.3428571428571425,17615,0.375,6.605625,0,131.43428571428572,4,-0.014499569695115089,4,0
15 LPG Lux,29743.9630186508,15587.9227900628,0.05454545454545454,0,0.066,0.04,0.15,11,2.9818181818181815,17615,0.375,6.605625,0,167.27999999999997,4,-0.014499569695115089,4,0
16 Hybrid Econ,23957.550257732,983.872756288609,0.03528,0.013,0.039,0.03,0.15,11,1.3119999999999998,17615,0.375,6.605625,0,90.9216,4,-0.15200309344504995,4,0
17 Hybrid Mid,28795.284250738,3880.98809317751,0.03439799999999999,0.013,0.056,0.04,0.15,11,1.2791999999999997,17615,0.375,6.605625,-0.18000000000000016,88.64855999999999,4,-0.15200309344504995,4,0
18 Hybrid Lux,34007.2622574392,14743.8784348957,0.07056,0.013,0.066,0.04,0.15,11,2.6239999999999997,17615,0.375,6.605625,-0.4800000000000001,181.8432,4,-0.15200309344504995,4,0
19 Electric Econ,29743.9630186508,15587.9227900628,0.007,0,0.046,0.04,0.15,11,0.54,17615,0.375,6.605625,0,22.437167942583734,4,-0.15200309344504995,4,0
20 Electric Mid,30706.9364273395,3748.63280725194,0.009,0,0.065,0.05,0.15,11,0.756,17615,0.375,6.605625,0,31.412035119617226,4,-0.15200309344504995,4,0
21 Electric Lux,90229.3966041902,24941.7241790664,0.01,0,0.08,0.06,0.15,11,0.936,17615,0.375,6.605625,0,38.89109110047848,4,-0.15200309344504995,4,0
22 motorcycles Econ,3150,100,0.01909090909090909,0.002,0.03,0.03,0.15,11,0.7454545454545454,4100,0.55,2.255,0.140466,51.65999999999999,2,-0.014499569695115089,3,0
23 motorcycles Lux,8146,932,0.03,0.008,0.04,0.03,0.15,11,1.1714285714285713,4100,0.55,2.255,-0.66,81.17999999999998,2,-0.014499569695115089,3,0
24 Adv motorcycles Econ,3150,100,0.05555555555555556,0,0,0,0.15,11,1,4100,0.55,2.255,0.140466,0,2,-0.014499569695115089,3,0
25 Adv motorcycles Lux,8146,932,0.06944444444444445,0,0,0,0.15,11,1.25,4100,0.55,2.255,-0.66,0,2,-0.014499569695115089,3,0
