,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,11832.8964826504,9961.81767856764,0.037275438511403323,0.000122472217754824,0.038,0.02,0.15,14,2.1079903158172915,18550,0.375,6.95625,0.9237199999999999,146.0837288861383,4,-0.014499569695115089,4,0.00263452995568514
2 Petrol  Mid,24056.5877715853,31569.6674667634,0.041569092200422375,0.000113085375879867,0.051,0.03,0.15,14,2.3508038347825067,18550,0.375,6.95625,-0.1965880000000002,162.9107057504277,4,-0.014499569695115089,4,0.00263452995568514
3 Petrol Lux,60096.1959926536,52369.2904508497,0.052516724305094346,0.000196288394621582,0.064,0.03,0.15,14,2.9699113055294735,18550,0.375,6.95625,-1.188836,205.81485347319253,4,-0.014499569695115089,4,0.00263452995568514
4 Adv Petrol Econ,11832.8964826504,9961.81767856764,0.03354789466026299,0.0001102249959793416,0.038,0.02,0.15,14,1.8971912842355623,18550,0.375,6.95625,0.9237199999999999,131.47535599752445,4,-0.07400058144377691,4,0.00263452995568514
5 Adv Petrol Mid,24056.5877715853,31569.6674667634,0.03741218298038014,0.0001017768382918803,0.051,0.03,0.15,14,2.115723451304256,18550,0.375,6.95625,-0.1965880000000002,146.61963517538496,4,-0.07400058144377691,4,0.00263452995568514
6 Adv Petrol Lux,60096.1959926536,52369.2904508497,0.04726505187458491,0.00017665955515942385,0.064,0.03,0.15,14,2.6729201749765257,18550,0.375,6.95625,-1.188836,185.23336812587323,4,-0.07400058144377691,4,0.00263452995568514
7 Diesel Econ,20000,1000,0.01904,1e-06,0.038,0.02,0.15,14,1.2171999999999998,18550,0.375,6.95625,-0.3999999999999999,90.19451999999998,4,-0.014499569695115089,4,0.00263452995568514
8 Diesel Mid,26859.5407577497,6749.5811509546,0.025022548794489126,9.22073927726037e-06,0.051,0.03,0.15,14,1.5996557979334118,18550,0.375,6.95625,-0.769612,118.53449462686582,4,-0.014499569695115089,4,0.00263452995568514
9 Diesel Lux,44236.5976331361,10102.8166123324,0.04289103448275862,2.34999637292338e-05,0.064,0.04,0.15,14,2.7419625615763543,18550,0.375,6.95625,-1.00372,203.17942581280786,4,-0.014499569695115089,4,0.00263452995568514
10 Adv Diesel Econ,20000,1000,0.017136000000000002,9.000000000000002e-07,0.038,0,0.15,14,1.09548,18550,0.375,6.95625,-0.3999999999999999,81.175068,4,-0.07400058144377691,4,0.00263452995568514
11 Adv Diesel Mid,26859.5407577497,6749.5811509546,0.022520293915040214,8.298665349534334e-06,0.051,0,0.15,14,1.4396902181400706,18550,0.375,6.95625,-0.769612,106.68104516417924,4,-0.07400058144377691,4,0.00263452995568514
12 Adv Diesel Lux,44236.5976331361,10102.8166123324,0.038601931034482756,2.1149967356310422e-05,0.064,0,0.15,14,2.467766305418719,18550,0.375,6.95625,-1.00372,182.86148323152707,4,-0.07400058144377691,4,0.00263452995568514
13 LPG Econ,20000,1000,0,0,0.039,0.02,0.15,14,0,18550,0.375,6.95625,0,0,4,-0.014499569695115089,4,0
14 LPG Mid,30000,1000,0,0,0.056,0.03,0.15,14,0,18550,0.375,6.95625,0,0,4,-0.014499569695115089,4,0
15 LPG Lux,40000,1000,0,0,0.066,0.04,0.15,14,0,18550,0.375,6.95625,0,0,4,-0.014499569695115089,4,0
16 Hybrid Econ,23578.2261195584,2997.58970178627,0.02764090814413662,3.49648868767977e-05,0.039,0.03,0.15,14,1.5631410122891054,18550,0.375,6.95625,-2,108.325672151635,4,-0.15200309344504995,4,0
17 Hybrid Mid,42841.9226985242,13879.5299023587,0.028568090887795737,0.0001303561702189,0.056,0.04,0.15,14,1.6155747950339658,18550,0.375,6.95625,-2,111.95933329585384,4,-0.15200309344504995,4,0
18 Hybrid Lux,199320,64880.3390866601,0.021370769230769204,0.000112307692307692,0.066,0.04,0.15,14,1.2085538461538445,18550,0.375,6.95625,-2,83.75278153846142,4,-0.15200309344504995,4,0
19 Electric Econ,40000,1000,0.004,1e-05,0.046,0.04,0.15,14,0.54,18550,0.375,6.95625,0,0,4,-0.15200309344504995,4,0
20 Electric Mid,50000,1000,0.005,0.0002,0.065,0.05,0.15,14,0.756,18550,0.375,6.95625,0,0,4,-0.15200309344504995,4,0
21 Electric Lux,60000,1000,0.006,0.0002,0.08,0.06,0.15,14,0.936,18550,0.375,6.95625,0.04651199999999989,0,4,-0.15200309344504995,4,0
22 motorcycles Econ,1504,404,0.012121999999999999,2.38e-05,0.038,0.03,0.15,7,0.6855199999999999,4000,0.55,2.2,0.971784,47.50653599999999,2,-0.014499569695115089,3,0
23 motorcycles Lux,5974,5360,0.014151999999999998,3.74e-05,0.05,0.03,0.15,7,0.8003199999999999,4000,0.55,2.2,-0.3600000000000001,55.46217599999999,2,-0.014499569695115089,3,0
24 Adv motorcycles Econ,1504,404,0,0,0.05,0.03,0.15,7,0,4000,0.55,2.2,0.971784,0,2,-0.014499569695115089,3,0
25 Adv motorcycles Lux,5974,5360,0,0,0.05,0.03,0.15,7,0,4000,0.55,2.2,-0.3600000000000001,0,2,-0.014499569695115089,3,0
