,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,10982.9016340572,1515.07314883922,6.53924747366158,0.00408444449912511,0.038,0.02,0.15,12,2.1448731713609983,18000,0.375,6.75,0.08000000000000007,148.63971077531718,4,-0.014499569695115089,4,0.0175172271206975
2 Petrol  Mid,16276.8654924074,4918.24140524239,6.93252771078263,0.0046931190244007695,0.051,0.03,0.15,12,2.2738690891367024,18000,0.375,6.75,0,157.57912787717348,4,-0.014499569695115089,4,0.0175172271206975
3 Petrol Lux,36951.5571313632,53656.4141798216,9.79683070084075,0.4336779511728368,0.064,0.03,0.15,12,3.213360469875766,18000,0.375,6.75,-0.31999999999999995,222.68588056239057,4,-0.014499569695115089,4,0.0175172271206975
4 Adv Petrol Econ,10982.9016340572,1515.07314883922,5.8853227262954215,0.003676000049212599,0.038,0.02,0.15,12,1.9303858542248982,18000,0.375,6.75,0.08000000000000007,133.77573969778544,4,-0.07400058144377691,4,0.0175172271206975
5 Adv Petrol Mid,16276.8654924074,4918.24140524239,6.239274939704368,0.004223807121960693,0.051,0.03,0.15,12,2.046482180223032,18000,0.375,6.75,0,141.82121508945613,4,-0.07400058144377691,4,0.0175172271206975
6 Adv Petrol Lux,36951.5571313632,53656.4141798216,8.817147630756676,0.02439438475347207,0.064,0.03,0.15,12,2.8920244228881895,18000,0.375,6.75,-0.31999999999999995,200.41729250615154,4,-0.07400058144377691,4,0.0175172271206975
7 Diesel Econ,12000,5000,6.5,0,0.038,0.02,0.15,12,2.1319999999999997,18000,0.375,6.75,0,157.98119999999997,4,-0.014499569695115089,4,0.0175172271206975
8 Diesel Mid,28559.6774880255,6994.90137642152,6.99973390101118,0.00478360840412866,0.051,0.03,0.15,12,2.2959127195316666,18000,0.375,6.75,-0.18000000000000005,170.1271325172965,4,-0.014499569695115089,4,0.0175172271206975
9 Diesel Lux,55753.2867301341,33106.6407580847,9.38879568831366,0.0151424696898092,0.064,0.04,0.15,12,3.0795249857668803,18000,0.375,6.75,-0.4,228.19280144532584,4,-0.014499569695115089,4,0.0175172271206975
10 Adv Diesel Econ,12000,5000,5.8500000000000005,0,0.038,0,0.15,12,1.9188000000000003,18000,0.375,6.75,0,142.18308000000002,4,-0.07400058144377691,4,0.0175172271206975
11 Adv Diesel Mid,28559.6774880255,6994.90137642152,6.299760510910063,0.0043052475637157936,0.051,0,0.15,12,2.0663214475785003,18000,0.375,6.75,-0.18000000000000005,153.11441926556688,4,-0.07400058144377691,4,0.0175172271206975
12 Adv Diesel Lux,55753.2867301341,33106.6407580847,8.449916119482294,0.013628222720828281,0.064,0,0.15,12,2.7715724871901926,18000,0.375,6.75,-0.4,205.37352130079327,4,-0.07400058144377691,4,0.0175172271206975
13 LPG Econ,20000,1000,0,0,0.039,0.02,0.15,12,0,18000,0.375,6.75,0,0,4,-0.014499569695115089,4,0
14 LPG Mid,30000,1000,0,0,0.056,0.03,0.15,12,0,18000,0.375,6.75,0,0,4,-0.014499569695115089,4,0
15 LPG Lux,40000,1000,0,0,0.066,0.04,0.15,12,0,18000,0.375,6.75,0,0,4,-0.014499569695115089,4,0
16 Hybrid Econ,20000,1000,3.1,0.001,0.039,0.03,0.15,12,1.0168,18000,0.375,6.75,0.11628000000000016,70.46423999999999,4,-0.15200309344504995,4,0
17 Hybrid Mid,37260,1000,4.1,0.001,0.056,0.04,0.15,12,1.3447999999999998,18000,0.375,6.75,0.08000000000000007,93.19463999999998,4,-0.15200309344504995,4,0
18 Hybrid Lux,50000,1000,6,0.001,0.066,0.04,0.15,12,1.9680000000000002,18000,0.375,6.75,0,136.38240000000002,4,-0.15200309344504995,4,0
19 Electric Econ,24000,1000,0,0,0.046,0.04,0.15,12,0.21,18000,0.375,6.75,0,0,4,-0.15200309344504995,4,0
20 Electric Mid,44712,1000,0,0,0.065,0.05,0.15,12,0.54,18000,0.375,6.75,0,0,4,-0.15200309344504995,4,0
21 Electric Lux,50000,1000,0,0,0.08,0.06,0.15,12,0.58,18000,0.375,6.75,0,0,4,-0.15200309344504995,4,0
22 motorcycles Econ,1504,404,0,0,0,0.03,0.15,7,0,4000,0.55,2.2,0,0,2,-0.014499569695115089,3,0
23 motorcycles Lux,5974,5360,0,0,0,0.03,0.15,7,0,4000,0.55,2.2,0,0,2,-0.014499569695115089,3,0
24 Adv motorcycles Econ,1504,404,0,0,0,0,0.15,7,0,4000,0.55,2.2,0,0,2,-0.014499569695115089,3,0
25 Adv motorcycles Lux,5974,5360,0,0,0,0,0.15,7,0,4000,0.55,2.2,0,0,2,-0.014499569695115089,3,0
