,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,8900.85567774642,6843.75834891647,0.055379559748427655,0.003,0.03,0.02,0.15,12,2.0862,14145,0.375,5.304375,0.78,145.912,4,-0.014499569695115089,4,0.0
2 Petrol  Mid,16779.5619301095,10783.1264354831,0.06264245283018867,0.004,0.04,0.03,0.15,12,2.3598000000000003,14145,0.375,5.304375,0,165.04800000000003,4,-0.014499569695115089,4,0.0
3 Petrol Lux,41176.8936261993,21149.2115448351,0.07716823899371068,0.005,0.05,0.03,0.15,7,2.9070000000000005,14145,0.375,5.304375,0.5,203.32000000000002,4,-0.014499569695115089,4,0.0
4 Adv Petrol Econ,10681.026813295704,6843.75834891647,0.04430364779874213,0.003,0.03,0.02,0.15,12,1.6689600000000002,14145,0.375,5.304375,0.78,116.7296,4,-0.07400058144377691,4,0.0
5 Adv Petrol Mid,20135.4743161314,10783.1264354831,0.05011396226415094,0.004,0.04,0.03,0.15,12,1.8878400000000002,14145,0.375,5.304375,0,132.03840000000002,4,-0.07400058144377691,4,0.0
6 Adv Petrol Lux,49412.27235143916,21149.2115448351,0.061734591194968554,0.005,0.05,0.03,0.15,12,2.3256,14145,0.375,5.304375,0.5,162.65600000000003,4,-0.07400058144377691,4,0.0
7 Diesel Econ,10681.026813295704,6843.75834891647,0.0498416037735849,0.002,0.03,0.02,0.15,12,2.1191400000000002,14145,0.375,5.304375,0.9000000000000001,144.936,4,-0.014499569695115089,4,0.0
8 Diesel Mid,20135.4743161314,10783.1264354831,0.05637820754716981,0.003,0.04,0.03,0.15,12,2.3970600000000006,14145,0.375,5.304375,0.8999999999999999,163.94400000000002,4,-0.014499569695115089,4,0.0
9 Diesel Lux,49412.27235143916,21149.2115448351,0.06945141509433961,0.004,0.05,0.04,0.15,12,2.9529,14145,0.375,5.304375,1,201.96,4,-0.014499569695115089,4,0.0
10 Adv Diesel Econ,12817.232175954845,6843.75834891647,0.039873283018867924,0,0,0,0.15,12,1.6953120000000002,14145,0.375,5.304375,0.9000000000000001,115.9488,4,-0.07400058144377691,4,0.0
11 Adv Diesel Mid,24162.56917935768,10783.1264354831,0.04510256603773587,0,0,0,0.15,12,1.9176480000000005,14145,0.375,5.304375,0.8999999999999999,131.1552,4,-0.07400058144377691,4,0.0
12 Adv Diesel Lux,59294.72682172699,21149.2115448351,0.055561132075471725,0,0,0,0.15,12,2.3623200000000004,14145,0.375,5.304375,0.6,161.568,4,-0.07400058144377691,4,0.0
13 LPG Econ,8900.85567774642,6843.75834891647,0.03987328301886794,0.0078,0.03,0.02,0.15,12,1.5020640000000003,14145,0.375,5.304375,0,49.62960000000001,4,-0.014499569695115089,4,0
14 LPG Mid,16779.5619301095,10783.1264354831,0.04510256603773587,0.008,0.04,0.03,0.15,12,1.6990560000000006,14145,0.375,5.304375,0,56.13840000000001,4,-0.014499569695115089,4,0
15 LPG Lux,41176.8936261993,21149.2115448351,0.055561132075471725,0.0083,0.05,0.04,0.15,12,2.0930400000000007,14145,0.375,5.304375,0,69.15600000000002,4,-0.014499569695115089,4,0
16 Hybrid Econ,20000,6843,0.018157232704402518,0.0018,0.031,0.03,0.15,12,0.684,14145,0.375,5.304375,0,47.84,4,-0.15200309344504995,4,0
17 Hybrid Mid,24018.5091534411,4427.18520728429,0.022514968553459122,0.0025,0.044,0.04,0.15,12,0.84816,14145,0.375,5.304375,0,59.32160000000001,4,-0.15200309344504995,4,0
18 Hybrid Lux,39960,4400,0.024512264150943402,0.073,0.0035,0.04,0.15,12,0.9234000000000002,14145,0.375,5.304375,0,64.584,4,-0.15200309344504995,4,0
19 Electric Econ,9575.44564964892,3127.61721564237,0.007,0.00056,0.036,0.04,0.15,12,0.54,14145,0.375,5.304375,-0.6,44.5740070754717,4,-0.15200309344504995,4,0
20 Electric Mid,27072.7494790371,4372.40685511009,0.009,0.0008,0.051,0.05,0.15,12,0.756,14145,0.375,5.304375,-0.9,62.40347169811321,4,-0.15200309344504995,4,0
21 Electric Lux,42423.5190094178,1492.71041686403,0.01,0.0009,0.063,0.06,0.15,12,0.936,14145,0.375,5.304375,-1.3,77.26147405660377,4,-0.15200309344504995,4,0
22 motorcycles Econ,1373,1859,0.036314465408805036,0.001,0.03,0.03,0.15,0.2,1.368,7000,0.375,5.304375,1.9799999999999998,95.68,4,-0.014499569695115089,2,0
23 motorcycles Lux,14989,13031,0.0453930817610063,0.0023,0.03,0.03,0.15,10,1.71,7000,0.375,5.304375,1.38,119.60000000000002,4,-0.014499569695115089,2,0
24 Adv motorcycles Econ,1373,1859,0.029051572327044032,0,0,0,0.15,10,1.0944,7000,0.375,5.304375,1.9799999999999998,76.54400000000001,4,-0.014499569695115089,2,0
25 Adv motorcycles Lux,14989,13031,0.036314465408805036,0,0,0,0.15,10,1.368,7000,0.375,5.304375,1.38,95.68,4,-0.014499569695115089,2,0
