,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,17938.8440988841,2283.82295486209,0.06944,0.0042,0.038,0.02,0.15,11,2.736,12485,0.375,4.681875,-0.72,191.36,4,-0.014499569695115089,4,0.0
2 Petrol  Mid,20749.2281161389,4391.19518627269,0.072912,0.0061,0.051,0.03,0.15,11,2.8728000000000002,12485,0.375,4.681875,0.1,200.92800000000005,4,-0.014499569695115089,4,0.0
3 Petrol Lux,29743.9630186508,15587.9227900628,0.0868,0.0079,0.064,0.03,0.15,11,3.42,12485,0.375,4.681875,0.4199999999999997,239.20000000000005,4,-0.014499569695115089,4,0.0
4 Adv Petrol Econ,17938.8440988841,2283.82295486209,0.055552000000000004,0.0042,0.038,0.02,0.15,11,2.1888,12485,0.375,4.681875,-0.72,153.08800000000002,4,-0.07400058144377691,4,0.0
5 Adv Petrol Mid,20749.2281161389,4391.19518627269,0.05832960000000001,0.0061,0.051,0.03,0.15,11,2.2982400000000003,12485,0.375,4.681875,0.1,160.74240000000003,4,-0.07400058144377691,4,0.0
6 Adv Petrol Lux,29743.9630186508,15587.9227900628,0.06944,0.0079,0.064,0.03,0.15,11,2.736,12485,0.375,4.681875,0.4199999999999997,191.36,4,-0.07400058144377691,4,0.0
7 Diesel Econ,21526.612918660918,2283.82295486209,0.062496,0.0042,0.038,0.02,0.15,11,2.7792000000000003,12485,0.375,4.681875,0,190.07999999999998,4,-0.014499569695115089,4,0.0
8 Diesel Mid,24899.07373936668,4391.19518627269,0.0656208,0.0061,0.051,0.03,0.15,11,2.9181600000000003,12485,0.375,4.681875,0,199.584,4,-0.014499569695115089,4,0.0
9 Diesel Lux,35692.75562238096,15587.9227900628,0.07812000000000001,0.0079,0.064,0.04,0.15,11,3.474,12485,0.375,4.681875,0,237.6,4,-0.014499569695115089,4,0.0
10 Adv Diesel Econ,25831.935502393102,2283.82295486209,0.04999680000000001,0.00042,0.038,0,0.15,11,2.2233600000000004,12485,0.375,4.681875,0,152.06400000000002,4,-0.07400058144377691,4,0.0
11 Adv Diesel Mid,29878.888487240012,4391.19518627269,0.05249664000000001,0.0061,0.051,0,0.15,11,2.3345280000000006,12485,0.375,4.681875,0,159.6672,4,-0.07400058144377691,4,0.0
12 Adv Diesel Lux,42831.306746857146,15587.9227900628,0.062496,0.0079,0.064,0,0.15,11,2.7792000000000003,12485,0.375,4.681875,0,190.07999999999998,4,-0.07400058144377691,4,0.0
13 LPG Econ,17938.8440988841,2283.82295486209,0.03472,0.00042,0.039,0.02,0.15,11,1.368,12485,0.375,4.681875,0,45.2,4,-0.014499569695115089,4,0
14 LPG Mid,20749.2281161389,4391.19518627269,0.040796,0.0061,0.056,0.03,0.15,11,1.6074000000000002,12485,0.375,4.681875,0,53.11,4,-0.014499569695115089,4,0
15 LPG Lux,29743.9630186508,15587.9227900628,0.046003999999999996,0.0079,0.066,0.04,0.15,11,1.8126000000000002,12485,0.375,4.681875,0,59.89,4,-0.014499569695115089,4,0
16 Hybrid Econ,23957.550257732,983.872756288609,0.01736,0.0047,0.039,0.03,0.15,11,0.684,12485,0.375,4.681875,0.2,47.84,4,-0.15200309344504995,4,0
17 Hybrid Mid,28795.284250738,3880.98809317751,0.020831999999999996,0.0042,0.056,0.04,0.15,11,0.8208,12485,0.375,4.681875,0,57.408,4,-0.15200309344504995,4,0
18 Hybrid Lux,34007.2622574392,14743.8784348957,0.0217,0.0055,0.066,0.04,0.15,11,0.855,12485,0.375,4.681875,0.3,59.80000000000001,4,-0.15200309344504995,4,0
19 Electric Econ,29743.9630186508,15587.9227900628,0.030000000000000002,0.00056,0.046,0.04,0.15,11,0.54,12485,0.375,4.681875,-0.1200000000000001,28.80304222474461,4,-0.15200309344504995,4,0
20 Electric Mid,30706.9364273395,3748.63280725194,0.042,0.0008,0.065,0.05,0.15,11,0.756,12485,0.375,4.681875,-0.4,40.32425911464245,4,-0.15200309344504995,4,0
21 Electric Lux,90229.3966041902,24941.7241790664,0.052000000000000005,0.0009,0.08,0.06,0.15,11,0.936,12485,0.375,4.681875,-1.9,49.92527318955733,4,-0.15200309344504995,4,0
22 motorcycles Econ,2324,460,0.03472,0.0008086889999999999,0.03,0.01,0.15,11,1.368,3500,0.55,1.9250000000000003,1.6800000000000002,95.68,2,-0.014499569695115089,3,0
23 motorcycles Lux,17465,6501,0.0434,0.0021834999999999997,0.01,0.01,0.15,11,1.71,3500,0.55,1.9250000000000003,-0.06000000000000005,119.60000000000002,2,-0.014499569695115089,3,0
24 Adv motorcycles Econ,2324,460,0.027776000000000002,0,0,0,0.15,11,1.0944,3500,0.55,1.9250000000000003,1.6800000000000002,76.54400000000001,2,-0.014499569695115089,3,0
25 Adv motorcycles Lux,17465,6501,0.03472,0,0,0,0.15,11,1.368,3500,0.55,1.9250000000000003,-0.06000000000000005,95.68,2,-0.014499569695115089,3,0
