,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,12936.1759581343,2872.35341254385,0.06768878364555608,0.39699734442212214,0.038,0.02,0.15,12,1.982314378191285,10000,0.375,8.866875,2.1,137.37438640865605,4,-0.014499569695115089,4,0.0
2 Petrol  Mid,21320.5334041955,3746.18407830755,0.06890762921116346,0.7949625241976758,0.051,0.03,0.15,12,2.0180091411840726,10000,0.375,8.866875,0.3,139.84803348405623,4,-0.014499569695115089,4,0.0
3 Petrol Lux,27991.145200887,15787.1067762675,0.09474727333036045,1.0560241921750955,0.064,0.03,0.15,12,2.7747415761034127,10000,0.375,8.866875,-0.5,192.2895912239665,4,-0.014499569695115089,4,0.0
4 Adv Petrol Econ,15523.41114976116,2872.35341254385,0.060919905281000476,0.35729760997990995,0.038,0.02,0.15,12,1.7840829403721563,10000,0.375,8.866875,2.1,123.63694776779043,4,-0.07400058144377691,4,0.0
5 Adv Petrol Mid,25584.6400850346,3746.18407830755,0.062016866290047115,0.7154662717779082,0.051,0.03,0.15,12,1.8162082270656652,10000,0.375,8.866875,0.3,125.8632301356506,4,-0.07400058144377691,4,0.0
6 Adv Petrol Lux,33589.3742410644,15787.1067762675,0.08527254599732441,0.9504217729575859,0.064,0.03,0.15,12,2.4972674184930717,10000,0.375,8.866875,-0.5,173.06063210156987,4,-0.07400058144377691,4,0.0
7 Diesel Econ,15523.41114976116,2872.35341254385,0.06120000000000001,0.10200000000000001,0.038,0.02,0.15,12,2.148,10000,0.375,8.866875,0,159.16680000000002,4,-0.014499569695115089,4,0.0
8 Diesel Mid,25584.6400850346,3746.18407830755,0.0714,0.10200000000000001,0.051,0.03,0.15,12,2.506,10000,0.375,8.866875,0,185.69459999999998,4,-0.014499569695115089,4,0.0
9 Diesel Lux,33589.3742410644,15787.1067762675,0.07206708000000002,0.15104245377825307,0.064,0.04,0.15,12,2.5294132,10000,0.375,8.866875,-0.39534599999999986,187.42951811999998,4,-0.014499569695115089,4,0.0
10 Adv Diesel Econ,18628.09337971339,2872.35341254385,0.05508,0.0918,0.038,0,0.15,12,1.9331999999999998,10000,0.375,8.866875,0,143.25011999999998,4,-0.07400058144377691,4,0.0
11 Adv Diesel Mid,30701.568102041518,3746.18407830755,0.06426000000000001,0.0918,0.051,0,0.15,12,2.2554,10000,0.375,8.866875,0,167.12514,4,-0.07400058144377691,4,0.0
12 Adv Diesel Lux,40307.24908927728,15787.1067762675,0.06486037200000001,0.13593820840042775,0.064,0,0.15,12,2.2764718800000003,10000,0.375,8.866875,-0.39534599999999986,168.68656630800004,4,-0.07400058144377691,4,0.0
13 LPG Econ,15523.41114976116,2872.35341254385,0,0,0.039,0.02,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.014499569695115089,4,0
14 LPG Mid,25584.6400850346,3746.18407830755,0,0,0.056,0.03,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.014499569695115089,4,0
15 LPG Lux,33589.3742410644,15787.1067762675,0,0,0.066,0.04,0.15,12,0,10000,0.375,8.866875,0,0,4,-0.014499569695115089,4,0
16 Hybrid Econ,19513.4626287368,2913.99117225888,0.045919999999999996,0.011200000000000002,0.039,0.03,0.15,12,1.3447999999999998,10000,0.375,8.866875,-1.47287,93.19463999999998,4,-0.15200309344504995,4,0
17 Hybrid Mid,22734.5097700025,4844.60343429581,0.057120000000000004,0.011200000000000002,0.056,0.04,0.15,12,1.6727999999999998,10000,0.375,8.866875,-1.6155,115.92504,4,-0.15200309344504995,4,0
18 Hybrid Lux,45303.0958790364,13194.4267662207,0.06831999999999999,0.011200000000000002,0.066,0.04,0.15,12,2.0007999999999995,10000,0.375,8.866875,-0.023256,138.65543999999997,4,-0.15200309344504995,4,0
19 Electric Econ,18984.940041791,190.125912032389,0.030000000000000002,0,0.046,0.04,0.15,12,0.54,10000,0.375,8.866875,-0.821704,0,4,-0.15200309344504995,4,0
20 Electric Mid,31287.7369530681,1529.99450091449,0.042,0,0.065,0.05,0.15,12,0.756,10000,0.375,8.866875,-1.1445,0,4,-0.15200309344504995,4,0
21 Electric Lux,40000,2000,0.052000000000000005,0,0.08,0.06,0.15,12,0.936,10000,0.375,8.866875,0.255816,0,4,-0.15200309344504995,4,0
22 motorcycles Econ,4516,2292,0.02480490304515619,0.07615738421751388,0.3,0.03,0.15,7,0.7264293034652883,10000,0.55,2.75,1,50.34155073014448,2,-0.014499569695115089,3,0
23 motorcycles Lux,12357,4541,0.02639768784727234,0.193921127265572,0.3,0.03,0.15,7,0.7730751440986898,10000,0.55,2.75,1,53.5741074860392,2,-0.014499569695115089,3,0
24 Adv motorcycles Econ,4516,2292,0.02777777777777778,0,0.3,0.03,0.15,7,0.5,10000,0.55,2.75,1,0,2,-0.014499569695115089,3,0
25 Adv motorcycles Lux,12357,4541,0.04166666666666667,0,0.3,0.03,0.15,7,0.75,10000,0.55,2.75,1,0,2,-0.014499569695115089,3,0
