,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate,18 Fuel subsidy (USD/km)
1 Petrol Econ,22931.2350944167,6504.70324566147,0.09462069,0.012672414,0.038,0.02,0.15,12,1.583448276,13770.5,0.375,5.1639375,0.45534600000000003,109.73296552679999,4,-0.014499569695115089,4,0.0
2 Petrol  Mid,32758.3172600623,10901.4315622838,0.123344828,0.013517241,0.051,0.03,0.15,12,2.064137931,13770.5,0.375,5.1639375,0.05628000000000033,143.0447586183,4,-0.014499569695115089,4,0.0
3 Petrol Lux,51656.4809246409,28669.0214613536,0.201913793,0.056603448,0.064,0.03,0.15,12,3.378965517,13770.5,0.375,5.1639375,-0.78,234.16231032810003,4,-0.014499569695115089,4,0.0
4 Adv Petrol Econ,27517.48211330004,6504.70324566147,0.076034483,0.012672414,0.038,0.02,0.15,12,1.425103448,13770.5,0.375,5.1639375,0.45534600000000003,98.7596689464,4,-0.07400058144377691,4,0.0
5 Adv Petrol Mid,39309.98071207476,10901.4315622838,0.109827586,0.013517241,0.051,0.03,0.15,12,1.857724138,13770.5,0.375,5.1639375,0.05628000000000033,128.7402827634,4,-0.07400058144377691,4,0.0
6 Adv Petrol Lux,61987.77710956908,28669.0214613536,0.160517241,0.056603448,0.064,0.03,0.15,12,3.041068966,13770.5,0.375,5.1639375,-0.78,210.7460793438,4,-0.07400058144377691,4,0.0
7 Diesel Econ,22931.2350944167,6504.70324566147,0.068943396,0.009958491,0.038,0.02,0.15,12,1.350943396,13770.5,0.375,5.1639375,0.2400000000000002,100.10490564359999,4,-0.014499569695115089,4,0.0
8 Diesel Mid,32758.3172600623,10901.4315622838,0.076603774,0.014554717,0.051,0.03,0.15,12,1.580603774,13770.5,0.375,5.1639375,-0.15534599999999998,117.1227396534,4,-0.014499569695115089,4,0.0
9 Diesel Lux,38482.9459413627,16497.4614286195,0.117969811,0.025279245,0.064,0.04,0.15,12,2.104274809,13770.5,0.375,5.1639375,-0.6581400000000001,155.9267633469,4,-0.014499569695115089,4,0.0
10 Adv Diesel Econ,27517.48211330004,6504.70324566147,0.084482759,0.009958491,0.038,0,0.15,12,1.215849057,13770.5,0.375,5.1639375,0.2400000000000002,90.0944151237,4,-0.07400058144377691,4,0.0
11 Adv Diesel Mid,39309.98071207476,10901.4315622838,0.09462069,0.014554717,0.051,0,0.15,12,1.422543396,13770.5,0.375,5.1639375,-0.15534599999999998,105.4104656436,4,-0.07400058144377691,4,0.0
12 Adv Diesel Lux,46179.53512963524,28669.0214613536,0.09462069,0.025279245,0.064,0,0.15,12,1.893847328,13770.5,0.375,5.1639375,-0.6581400000000001,140.3340870048,4,-0.07400058144377691,4,0.0
13 LPG Econ,22931.2350944167,6504.70324566147,0.04825832,0.0552,0.039,0.02,0.15,12,1.508,13770.5,0.375,5.1639375,0,84.5988,4,-0.014499569695115089,4,0
14 LPG Mid,32758.3172600623,10901.4315622838,0.0707234,0.069,0.056,0.03,0.15,12,2.21,13770.5,0.375,5.1639375,0,123.981,4,-0.014499569695115089,4,0
15 LPG Lux,51656.4809246409,28669.0214613536,0.08153992,0.0759,0.066,0.04,0.15,12,2.548,13770.5,0.375,5.1639375,0,142.94279999999998,4,-0.014499569695115089,4,0
16 Hybrid Econ,25224.358603858374,6504.70324566147,0.084482759,0.00337931,0.039,0.03,0.15,12,1.413793103,13770.5,0.375,5.1639375,0,97.97586203789999,4,-0.15200309344504995,4,0
17 Hybrid Mid,36034.14898606853,10901.4315622838,0.072655172,0.009293103,0.056,0.04,0.15,12,1.215862069,13770.5,0.375,5.1639375,-0.2260439999999999,84.2592413817,4,-0.15200309344504995,4,0
18 Hybrid Lux,47767.3070858958,10485.1854390857,0.124189655,0.016896552,0.066,0.04,0.15,12,2.078275862,13770.5,0.375,5.1639375,-0.78,144.0245172366,4,-0.15200309344504995,4,0
19 Electric Econ,16927.2890717672,294.004148012157,0.030000000000000002,0,0.046,0.04,0.15,12,0.54,13770.5,0.375,5.1639375,0,22.437167942583734,4,-0.15200309344504995,4,0
20 Electric Mid,31794.6945022333,1288.68387826157,0.042,0,0.065,0.05,0.15,12,0.756,13770.5,0.375,5.1639375,-0.42000000000000004,31.412035119617226,4,-0.15200309344504995,4,0
21 Electric Lux,40593.663,0,0.052000000000000005,0,0.08,0.06,0.15,12,0.936,13770.5,0.375,5.1639375,-1.62,38.89109110047848,4,-0.15200309344504995,4,0
22 motorcycles Econ,3808,1326,0.040382759,0.003125862,0.03,0.03,0.15,7,0.675793103,6885.25,0.55,3.7868875,1.2507000000000001,46.832462037899994,2,-0.014499569695115089,3,0
23 motorcycles Lux,14932,5760,0.126893103,0.039453448,0.03,0.03,0.15,7,2.123517241,6885.25,0.55,3.7868875,-0.011159999999999837,147.1597448013,2,-0.014499569695115089,3,0
24 Adv motorcycles Econ,3808,1326,0.040382759,0.09462069,0.03,0.03,0.15,7,0.675793103,6885.25,0.55,3.7868875,1.2507000000000001,46.832462037899994,2,-0.014499569695115089,3,0
25 Adv motorcycles Lux,14932,5760,0.09462069,0.09462069,0.03,0.03,0.15,7,2.123517241,6885.25,0.55,3.7868875,-0.011159999999999837,147.1597448013,2,-0.014499569695115089,3,0
