,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17677599337307037,-0.17677599337307037,-0.17677599337307037,-0.17677599337307037,-0.17677599337307037,-0.17677599337307037,-0.17677599337307037,-0.17677599337307037,-0.17677599337307037,-0.16793719370441684,-0.15909839403576334,-0.15025959436710984,-0.1414207946984563,-0.13258199502980278,-0.12374319536114928,-0.11490439569249575,-0.10606559602384222,-0.0972267963551887,-0.08838799668653519,-0.07954919701788167,-0.07071039734922815,-0.06187159768057464,-0.05303279801192111,-0.04419399834326759,-0.03535519867461408,-0.026516399005960554,-0.01767759933730704,-0.00883879966865352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3 Coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4 Coal + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.39774598508940834,-0.35355198674614075,-0.30935798840287315,-0.26516399005960556,-0.22096999171633797,-0.17677599337307037,-0.13258199502980278,-0.08838799668653519,-0.04419399834326759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 IGCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6 IGCC + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.39774598508940834,-0.35355198674614075,-0.30935798840287315,-0.26516399005960556,-0.22096999171633797,-0.17677599337307037,-0.13258199502980278,-0.08838799668653519,-0.04419399834326759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7 CCGT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8 CCGT + CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.44193998343267593,-0.39774598508940834,-0.35355198674614075,-0.30935798840287315,-0.26516399005960556,-0.22096999171633797,-0.17677599337307037,-0.13258199502980278,-0.08838799668653519,-0.04419399834326759,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9 Solid Biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5303279801192111,-0.5303279801192111,-0.5303279801192111,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.4971824813617604,-0.46403698260430964,-0.43089148384685905,-0.39774598508940834,-0.36460048633195763,-0.331454987574507,-0.29830948881705627,-0.26516399005960556,-0.23201849130215488,-0.19887299254470417,-0.1657274937872535,-0.13258199502980206,-0.09943649627235138,-0.06629099751490079,-0.03314549875745003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10 S Biomass CCS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5303279801192111,-0.5303279801192111,-0.5303279801192111,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.5303279801192112,-0.4971824813617604,-0.46403698260430964,-0.43089148384685905,-0.39774598508940834,-0.36460048633195763,-0.331454987574507,-0.29830948881705627,-0.26516399005960556,-0.23201849130215488,-0.19887299254470417,-0.1657274937872535,-0.13258199502980206,-0.09943649627235138,-0.06629099751490079,-0.03314549875745003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
