year,residential_demand_gwh,rooftop_generation_gwh,est_total_generation_gwh
2023,61796.23760000001,30196.8,124101.70842871409
2024,62374.248600000006,34366.5,128261.924311413
2025,63187.767100000005,38654.0,139811.1207966058
2026,64437.061700000006,43121.7,152371.8829835726
2027,65905.00030000001,47586.0,165891.5809656615
2028,67557.1581,51974.6,180161.46196215454
2029,69389.9298,56254.8,195171.94482222656
2030,71401.10570000001,60415.0,210978.64197013507
2031,73017.4431,63959.4,226044.08537167212
2032,74766.24620000001,67339.1,241680.15533200064
2033,76644.2586,70581.4,257903.19869625906
2034,78648.57280000001,73717.1,274753.1708553389
2035,80776.6302,76776.7,292300.0487314592
2036,82748.4967,79521.9,309617.6982467616
2037,84823.1724,82224.9,327301.06161507196
2038,86998.79650000001,84909.2,346282.65674831363
2039,89273.7408,87594.9,366401.60958388407
2040,91646.8423,90299.0,387472.85943547625
2041,94117.2869,93035.8,409589.51149931323
2042,96684.49310000002,95817.0,433082.9310625373
2043,99348.2283,98652.6,458482.51631253137
2044,102110.00439999999,101552.0,486667.8168190619
2045,104968.89100000002,104522.0,518964.2759613714
2046,107925.46960000001,107567.0,562712.520532753
2047,110980.9032,110694.0,717822.6810541606
2048,114136.3548,113906.0,818366.6578056859
2049,117393.22,117209.0,841402.133494135
2050,120753.12700000001,120606.0,859433.3437847389
