year,old_rooftop_cap_share,new_rooftop_cap_share,delta_rooftop_cap_share,old_share,new_share,old_total_cap,new_total_cap,delta_total_cap,old_non_rooftop_cap,new_non_rooftop_cap,delta_non_rooftop_cap
2023,0.241105,0.243323,0.0022179999999999978,0.488652,0.488652,102.746,101.80952889780251,-0.936471102197487,77.9733,77.03692889780251,-0.9363711021974837
2024,0.265255,0.26794,0.002684999999999993,0.550972,0.550972,106.288,105.22281107710681,-1.065188922893185,78.0945,77.02941107710681,-1.0650889228931817
2025,0.273201,0.276473,0.003271999999999997,0.611732,0.611732,116.071,114.69799944298357,-1.3730005570164252,84.3605,82.98709944298358,-1.3734005570164243
2026,0.279131,0.283003,0.0038719999999999866,0.669207,0.669207,126.737,125.00291516344349,-1.7340848365565051,91.3609,89.62671516344349,-1.7341848365565085
2027,0.282416,0.28685,0.0044339999999999935,0.722039,0.722039,138.232,136.09482307826391,-2.137176921736085,99.1928,97.0560230782639,-2.1367769217361
2028,0.283544,0.288489,0.004944999999999977,0.769342,0.769342,150.38,147.80216923348897,-2.5778307665110276,107.741,105.16286923348898,-2.5781307665110234
2029,0.282842,0.288232,0.005390000000000006,0.810705,0.810705,163.169,160.1171972577646,-3.0518027422354237,117.018,113.96629725776458,-3.0517027422354204
2030,0.280604,0.286356,0.005751999999999979,0.846134,0.846134,176.634,173.0859489586389,-3.5480510413610773,127.07,123.52174895863891,-3.548251041361084
2031,0.276944,0.282951,0.006006999999999985,0.875947,0.875947,189.469,185.44624334248687,-4.022756657513128,136.997,132.97404334248688,-4.022956657513134
2032,0.272458,0.278629,0.006171000000000038,0.900662,0.900662,202.767,198.2751257047902,-4.491874295209783,147.521,143.02992570479023,-4.491074295209756
2033,0.267419,0.273674,0.006254999999999955,0.920897,0.920897,216.535,211.58604763331556,-4.948952366684438,158.63,153.68044763331557,-4.949552366684429
2034,0.262035,0.268303,0.006267999999999996,0.937297,0.937297,230.803,225.41082283835811,-5.392177161641882,170.325,164.93242283835812,-5.392577161641867
2035,0.256441,0.262664,0.006223000000000034,0.95048,0.95048,245.628,239.80789145067462,-5.820108549325369,182.639,176.81899145067462,-5.820008549325394
2036,0.250708,0.256839,0.0061309999999999976,0.961007,0.961007,260.23,254.01749734269333,-6.212502657306686,194.988,188.77589734269333,-6.212102657306673
2037,0.245156,0.251221,0.006065000000000015,0.969368,0.969368,275.17,268.526914549341,-6.6430854506590435,207.711,201.06731454934098,-6.643685450659035
2038,0.23925,0.245202,0.005952000000000013,0.975981,0.975981,291.169,284.10127160463617,-7.067728395363815,221.507,214.43907160463618,-7.067928395363822
2039,0.233252,0.239068,0.005816000000000016,0.981194,0.981194,308.105,300.60903173992335,-7.4959682600766655,236.239,228.74303173992337,-7.495968260076637
2040,0.227359,0.233046,0.005686999999999998,0.985293,0.985293,325.851,317.89861229113563,-7.952387708864364,251.766,243.81361229113566,-7.952387708864336
2041,0.221597,0.227144,0.005547000000000024,0.988509,0.988509,344.458,336.0462966224069,-8.411703377593142,268.127,259.7153966224069,-8.41160337759311
2042,0.215836,0.221244,0.005407999999999996,0.991028,0.991028,364.228,355.3230822078791,-8.904917792120898,285.614,276.7099822078791,-8.904017792120897
2043,0.209896,0.215172,0.005276000000000003,0.992998,0.992998,385.62,376.16464967560836,-9.455350324391645,304.68,295.2245496756084,-9.45545032439162
2044,0.203506,0.208668,0.005162,0.994539,0.994539,409.423,399.2926562769567,-10.130343723043325,326.103,315.9730562769567,-10.129943723043311
2045,0.196326,0.201405,0.005079,0.995742,0.995742,436.809,425.79081949306124,-11.01818050693879,351.052,340.03441949306125,-11.01758050693877
2046,0.186063,0.191158,0.005094999999999988,0.99668,0.99668,474.332,461.68823695581665,-12.643763044183345,386.076,373.43283695581664,-12.643163044183382
2047,0.146929,0.154208,0.007279000000000008,0.997413,0.997413,618.129,588.9493411496161,-29.17965885038393,527.308,498.1286411496161,-29.179358850383892
2048,0.135453,0.139187,0.003734000000000015,0.997984,0.997984,689.958,671.4434537708263,-18.514546229173675,596.501,577.9872537708263,-18.51374622917365
2049,0.135854,0.139302,0.0034480000000000066,0.998429,0.998429,707.868,690.3447186687914,-17.523281331208636,611.701,594.1783186687915,-17.52268133120856
2050,0.136902,0.140332,0.0034300000000000164,0.998776,0.998776,722.81,705.1406664196334,-17.669333580366583,623.856,606.1868664196334,-17.669133580366633
