run,year,MEWDH,PRICH,METC,MTCD,cost_roof,cost_grid,std_roof,std_grid,share,MEWG,MEWL,MEWK,MEWS,total_cap,non_rooftop_cap,rooftop_cap_share
discount_low,2023,5313.52,2466.49,46.268,12.8207,-1287.57,0.0,12.9301,0.0,0.488652,30196.8,0.139056,24.7726,0.241105,102.746,77.9733,0.241105
discount_low,2024,5363.22,2540.0,41.7488,11.5685,-1405.81,0.0,11.6847,0.0,0.550972,34366.5,0.139056,28.1934,0.265238,106.295,78.1012,0.265238
discount_low,2025,5433.17,2611.02,39.1229,10.8408,-1497.99,0.0,10.9316,0.0,0.611732,38654.0,0.139055,31.7109,0.27316,116.089,84.3783,0.27316
discount_low,2026,5540.59,2672.96,36.8666,10.2156,-1577.28,0.0,10.2973,0.0,0.669207,43121.7,0.139055,35.3762,0.279055,126.772,91.3953,0.279055
discount_low,2027,5666.81,2726.18,34.825,9.6499,-1646.8,0.0,9.72429,0.0,0.722039,47586.0,0.139055,39.0388,0.282292,138.292,99.2534,0.282292
discount_low,2028,5808.87,2772.92,32.9668,9.135,-1708.72,0.0,9.20305,0.0,0.769342,51974.6,0.139055,42.6393,0.283358,150.479,107.839,0.283358
discount_low,2029,5966.46,2818.64,31.2579,8.66148,-1767.78,0.0,8.72415,0.0,0.810705,56254.8,0.139054,46.151,0.282581,163.319,117.168,0.282581
discount_low,2030,6139.39,2864.39,29.7074,8.23182,-1824.78,0.0,8.28778,0.0,0.846134,60415.0,0.139054,49.5642,0.280261,176.851,127.286,0.280261
discount_low,2031,6278.37,2910.51,28.3302,7.8502,-1879.79,0.0,7.89763,0.0,0.875947,63959.4,0.139053,52.4723,0.276511,189.766,137.293,0.276511
discount_low,2032,6428.74,2972.66,27.0826,7.5045,-1945.39,0.0,7.54657,0.0,0.900662,67339.1,0.139053,55.2453,0.271936,203.156,147.911,0.271936
discount_low,2033,6590.22,3036.87,25.9339,7.18621,-2011.11,0.0,7.22542,0.0,0.920897,70581.4,0.139053,57.9057,0.26681,217.03,159.124,0.26681
discount_low,2034,6762.56,3102.89,24.8861,6.89587,-2076.95,0.0,6.9309,0.0,0.937297,73717.1,0.139052,60.4786,0.261344,231.414,170.935,0.261344
