run,year,MEWDH,PRICH,METC,MTCD,cost_roof,cost_grid,std_roof,std_grid,share,MEWG,MEWL,MEWK,MEWS,total_cap,non_rooftop_cap,rooftop_cap_share
base,2047,9542.64,4126.24,17.5854,4.87288,-2122.67,0.0,4.88319,0.0,0.997413,110694.0,0.139048,90.821,0.146929,618.129,527.308,0.146929
base,2048,9813.96,4219.45,17.2009,4.76633,-2181.27,0.0,4.77596,0.0,0.997984,113906.0,0.139048,93.4566,0.135453,689.958,596.501,0.135453
base,2049,10094.0,4315.13,16.8165,4.65979,-2241.28,0.0,4.66873,0.0,0.998429,117209.0,0.139047,96.1668,0.135854,707.868,611.701,0.135854
base,2050,10382.9,4413.15,16.4584,4.56059,-2302.28,0.0,4.56887,0.0,0.998776,120606.0,0.139047,98.9543,0.136902,722.81,623.856,0.136902
discount_high,2023,5313.52,2466.49,46.268,12.8207,-1287.57,0.0,12.9301,0.0,0.488652,30196.8,0.139056,24.7726,0.241105,102.746,77.9733,0.241105
discount_high,2024,5363.22,2540.0,41.7488,11.5685,-1405.81,0.0,11.6847,0.0,0.550972,34366.5,0.139056,28.1934,0.265238,106.295,78.1012,0.265238
discount_high,2025,5433.17,2611.02,39.1229,10.8408,-1497.99,0.0,10.9316,0.0,0.611732,38654.0,0.139055,31.7109,0.27316,116.089,84.3783,0.27316
discount_high,2026,5540.59,2672.96,36.8666,10.2156,-1577.28,0.0,10.2973,0.0,0.669207,43121.7,0.139055,35.3762,0.279055,126.772,91.3953,0.279055
discount_high,2027,5666.81,2726.18,34.825,9.6499,-1646.8,0.0,9.72429,0.0,0.722039,47586.0,0.139055,39.0388,0.282292,138.292,99.2534,0.282292
discount_high,2028,5808.87,2772.92,32.9668,9.135,-1708.72,0.0,9.20305,0.0,0.769342,51974.6,0.139055,42.6393,0.283358,150.479,107.839,0.283358
discount_high,2029,5966.46,2818.64,31.2579,8.66148,-1767.78,0.0,8.72415,0.0,0.810705,56254.8,0.139054,46.151,0.282581,163.319,117.168,0.282581
discount_high,2030,6139.39,2864.39,29.7074,8.23182,-1824.78,0.0,8.28778,0.0,0.846134,60415.0,0.139054,49.5642,0.280261,176.851,127.286,0.280261
discount_high,2031,6278.37,2910.51,28.3302,7.8502,-1879.79,0.0,7.89763,0.0,0.875947,63959.4,0.139053,52.4723,0.276511,189.766,137.293,0.276511
discount_high,2032,6428.74,2972.66,27.0826,7.5045,-1945.39,0.0,7.54657,0.0,0.900662,67339.1,0.139053,55.2453,0.271936,203.156,147.911,0.271936
discount_high,2033,6590.22,3036.87,25.9339,7.18621,-2011.11,0.0,7.22542,0.0,0.920897,70581.4,0.139053,57.9057,0.26681,217.03,159.124,0.26681
discount_high,2034,6762.56,3102.89,24.8861,6.89587,-2076.95,0.0,6.9309,0.0,0.937297,73717.1,0.139052,60.4786,0.261344,231.414,170.935,0.261344
discount_high,2035,6945.54,3170.46,23.9308,6.63114,-2142.73,0.0,6.66216,0.0,0.95048,76776.7,0.139052,62.9891,0.255674,246.365,183.376,0.255674
discount_high,2036,7115.09,3239.62,23.0669,6.39177,-2208.5,0.0,6.41877,0.0,0.961007,79521.9,0.139051,65.2418,0.249878,261.095,195.853,0.249878
discount_high,2037,7293.48,3310.73,22.2792,6.1735,-2274.69,0.0,6.19787,0.0,0.969368,82224.9,0.139051,67.4598,0.244272,276.167,208.707,0.244272
discount_high,2038,7480.55,3383.65,21.5614,5.97459,-2341.33,0.0,5.99679,0.0,0.975981,84909.2,0.139051,69.6624,0.23832,292.307,222.644,0.23832
discount_high,2039,7676.16,3458.17,20.8912,5.78889,-2408.56,0.0,5.80888,0.0,0.981194,87594.9,0.13905,71.8663,0.232283,309.391,237.525,0.232283
discount_high,2040,7880.21,3534.68,20.2668,5.61587,-2476.72,0.0,5.63377,0.0,0.985293,90299.0,0.13905,74.0853,0.226343,327.315,253.23,0.226343
discount_high,2041,8092.63,3613.16,19.6655,5.44925,-2546.06,0.0,5.46576,0.0,0.988509,93035.8,0.139049,76.3312,0.220518,346.145,269.814,0.220518
discount_high,2042,8313.37,3693.49,19.0927,5.29053,-2616.44,0.0,5.30579,0.0,0.991028,95817.0,0.139049,78.6134,0.214667,366.211,287.597,0.214667
discount_high,2043,8542.41,3775.66,18.582,5.14902,-2687.43,0.0,5.16284,0.0,0.992998,98652.6,0.139049,80.9404,0.208577,388.06,307.12,0.208577
discount_high,2044,8779.88,3860.23,18.0672,5.00638,-2760.36,0.0,5.0184,0.0,0.994539,101552.0,0.139048,83.32,0.201898,412.683,329.363,0.201898
discount_high,2045,9025.7,3946.67,17.579,4.87108,-2834.38,0.0,4.88132,0.0,0.995742,104522.0,0.139048,85.7568,0.194105,441.807,356.05,0.194105
discount_high,2046,9279.92,4035.35,17.0778,4.73222,-2910.31,0.0,4.74094,0.0,0.99668,107567.0,0.139048,88.2558,0.181479,486.313,398.057,0.181479
discount_high,2047,9542.64,4126.24,16.599,4.59954,-2987.63,0.0,4.60737,0.0,0.997413,110694.0,0.139048,90.8206,0.140131,648.113,557.293,0.140131
discount_high,2048,9813.96,4219.45,16.1731,4.48153,-3066.03,0.0,4.48866,0.0,0.997984,113906.0,0.139048,93.4567,0.138054,676.959,583.502,0.138054
discount_high,2049,10094.0,4315.13,15.7281,4.35821,-3146.6,0.0,4.36463,0.0,0.998429,117209.0,0.139047,96.1669,0.138665,693.517,597.351,0.138665
discount_high,2050,10382.9,4413.15,15.3134,4.24331,-3228.59,0.0,4.24914,0.0,0.998776,120606.0,0.139047,98.9544,0.139429,709.713,610.759,0.139429
