,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,14522.649821974,6204.05652817574,0.0584318612902413,0.011926357496120601,0.038,0.02,0.15,14,1.8975891587325884,23645,0.375,8.866875,-0.12,131.50292870016838,4,-0.014499569695115089,4
2 Petrol  Mid,19264.4197003826,7765.75814322524,0.06388248787964508,0.00931618302381365,0.051,0.03,0.15,14,2.0745996063884737,23645,0.375,8.866875,-0.18,143.76975272272122,4,-0.014499569695115089,4
3 Petrol Lux,35872.8471567555,14386.0479243481,0.08455141548652194,0.028072642972781,0.064,0.03,0.15,14,2.7458281464929897,23645,0.375,8.866875,-0.734418,190.28589055196417,4,-0.014499569695115089,4
4 Adv Petrol Econ,17427.1797863688,6204.05652817574,0.05258867516121716,0.010733721746508542,0.038,0.02,0.15,14,1.7078302428593293,23645,0.375,8.866875,-0.12,118.35263583015151,4,-0.07400058144377691,4
5 Adv Petrol Mid,23117.303640459122,7765.75814322524,0.05749423909168058,0.008384564721432284,0.051,0.03,0.15,14,1.8671396457496268,23645,0.375,8.866875,-0.18,129.39277745044913,4,-0.07400058144377691,4
6 Adv Petrol Lux,43047.4165881066,14386.0479243481,0.07609627393786975,0.0252653786755029,0.064,0.03,0.15,14,2.4712453318436904,23645,0.375,8.866875,-0.734418,171.25730149676775,4,-0.07400058144377691,4
7 Diesel Econ,17427.1797863688,6204.05652817574,0.065,0.001,0.038,0.02,0.15,14,2.327,23645,0.375,8.866875,0,172.43069999999997,4,-0.014499569695115089,4
8 Diesel Mid,23117.303640459122,7765.75814322524,0.0758083650587954,0.0405990820555392,0.051,0.03,0.15,14,2.713939469104875,23645,0.375,8.866875,-0.315816,201.10291466067122,4,-0.014499569695115089,4
9 Diesel Lux,42800.5781529824,30603.9767434338,0.0918344888301409,0.00963156092231257,0.064,0.04,0.15,14,3.2876747001190445,23645,0.375,8.866875,-1.11395,243.6166952788212,4,-0.014499569695115089,4
10 Adv Diesel Econ,17427.1797863688,6204.05652817574,0.05850000000000001,0.0009000000000000001,0.038,0,0.15,14,2.0943000000000005,23645,0.375,8.866875,0,155.18763000000004,4,-0.07400058144377691,4
11 Adv Diesel Mid,23117.303640459122,7765.75814322524,0.06822752855291586,0.03653917384998528,0.051,0,0.15,14,2.4425455221943877,23645,0.375,8.866875,-0.315816,180.99262319460414,4,-0.07400058144377691,4
12 Adv Diesel Lux,42800.5781529824,30603.9767434338,0.08265103994712682,0.008668404830081314,0.064,0,0.15,14,2.95890723010714,23645,0.375,8.866875,-1.11395,219.25502575093907,4,-0.07400058144377691,4
13 LPG Econ,14522.649821974,6204.05652817574,0.075,0.12,0.039,0.02,0.15,14,2.6399999999999997,23645,0.375,8.866875,0,148.10399999999998,4,-0.014499569695115089,4
14 LPG Mid,19264.4197003826,7765.75814322524,0.08249999999999999,0.12,0.056,0.03,0.15,14,2.9039999999999995,23645,0.375,8.866875,-0.6,162.91439999999997,4,-0.014499569695115089,4
15 LPG Lux,35872.8471567555,14386.0479243481,0.09609581015135026,0.12419999999999999,0.066,0.04,0.15,14,3.382572517327529,23645,0.375,8.866875,-0.9804660000000001,189.76231822207436,4,-0.014499569695115089,4
16 Hybrid Econ,28992.65060614338,6204.05652817574,0.0505,0.02,0.039,0.03,0.15,14,1.64,23645,0.375,8.866875,-0.8139540000000001,113.652,4,-0.15200309344504995,4
17 Hybrid Mid,38459,7765.75814322524,0.05964808750817432,0.005029391722723729,0.056,0.04,0.15,14,1.9370864062060567,23645,0.375,8.866875,-0.925122,134.24008795007973,4,-0.15200309344504995,4
18 Hybrid Lux,71615.64429445335,14386.0479243481,0.06122209769414485,0.00767424678501104,0.066,0.04,0.15,14,1.9882027766019317,23645,0.375,8.866875,-0.886038,137.78245241851386,4,-0.15200309344504995,4
19 Electric Econ,28992.65060614338,6204.05652817574,0.007,0,0.046,0.04,0.15,14,0.54,23645,0.375,8.866875,0,0,4,-0.15200309344504995,4
20 Electric Mid,38459,7765.75814322524,0.009,0,0.065,0.05,0.15,14,0.756,23645,0.375,8.866875,-0.9534900000000002,0,4,-0.15200309344504995,4
21 Electric Lux,71615.64429445335,14386.0479243481,0.01,0,0.08,0.06,0.15,14,0.936,23645,0.375,8.866875,-1.8599999999999999,0,4,-0.15200309344504995,4
22 motorcycles Econ,2539,614,0,0,0,0.03,0.15,7,0.6330399999999998,5000,0.55,2.75,-0.000468,43.869671999999994,2,-0.014499569695115089,3
23 motorcycles Lux,9899,5160,0,0,0,0.03,0.15,7,1.148,5000,0.55,2.75,-1.37907,79.5564,2,-0.014499569695115089,3
24 Adv motorcycles Econ,2539,614,0,0,0,0,0.15,7,0,5000,0.55,2.75,-0.000468,0,2,-0.014499569695115089,3
25 Adv motorcycles Lux,9899,5160,0,0,0,0,0.15,7,0,5000,0.55,2.75,-1.37907,0,2,-0.014499569695115089,3
