,1 Prices cars (USD/veh),2 Std of price,3 fuel cost (USD/km),4 std fuel cost,5 O&M costs (USD/km),6 std O&M,7 Discount rate,8 lifetime,9 energy use (MJ/km),10 Dist traveled pa (km),11 occupancy rate p/sea,12 Cap_F (Mpkm/kseats-y),13 Gam (initial),14 CO2Emissions,15 Seats/Veh,16 Learning exponent,17 Turnover rate
1 Petrol Econ,17938.8440988841,2283.82295486209,0.0671906674577458,0.004460070167453816,0.038,0.02,0.15,12,1.89987404535695,15619,0.375,5.857125,0.30232799999999993,131.66127134323665,4,-0.014499569695115089,4
2 Petrol  Mid,20749.2281161389,4391.19518627269,0.08442227877980817,0.0056038926431424396,0.051,0.03,0.15,12,2.3871127103256105,15619,0.375,5.857125,0,165.42691082556482,4,-0.014499569695115089,4
3 Petrol Lux,29743.9630186508,15587.9227900628,0.11640970645531483,0.007727196031947622,0.064,0.03,0.15,12,3.2915848032192465,15619,0.375,5.857125,-0.24,228.1068268630938,4,-0.014499569695115089,4
4 Adv Petrol Econ,17938.8440988841,2283.82295486209,0.060471600711971225,0.004014063150708435,0.038,0.02,0.15,12,1.7098866408212554,15619,0.375,5.857125,0.30232799999999993,118.495144208913,4,-0.07400058144377691,4
5 Adv Petrol Mid,20749.2281161389,4391.19518627269,0.07598005090182737,0.005043503378828197,0.051,0.03,0.15,12,2.1484014392930497,15619,0.375,5.857125,0,148.88421974300834,4,-0.07400058144377691,4
6 Adv Petrol Lux,29743.9630186508,15587.9227900628,0.10476873580978337,0.006954476428752862,0.064,0.03,0.15,12,2.962426322897323,15619,0.375,5.857125,-0.24,205.29614417678448,4,-0.07400058144377691,4
7 Diesel Econ,21526.612918660918,2283.82295486209,0.06950758702525427,0.0005792298918771189,0.038,0.02,0.15,12,1.89987404535695,15619,0.375,5.857125,0,140.78066676095,4,-0.014499569695115089,4
8 Diesel Mid,24899.07373936668,4391.19518627269,0.08733339184118087,0.000727778265343174,0.051,0.03,0.15,12,2.3871127103256105,15619,0.375,5.857125,0,176.88505183512774,4,-0.014499569695115089,4
9 Diesel Lux,35692.75562238096,15587.9227900628,0.12042383426411879,0.00100353195220099,0.064,0.04,0.15,12,3.2915848032192465,15619,0.375,5.857125,0,243.90643391854616,4,-0.014499569695115089,4
10 Adv Diesel Econ,17938.8440988841,2283.82295486209,0.06255682832272885,0.0005213069026894072,0.038,0,0.15,12,1.7098866408212554,15619,0.375,5.857125,0,126.70260008485504,4,-0.07400058144377691,4
11 Adv Diesel Mid,20749.2281161389,4391.19518627269,0.0786000526570628,0.0006550004388088566,0.051,0,0.15,12,2.1484014392930497,15619,0.375,5.857125,0,159.19654665161497,4,-0.07400058144377691,4
12 Adv Diesel Lux,29743.9630186508,15587.9227900628,1.0838145083770694,0.0009031787569808912,0.064,0,0.15,12,2.962426322897323,15619,0.375,5.857125,0,219.51579052669163,4,-0.07400058144377691,4
13 LPG Econ,17938.8440988841,2283.82295486209,0,0,0.039,0.02,0.15,12,1.89987404535695,15619,0.375,5.857125,0,106.5829339445249,4,-0.014499569695115089,4
14 LPG Mid,20749.2281161389,4391.19518627269,0,0,0.056,0.03,0.15,12,2.3871127103256105,15619,0.375,5.857125,0,133.91702304926676,4,-0.014499569695115089,4
15 LPG Lux,29743.9630186508,15587.9227900628,0,0,0.066,0.04,0.15,12,3.2915848032192465,15619,0.375,5.857125,0,184.65790746059972,4,-0.014499569695115089,4
16 Hybrid Econ,23957.550257732,983.872756288609,0.03340823384795575,0.002217615522666028,0.039,0.03,0.15,12,0.9446466122525419,15619,0.375,5.857125,-1.2,65.46401022910115,4,-0.15200309344504995,4
17 Hybrid Mid,28795.284250738,3880.98809317751,0.055863043215858284,0.0037081502824319722,0.056,0.04,0.15,12,1.5795757047242687,15619,0.375,5.857125,-0.72,109.46459633739182,4,-0.15200309344504995,4
18 Hybrid Lux,34007.2622574392,14743.8784348957,0.0767736008736009,0.00509617867867868,0.066,0.04,0.15,12,2.1708397488397493,15619,0.375,5.857125,-1.14,150.43919459459462,4,-0.15200309344504995,4
19 Electric Econ,29743.9630186508,15587.9227900628,0.00047,0.00056,0.046,0.04,0.15,12,0.54,15619,0.375,5.857125,0,28.80304222474461,4,-0.15200309344504995,4
20 Electric Mid,30706.9364273395,3748.63280725194,0.00066,0.0008,0.065,0.05,0.15,12,0.756,15619,0.375,5.857125,-0.5999999999999999,40.32425911464245,4,-0.15200309344504995,4
21 Electric Lux,90229.3966041902,24941.7241790664,0.0008,0.0009,0.08,0.06,0.15,12,0.936,15619,0.375,5.857125,-1.56,49.92527318955733,4,-0.15200309344504995,4
22 motorcycles Econ,2324,460,0.023606,0.0015669500000000001,0.03,0.03,0.15,7,0.66748,4000,0.55,2.2,0.1200000000000001,46.25636399999999,2,-0.014499569695115089,3
23 motorcycles Lux,17465,6501,0.06403199999999998,0.004250399999999999,0.03,0.03,0.15,7,1.8105599999999995,4000,0.55,2.2,-1.08,125.47180799999997,2,-0.014499569695115089,3
24 Adv motorcycles Econ,2324,460,0.05555555555555556,0,0,0.03,0.15,7,1,4000,0.55,2.2,0.1200000000000001,0,2,-0.014499569695115089,3
25 Adv motorcycles Lux,17465,6501,0.06944444444444445,0,0,0.03,0.15,7,1.2,4000,0.55,2.2,-1.08,0,2,-0.014499569695115089,3
