Year,PRICH,cost_roof,cost_grid,std_roof,share,MEWG,MEWL,MEWK,MEWS,rooftop_cap_share
2023,2466.49,-774.835,0.0,13.0066,0.488652,30196.8,0.139056,24.7726,0.241105,0.241105
2024,2540.0,-868.825,0.0,11.9467,0.550972,34366.5,0.139056,28.1934,0.265255,0.265255
2025,2611.02,-944.618,0.0,11.229,0.611732,38654.0,0.139055,31.7109,0.273201,0.273201
2026,2672.96,-1011.63,0.0,10.5845,0.669207,43121.7,0.139055,35.3762,0.279131,0.279131
2027,2726.18,-1070.79,0.0,9.99868,0.722039,47586.0,0.139055,39.0388,0.282416,0.282416
2028,2772.92,-1123.59,0.0,9.46676,0.769342,51974.6,0.139055,42.6393,0.283544,0.283544
2029,2818.64,-1173.45,0.0,8.98322,0.810705,56254.8,0.139054,46.151,0.282842,0.282842
2030,2864.39,-1221.13,0.0,8.54428,0.846134,60415.0,0.139054,49.5642,0.280604,0.280604
2031,2910.51,-1266.51,0.0,8.15664,0.875947,63959.4,0.139054,52.4723,0.276944,0.276944
2032,2972.66,-1319.29,0.0,7.80526,0.900662,67339.1,0.139053,55.2453,0.272458,0.272458
2033,3036.87,-1371.76,0.0,7.48428,0.920897,70581.4,0.139053,57.9057,0.267419,0.267419
2034,3102.89,-1423.97,0.0,7.18983,0.937297,73717.1,0.139052,60.4785,0.262035,0.262035
2035,3170.46,-1475.85,0.0,6.92031,0.95048,76776.7,0.139052,62.9891,0.256441,0.256441
2036,3239.62,-1527.42,0.0,6.67541,0.961007,79521.9,0.139051,65.2417,0.250708,0.250708
2037,3310.73,-1579.02,0.0,6.45291,0.969368,82224.9,0.139051,67.4597,0.245156,0.245156
2038,3383.65,-1630.66,0.0,6.25076,0.975981,84909.2,0.139051,69.6624,0.23925,0.23925
2039,3458.17,-1682.53,0.0,6.06242,0.981194,87594.9,0.13905,71.8662,0.233252,0.233252
2040,3534.68,-1734.99,0.0,5.88561,0.985293,90299.0,0.13905,74.0853,0.227359,0.227359
2041,3613.16,-1788.27,0.0,5.7149,0.988509,93035.8,0.139049,76.3311,0.221597,0.221597
2042,3693.49,-1842.16,0.0,5.55336,0.991028,95817.0,0.139049,78.6134,0.215836,0.215836
2043,3775.66,-1896.18,0.0,5.41064,0.992998,98652.6,0.139049,80.9403,0.209896,0.209896
2044,3860.23,-1951.21,0.0,5.2753,0.994539,101552.0,0.139048,83.3199,0.203506,0.203506
2045,3946.67,-2007.55,0.0,5.13511,0.995742,104522.0,0.139048,85.7568,0.196326,0.196326
2046,4035.35,-2064.66,0.0,5.00545,0.99668,107567.0,0.139048,88.2558,0.186063,0.186063
2047,4126.24,-2122.67,0.0,4.88319,0.997413,110694.0,0.139048,90.821,0.146929,0.146929
2048,4219.45,-2181.27,0.0,4.77596,0.997984,113906.0,0.139048,93.4566,0.135453,0.135453
2049,4315.13,-2241.28,0.0,4.66873,0.998429,117209.0,0.139047,96.1668,0.135854,0.135854
2050,4413.15,-2302.28,0.0,4.56887,0.998776,120606.0,0.139047,98.9543,0.136902,0.136902
