,Indirect Heating Coal,Indirect Heating Oil,Indirect Heating Gas,Indirect Heating Biomass,Indirect Heating Electric,Indirect Heating Steam Distributed,Heat Pumps (Electricity),Direct Heating Coal,Direct Heating Oil,Direct Heating Gas,Direct Heating Biomass,Direct Heating Electric,Direct Heating Steam Distributed
Indirect Heating Coal,1.0,1.0,1.0,1.0,0.5,0,0.0,0.5,0.0,0.0,0.0,0.0,0
Indirect Heating Oil,1.0,1.0,1.0,1.0,0.5,0,0.0,0.0,0.5,0.0,0.0,0.0,0
Indirect Heating Gas,1.0,1.0,1.0,1.0,0.5,0,0.0,0.0,0.0,0.5,0.0,0.0,0
Indirect Heating Biomass,1.0,1.0,1.0,1.0,0.5,0,0.0,0.0,0.0,0.0,0.5,0.0,0
Indirect Heating Electric,0.5,0.5,0.5,0.5,1.0,0,0.5,0.0,0.0,0.0,0.0,0.5,0
Indirect Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Heat Pumps (Electricity),0.0,0.0,0.0,0.0,0.5,0,1.0,0.0,0.0,0.0,0.0,0.2,0
Direct Heating Coal,0.5,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.5,0
Direct Heating Oil,0.0,0.5,0.0,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.5,0
Direct Heating Gas,0.0,0.0,0.5,0.0,0.0,0,0.0,1.0,1.0,1.0,1.0,0.5,0
Direct Heating Biomass,0.0,0.0,0.0,0.5,0.0,0,0.0,1.0,1.0,1.0,1.0,0.5,0
Direct Heating Electric,0.0,0.0,0.0,0.0,0.5,0,0.2,0.5,0.5,0.5,0.5,1.0,0
Direct Heating Steam Distributed,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0
