,1 Investment cost mean (MEuro per MW),2 Investment cost SD,3 O&M cost mean (Euros/MJ/s/year),4 O&M cost SD,5 Lifetime (years),6 Leadtime (years),7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Learning exponent
Indirect Heating Coal,0.3608805485384337,0.0180440274269216,36344.568747744495,1817.2284373872249,25.0,1,-0.05,0.05,0.3409737944461023,56.92436098069899,11.3848721961398,0,0.9703846153846154,0.013387267641727442,-0.05
Indirect Heating Oil,0.0396968603392277,0.0019848430169613,7626.127751714183,381.3063875857092,25.0,1,-0.05,0.05,0.3893431474018703,75.33288620612564,15.066577241225126,0,0.9768538461538462,0.012945317400649168,-0.05
Indirect Heating Gas,0.0396968603392277,0.0019848430169613,8403.175748827141,420.158787441357,25.0,1,-0.05,0.05,0.4127394451642722,192.87599672106708,38.575199344213424,0,0.9813999999999999,0.01250933852351345,-0.05
Indirect Heating Biomass,0.4460483579935042,0.0223024178996752,36344.568747744495,1817.2284373872249,25.0,1,-0.05,0.05,0.3474924111046307,109.2708845666592,21.85417691333184,0,0.9116666666666666,0.00867163414004405,-0.05
Indirect Heating Electric,0.0577408877661494,0.0028870443883074,6466.546373150488,323.3273186575244,25.0,1,-0.05,0.05,0.9,934.936507936508,186.9873015873016,0,0.9878205128205128,0.0028867513459481316,-0.05
Indirect Heating Steam Distributed,0.7217610970768675,0.0360880548538433,0.0,0.0,20.0,1,-0.05,0.05,0.4478597400061669,0.0,0.0,0,1.0,0.0,-0.05
Heat Pumps (Electricity),0.7888848791050163,0.0394442439552508,22168.673079754604,1108.4336539877302,20.0,1,-0.432959407,0.05,3.0,934.936507936508,186.9873015873016,0,0.9838461538461538,0.0113249475879504,-0.432959407
Direct Heating Coal,0.1587874413569108,0.0079393720678455,4541.883796463371,227.09418982316856,15.0,1,-0.05,0.05,0.2457392545951674,56.92436098069899,11.3848721961398,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Oil,0.010826416456153,0.0005413208228076,1902.7774679177196,95.13887339588598,15.0,1,-0.05,0.05,0.3557642332618732,75.33288620612564,15.066577241225126,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Gas,0.010826416456153,0.0005413208228076,1902.7774679177196,95.13887339588598,15.0,1,-0.05,0.05,0.3852402716015987,192.87599672106708,38.575199344213424,0,0.9878846153846155,0.012115384615384639,-0.05
Direct Heating Biomass,0.1587874413569108,0.0079393720678455,4541.883796463371,227.09418982316856,15.0,1,-0.05,0.05,0.1128926314344516,109.2708845666592,21.85417691333184,0,0.9293589743589744,0.033969036835195206,-0.05
Direct Heating Electric,0.043305665824612,0.0021652832912306,1138.8523998556475,56.94261999278239,12.5,1,-0.05,0.05,0.5296943664355656,934.936507936508,186.9873015873016,0,0.9902564102564102,0.016876392484004476,-0.05
Direct Heating Steam Distributed,0.7217610970768675,0.0360880548538433,0.0,0.0,20.0,1,-0.05,0.05,0.0712540523955947,0.0,0.0,0,1.0,0.0,-0.05
