,Petrol Small,Petrol Large,Petrol adv small,Petrol adv large,Diesel Small,Diesel Large,Diesel adv small,Diesel adv large,CNG/LPG Small,CNG/LPG Large,Hybrid Small,Hybrid Large,Electricity Small,Electricity Large,Bioethano Small,Bioethano Large,Biodiesel Small,Biodiesel Large,Hydrogen Large,Hydrogen Small
Petrol Small,1,1,1,1,0.6,0.6,0.6,0.6,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Petrol Large,1,1,1,1,0.6,0.6,0.6,0.6,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Petrol adv small,1,1,1,1,0.6,0.6,0.6,0.6,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Petrol adv large,1,1,1,1,0.6,0.6,0.6,0.6,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Diesel Small,0.6,0.6,0.6,0.6,1,1,1,1,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Diesel Large,0.6,0.6,0.6,0.6,1,1,1,1,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Diesel adv small,0.6,0.6,0.6,0.6,1,1,1,1,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Diesel adv large,0.6,0.6,0.6,0.6,1,1,1,1,0.4,0.4,0.5,0.5,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CNG/LPG Small,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
CNG/LPG Large,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Hybrid Small,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.33,0.33,0.5,0.5,0.5,0.5,0.2,0.2
Hybrid Large,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,1,1,1,0.33,0.33,0.5,0.5,0.5,0.5,0.2,0.2
Electricity Small,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.33,1,1,0.01,0.01,0.01,0.01,0.4,0.4
Electricity Large,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.33,0.33,1,1,0.01,0.01,0.01,0.01,0.4,0.4
Bioethano Small,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.5,0.01,0.01,1,1,1,1,0.01,0.01
Bioethano Large,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.5,0.01,0.01,1,1,1,1,0.01,0.01
Biodiesel Small,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.5,0.01,0.01,1,1,1,1,0.01,0.01
Biodiesel Large,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.5,0.5,0.01,0.01,1,1,1,1,0.01,0.01
Hydrogen Large,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.2,0.4,0.4,0.01,0.01,0.01,0.01,1,1
Hydrogen Small,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.2,0.2,0.4,0.4,0.01,0.01,0.01,0.01,1,1
