,1 Price of Vehicles,2 Std of Price,3 Fuel Cost,4 Std Fuel Cost,5 O&M Costs,6 Std O&M Costs,7 Discount Rate,8 Service Lifetime,9 Energy Use,10 Loads,11 Cumulative Seats,12 Fuel Consumption,13 Gam,14 CO2 Emissions,15 Learning Exponent,16 Turnover Rate,17 Fuel price per litre,18 empty,19 gCO2/litre,20 kg/l
Petrol Small,25000,22000,0.14850000000000002,0.028350000000000004,0.171,0.1,0.05,15,3.7620000000000005,4.37037037037037,378000000,11,0,253,-0.014499569695115089,10,1.35,,2300,
Petrol Large,50000,30000,0.4698,0.0729,0.171,0.1,0.05,15,11.9016,12,378000000,34.8,0,800.4,-0.014499569695115089,10,1.35,,2300,
Petrol adv small,25000,22000,0.11880000000000003,0.028350000000000004,0.171,0.1,0.05,15,3.0096000000000003,4.37037037037037,378000000,8.8,0,202.4,-0.07400058144377691,10,1.35,,2300,
Petrol adv large,50000,30000,0.37584,0.0729,0.171,0.1,0.05,15,9.52128,12,378000000,27.84,0,640.32,-0.07400058144377691,10,1.35,,2300,
Diesel Small,27665.624646016407,10822.882263981255,0.1278,0.07383999999999999,0.171,0.1,0.05,15,3.474,4.37037037037037,378000000,9,-1.7,239.4,-0.014499569695115089,10,1.42,,2660,
Diesel Large,114000,45000,0.4118,0.10081999999999999,0.171,0.1,0.05,15,11.194,12,378000000,29,2,771.4,-0.014499569695115089,10,1.42,,2660,
Diesel adv small,27665.624646016407,10822.882263981255,0.10224,0.07383999999999999,0.171,0.1,0.05,15,2.7792000000000003,4.37037037037037,378000000,7.2,-1,191.52,-0.07400058144377691,10,1.42,,2660,
Diesel adv large,114000,45000,0.32944,0.10081999999999999,0.171,0.1,0.05,15,8.955200000000001,12,378000000,23.200000000000003,0,617.1200000000001,-0.07400058144377691,10,1.42,,2660,
CNG/LPG Small,30065.624646016407,5411.441131990628,0.08208,0.016800000000000002,0.171,0.1,0.05,15,0.9234,4.37037037037037,378000000,10.26,-1.9,170.829,-0.07400058144377691,10,0.8,,1665,
CNG/LPG Large,116400,15000,0.264,0.0432,0.171,0.1,0.05,15,2.97,12,378000000,33,0,549.45,-0.07400058144377691,10,0.8,,1665,
Hybrid Small,34235,45000,0.10224,0.02982,0.171,0.1,0.05,15,2.4624000000000006,4.37037037037037,300000,7.2,0,191.52,-0.15200309344504995,10,1.42,,2660,
Hybrid Large,159600,11330,0.32944,0.07668,0.171,0.1,0.05,15,7.934400000000002,12,300000,23.200000000000003,0,617.1200000000001,-0.15200309344504995,10,1.42,,2660,
Electricity Small,50000,28000,0.0013621875,0.0030513000000000003,0.34,0.1,0.05,15,0.02109375,4.37037037037037,20000,0.9375,-5,0,-0.15200309344504995,10,0.1453,,0,
Electricity Large,186000,12330,0.00202511875,0.007846200000000001,0.171,0.1,0.05,15,0.031359374999999995,12,20000,1.3937499999999998,0,0,-0.15200309344504995,10,0.1453,,0,
Bioethano Small,30000,22000,0.0836,0.015960000000000002,0.171,0.1,0.05,15,2.8215,4.37037037037037,378000000,11,0,177.1,-0.10536051565782628,10,0.76,,1610,
Bioethano Large,60000,30000,0.26448,0.04104,0.171,0.1,0.05,15,8.9262,12,378000000,34.8,-6,560.28,-0.10536051565782628,10,0.76,,1610,
Biodiesel Small,30165.624646016407,5411.441131990628,0.052199999999999996,0.01218,0.171,0.1,0.05,15,2.97,4.37037037037037,378000000,9,0,235.8,-0.10536051565782628,10,0.58,,2620,
Biodiesel Large,119000,22500,0.16820000000000002,0.03132,0.171,0.1,0.05,15,9.57,12,378000000,29,0,759.8,-0.10536051565782628,10,0.58,,2620,
Hydrogen Large,82996.87393804922,1000,0,0.0030513000000000003,0.171,0.1,0.05,15,0,4.37037037037037,100,0,0,0,-0.5108256237659907,10,0.1453,,0,
Hydrogen Small,228000,1000,0,0.0030513000000000003,0.171,0.1,0.05,15,0,12,100,0,0,0,-0.5108256237659907,10,0.1453,,0,
