,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,227.5166319164663,75.83887730548877,9.100665276658653,3.033555092219551,20,20,0.0,0.1,0.75,0.0214944110060189,0.15,0.0,1.34,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,247.30068686572423,82.43356228857473,9.89202747462897,3.29734249154299,20,20,-0.0840642647884745,0.1,0.86,0.0214944110060189,0.15,0.0,1.34,0,266.76,3,1,0.86,1.0,0
3 Gas,192.85589502294212,64.28529834098072,3.857117900458843,1.2857059668196142,20,20,0.0,0.1,0.75,0.018420464316423,0.15,0.0,1.34,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,209.62597285102404,69.87532428367467,4.192519457020481,1.3975064856734936,20,20,-0.0840642647884745,0.1,0.9,0.018420464316423,0.15,0.0,1.34,0,201.96,3,1,0.9,1.0,0
5 Wood stove,212.52402777523176,70.84134259174391,0.0531310069438079,0.0177103356479359,20,20,0.0,0.1,0.15,0.0185795356835769,0.3,-0.1,1.34,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,252.61378756010504,84.20459585336835,1.0104551502404202,0.3368183834134733,20,20,-0.0976107966264223,0.1,0.85,0.0185795356835769,0.3,0.0,1.34,0,0.0,3,1,0.85,1.0,0
7 Coal,119.30326104655056,39.76775368218352,2.386065220931011,3.364673027614916,20,20,0.0,0.1,0.75,0.0185795356835769,0.15,0.0,1.34,0,353.88,3,1,0.75,1.0,0
8 District heating,127.99742581917369,42.66580860639122,7.67984554915042,0.1372416725428293,20,20,0.0,0.1,0.98,0.018420464316423,0.15,0.0,1.34,0,0.0,3,1,0.98,1.0,0
9 Electric,259.85892487062426,86.61964162354141,0.2598589248706243,0.0866196416235414,20,20,0.0,0.1,1.0,0.0409071367153912,0.1,-0.02,1.34,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,676.2128156484647,225.40427188282155,6.762128156484647,2.254042718828216,20,20,-0.4329594072761062,0.1,3.5,0.0409071367153912,0.1,0.0,1.34,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,362.2568655259632,120.7522885086544,7.245137310519265,2.415045770173088,20,20,-0.4329594072761062,0.1,2.5,0.0409071367153912,0.1,0.0,1.17,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,246.334668557655,82.111556185885,24.6334668557655,8.2111556185885,20,20,-0.4329594072761062,0.1,2.5,0.0409071367153912,0.1,0.0,1.2,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,373.3660760687594,124.45535868958646,3.733660760687594,1.2445535868958646,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.0,1.234,0,0.0,3,1,1.0,1.0,0
