,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,151.4407595334235,50.48025317780783,5.129445080970795,1.709815026990265,20,20,0,0.1,0.75,0.0749860852430053,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,151.4407595334235,50.48025317780783,5.129445080970795,1.709815026990265,20,20,-0.0840642647884745,0.1,0.92,0.0749860852430053,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,132.59790005230627,44.19930001743543,6.629895002615314,2.209965000871771,20,20,0,0.1,0.75,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,132.59790005230627,44.19930001743543,6.629895002615314,2.209965000871771,20,20,-0.0840642647884745,0.1,0.97,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,341.96300539805304,113.98766846601768,14.655557374202274,4.885185791400758,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,411.16980410956376,137.05660136985458,7.2463589239111235,2.415452974637041,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.013,1.34,0,0,5,1,0.85,1,0
7 Coal,126.76649002792392,42.25549667597464,3.1691622506980983,1.056387416899366,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,100.60866378636472,33.53622126212157,2.0868606307785074,0.6956202102595025,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,472.7292659177184,157.5764219725728,4.2176587212860115,1.4058862404286705,20,20,0,0.1,1,0.17459908000000002,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1186.402263625898,395.4674212086327,14.655557374202273,4.885185791400757,20,20,-0.22650852980867975,0.1,3.9,0.17459908000000002,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,767.6720529344047,255.89068431146825,13.259790005230627,4.419930001743542,20,20,-0.22650852980867975,0.1,3.5,0.17459908000000002,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,601.2536358647087,200.41787862156957,13.152423284540502,4.384141094846834,20,20,-0.22650852980867975,0.1,5.9,0.17459908000000002,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,709.5150792272528,236.50502640908428,4.65255789657215,1.5508526321907166,20,20,-0.2630344058337938,0.1,1,0,0,0,1.34,0,0,5,1,1,1,0
