,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,386.2864457142858,128.76214857142858,15.451457828571431,5.150485942857143,20,20,0.0,0.1,0.75,0.0831719690455718,0.15,0.0,2.07,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,419.8765714285715,139.95885714285714,16.79506285714286,5.598354285714287,20,20,-0.0840642647884745,0.1,0.86,0.0831719690455718,0.15,0.0,2.07,0,266.76,3,1,0.86,1.0,0
3 Gas,327.4381200000001,109.14604000000004,6.548762400000002,2.1829208000000007,20,20,0.0,0.1,0.75,0.0994178847807394,0.15,-0.01,2.07,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,355.91100000000006,118.637,7.118220000000001,2.3727400000000003,20,20,-0.0840642647884745,0.1,0.9,0.0994178847807394,0.15,0.0,2.07,0,201.96,3,1,0.9,1.0,0
5 Wood stove,360.8314285714286,120.27714285714286,0.0902078571428571,0.0300692857142857,20,20,0.0,0.1,0.7,0.046,0.3,0.0,2.07,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,428.8973571428572,142.96578571428572,1.7155894285714288,0.5718631428571429,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0.03,2.07,0,0.0,3,1,0.85,1.0,0
7 Coal,202.5576428571429,67.5192142857143,4.051152857142858,8.505294144750001,20,20,0.0,0.1,0.75,0.007006018916595,0.15,0.06,2.07,0,353.88,3,1,0.75,1.0,0
8 District heating,217.3189285714286,72.43964285714286,13.039135714285717,0.3469225045982143,20,20,0.0,0.1,0.98,0.0781919999374464,0.15,0.0,2.07,0,0.0,3,1,0.98,1.0,0
9 Electric,441.1984285714286,147.06614285714286,0.4411984285714286,0.1470661428571428,20,20,0.0,0.1,1.0,0.2279853826311264,0.1,-0.04,2.07,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,1148.1,382.7000000000001,11.481000000000002,3.827,20,20,-0.4329594072761062,0.1,3.5,0.2279853826311264,0.1,0.0,2.07,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,615.0535714285716,205.0178571428572,12.301071428571433,4.100357142857144,20,20,-0.4329594072761062,0.1,2.6,0.2279853826311264,0.1,0.0,1.64,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,418.23642857142863,139.41214285714287,41.82364285714287,13.941214285714288,20,20,-0.4329594072761062,0.1,2.6,0.2279853826311264,0.1,-0.02,1.77,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,633.9152142857143,211.30507142857144,6.339152142857143,2.1130507142857144,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.04,0.998,0,0.0,3,1,1.0,1.0,0
