,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,282.5233133419189,94.17443778063962,9.569338032548865,3.189779344182955,20,20,0,0.1,0.75,0.06213504523259485,0.15,0.025,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,282.5233133419189,94.17443778063962,9.569338032548865,3.189779344182955,20,20,-0.0840642647884745,0.1,0.92,0.06213504523259485,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,247.37064301827002,82.45688100609,12.3685321509135,4.1228440503045,20,20,0,0.1,0.75,0.08076721999999999,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,247.37064301827002,82.45688100609,12.3685321509135,4.1228440503045,20,20,-0.0840642647884745,0.1,0.97,0.08076721999999999,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,637.9558688365911,212.6519562788637,27.340965807282476,9.113655269094158,20,20,0,0.1,0.7,0.00832244196044712,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,767.0659851487583,255.68866171625277,13.518588649156335,4.506196216385445,20,20,-0.0976107966264223,0.1,0.82,0.00832244196044712,0.3,0.06,1.34,0,0,5,1,0.85,1,0
7 Coal,236.49174035943744,78.83058011981248,5.912293508985937,1.9707645029953123,20,20,0,0.1,0.75,0.00832244196044712,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,187.69248867609878,62.564162892032925,3.893184250441024,1.2977280834803413,20,20,0,0.1,0.98,0.0343551160791057,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,881.9094603873165,293.96982012910547,7.86833690054346,2.62277896684782,20,20,0,0.1,1,0.18418684,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,2213.3162796371525,737.7720932123842,27.340965807282473,9.113655269094158,20,20,-0.22650852980867975,0.1,3.9,0.18418684,0.1,-0.04,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1432.1458280005106,477.3819426668369,24.737064301827,8.245688100609,20,20,-0.22650852980867975,0.1,3.5,0.18418684,0.1,-0.03,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1121.6806485038965,373.8935495012988,24.536764186022733,8.178921395340911,20,20,-0.22650852980867975,0.1,5.9,0.18418684,0.1,0,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1323.6499319398658,441.2166439799553,8.679671684851577,2.8932238949505256,20,20,-0.2630344058337938,0.1,1,0,0,0.01,1.205714,0,0,5,1,1,1,0
