,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,228.06254519815914,76.02084839938638,7.72469911155055,2.5748997038501833,20,20,0,0.1,0.75,0.06021917323137665,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,228.06254519815914,76.02084839938638,7.72469911155055,2.5748997038501833,20,20,-0.0840642647884745,0.1,0.92,0.06021917323137665,0.15,-0.02,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,199.68609948225915,66.56203316075305,9.984304974112957,3.3281016580376526,20,20,0,0.1,0.75,0.00349444,0.15,0.02,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,199.68609948225915,66.56203316075305,9.984304974112957,3.3281016580376526,20,20,-0.0840642647884745,0.1,0.97,0.00349444,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,514.9799407700367,171.6599802566789,22.070568890144433,7.356856296714811,20,20,0,0.1,0.7,0.00331986242476354,0.3,-0.01,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,619.2020716401632,206.40069054672108,10.912670173460302,3.6375567244867675,20,20,-0.0976107966264223,0.1,0.82,0.00331986242476354,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,190.90427471888572,63.634758239628574,4.772606867972144,1.5908689559907145,20,20,0,0.1,0.75,0.00331986242476354,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,151.51183870706978,50.50394623568993,3.142712360896089,1.047570786965363,20,20,0,0.1,0.98,0.00568357695614789,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,711.907678665979,237.30255955532633,6.351592435994146,2.1171974786647154,20,20,0,0.1,1,0.02504934,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1786.6651006307395,595.5550335435798,22.070568890144433,7.356856296714811,20,20,-0.22650852980867975,0.1,3.9,0.02504934,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1156.0774180551846,385.3591393517282,19.968609948225915,6.656203316075305,20,20,-0.22650852980867975,0.1,3.2,0.02504934,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,905.459236518746,301.8197455062487,19.806920798847568,6.6023069329491895,20,20,-0.22650852980867975,0.1,5.3,0.02504934,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1068.4957954752463,356.1652651584154,7.006529806395057,2.335509935465019,20,20,-0.2630344058337938,0.1,1,0,0,0,1.22,0,0,5,1,1,1,0
