,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,184.3732866379735,61.45776221265783,6.244901644189425,2.081633881396475,20,20,0,0.1,0.75,0.06021917323137665,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,184.3732866379735,61.45776221265783,6.244901644189425,2.081633881396475,20,20,-0.0840642647884745,0.1,0.92,0.06021917323137665,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,161.43283161850215,53.81094387283405,8.071641580925109,2.6905471936417027,20,20,0,0.1,0.75,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,161.43283161850215,53.81094387283405,8.071641580925109,2.6905471936417027,20,20,-0.0840642647884745,0.1,0.97,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,416.326776279295,138.77559209309834,17.8425761262555,5.9475253754185005,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,500.5833857643904,166.86112858813013,8.822162640204109,2.9407208800680364,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.013,1.34,0,0,5,1,0.85,1,0
7 Coal,154.33331471670195,51.44443823890065,3.8583328679175493,1.2861109559725163,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,122.4871696609061,40.82905655363537,2.5406723687694512,0.8468907895898171,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,575.5296573771482,191.84321912571605,5.134836900954597,1.711612300318199,20,20,0,0.1,1,0.04958944,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1444.3990197444928,481.46633991483094,17.8425761262555,5.9475253754185005,20,20,-0.22650852980867975,0.1,3.9,0.04958944,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,934.6111304229072,311.5370434743024,16.143283161850217,5.381094387283405,20,20,-0.22650852980867975,0.1,3.5,0.04958944,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,732.0031231284308,244.00104104281027,16.012568318434425,5.337522772811475,20,20,-0.22650852980867975,0.1,5.9,0.04958944,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,863.8072569060203,287.93575230200673,5.664309881350952,1.8881032937836506,20,20,-0.2630344058337938,0.1,1,0,0,0,1.27,0,0,5,1,1,1,0
