,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,267.3019000012611,89.1006333337537,10.692076000050443,3.5640253333501484,20,20,0.0,0.1,0.75,0.0541083404987102,0.15,-0.03,1.34,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,290.54554347963165,96.84851449321054,11.621821739185268,3.873940579728422,20,20,-0.0840642647884745,0.1,0.86,0.0541083404987102,0.15,-0.02,1.34,0,266.76,3,1,0.86,1.0,0
3 Gas,226.580126172944,75.52670872431466,4.53160252345888,1.5105341744862932,20,20,0.0,0.1,0.75,0.0257635425623387,0.15,0.0,1.34,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,246.2827458401565,82.0942486133855,4.92565491680313,1.64188497226771,20,20,-0.0840642647884745,0.1,0.9,0.0257635425623387,0.15,0.0,1.34,0,201.96,3,1,0.9,1.0,0
5 Wood stove,249.68757642780844,83.22919214260281,0.0624218941069521,0.0208072980356507,20,20,0.0,0.1,0.5,0.0091229578675838,0.3,0.0,1.34,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,296.7877328903269,98.92924429677562,1.1871509315613076,0.3957169771871025,20,20,-0.0976107966264223,0.1,0.85,0.0091229578675838,0.3,0.01,1.34,0,0.0,3,1,0.85,1.0,0
7 Coal,140.16552585833793,46.72184195277931,2.8033105171667585,4.328979543197545,20,20,0.0,0.1,0.75,0.0091229578675838,0.15,0.02,1.34,0,353.88,3,1,0.75,1.0,0
8 District heating,150.38001762129372,50.12667254043124,9.022801057277622,0.1765747780054783,20,20,0.0,0.1,0.98,0.0257635425623387,0.15,0.0,1.34,0,0.0,3,1,0.98,1.0,0
9 Electric,305.2998093594567,101.76660311981888,0.3052998093594566,0.1017666031198188,20,20,0.0,0.1,1.0,0.0258615649183147,0.1,0.02,1.34,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,794.4604704521178,264.8201568173725,7.944604704521177,2.6482015681737257,20,20,-0.4329594072761062,0.1,3.5,0.0258615649183147,0.1,0.0,1.34,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,425.6038234564917,141.8679411521639,8.512076469129834,2.837358823043278,20,20,-0.4329594072761062,0.1,2.5,0.0258615649183147,0.1,0.0,1.17,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,289.41059995041434,96.47019998347145,28.941059995041435,9.647019998347144,20,20,-0.4329594072761062,0.1,2.5,0.0258615649183147,0.1,0.0,1.2,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,438.6556740424908,146.2185580141636,4.386556740424908,1.462185580141636,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.0,1.1007533018944906,0,0.0,3,1,1.0,1.0,0
