,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,148.49937847630858,49.499792825436195,5.029817658068516,1.6766058860228386,20,20,0,0.1,0.75,0.06230078628133785,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,148.49937847630858,49.499792825436195,5.029817658068516,1.6766058860228386,20,20,-0.0840642647884745,0.1,0.92,0.06230078628133785,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,130.02249728340382,43.340832427801274,6.501124864170191,2.1670416213900636,20,20,0,0.1,0.75,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,130.02249728340382,43.340832427801274,6.501124864170191,2.1670416213900636,20,20,-0.0840642647884745,0.1,0.97,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,335.32117720456773,111.77372573485592,14.370907594481476,4.7903025314938255,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,403.1837964007303,134.39459880024341,7.105615421715841,2.3685384739052804,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.013,1.34,0,0,5,1,0.85,1,0
7 Coal,124.3043487022078,41.43478290073593,3.107608717555195,1.0358695725183984,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,98.65457679713812,32.88485893237937,2.0463282645441976,0.6821094215147325,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,463.54761025118484,154.5158700837283,4.135740606860362,1.3785802022867875,20,20,0,0.1,1,0.15062968,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1163.359186219929,387.78639540664295,14.370907594481475,4.790302531493825,20,20,-0.22650852980867975,0.1,3.9,0.15062968,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,752.7618263776011,250.9206087925337,13.002249728340383,4.334083242780127,20,20,-0.22650852980867975,0.1,3.5,0.15062968,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,589.5756961838555,196.52523206128515,12.896968354021837,4.298989451340613,20,20,-0.22650852980867975,0.1,5.9,0.15062968,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,695.7344152883888,231.91147176279628,4.562192887136976,1.520730962378992,20,20,-0.2630344058337938,0.1,1,0,0,0,1.34,0,0,5,1,1,1,0
