,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,153.70299649057193,51.23433216352398,5.206069235970984,1.7353564119903282,20,20,0,0.1,0.75,0.07224660233269159,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,153.70299649057193,51.23433216352398,5.206069235970984,1.7353564119903282,20,20,-0.0840642647884745,0.1,0.92,0.07224660233269159,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,134.57866052169894,44.85955350723298,6.728933026084947,2.242977675361649,20,20,0,0.1,0.75,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,134.57866052169894,44.85955350723298,6.728933026084947,2.242977675361649,20,20,-0.0840642647884745,0.1,0.97,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,347.07128239806565,115.69042746602189,14.874483531345673,4.958161177115224,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,417.31189907386465,139.10396635795487,7.354605746054249,2.4515352486847495,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.013,1.34,0,0,5,1,0.85,1,0
7 Coal,128.66014032096717,42.88671344032239,3.2165035080241795,1.0721678360080598,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,102.11156589890071,34.0371886329669,2.118034360083023,0.7060114533610077,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,479.79094217567916,159.93031405855973,4.280662521988866,1.4268875073296219,20,20,0,0.1,1,0.14442222,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1204.1248572994114,401.37495243313714,14.874483531345671,4.958161177115223,20,20,-0.22650852980867975,0.1,3.9,0.14442222,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,779.139613546678,259.7132045155593,13.457866052169894,4.485955350723298,20,20,-0.22650852980867975,0.1,3.5,0.14442222,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,610.2352217987968,203.41174059959894,13.34889547684868,4.449631825616227,20,20,-0.22650852980867975,0.1,5.9,0.14442222,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,720.1138852476872,240.03796174922908,4.72205826391926,1.57401942130642,20,20,-0.2630344058337938,0.1,1,0,0,-0.005,1.395714,0,0,5,1,1,1,0
