RTI,1 Hard coal,2 Other coal etc,3 Crude oil etc,4 Heavy fuel oil,5 Middle distillates,6 Other gas,7 Natural gas,8 Electricity,9 Heat,10 Combustible waste,11 Biofuels,12 Hydrogen
40 Rest of Annex I (RA),0.9900000095367432,0.9900000095367432,0.7300000190734863,0.7300000190734863,0.7300000190734863,0.9100000262260437,0.9100000262260437,0.25,1.0,0.9700000286102295,0.9700000286102295,0.0
41 China (CN),0.9800000190734863,0.9800000190734863,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.5299999713897705,0.5299999713897705,0.1899999976158142,1.0,0.9700000286102295,0.9700000286102295,0.0
42 India (IN),0.9200000166893005,0.9200000166893005,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.699999988079071,0.699999988079071,0.17000000178813934,1.0,0.9399999976158142,0.9399999976158142,0.0
43 Mexico (MX),0.9800000190734863,0.9800000190734863,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.75,0.75,0.15000000596046448,1.0,0.8899999856948853,0.8899999856948853,0.0
44 Brazil (BR),0.9800000190734863,0.9800000190734863,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.4000000059604645,0.4000000059604645,0.14000000059604645,1.0,0.8899999856948853,0.8899999856948853,0.0
45 Argentina (AR),0.9800000190734863,0.9800000190734863,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.8999999761581421,0.8999999761581421,0.029999999329447746,1.0,0.8899999856948853,0.8899999856948853,0.0
46 Colombia (CO),0.9800000190734863,0.9800000190734863,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.75,0.75,0.15000000596046448,1.0,0.8899999856948853,0.8899999856948853,0.0
47 Rest LatinAmerica(LA),0.9800000190734863,0.9800000190734863,0.3700000047683716,0.3700000047683716,0.3700000047683716,0.75,0.75,0.15000000596046448,1.0,0.8899999856948853,0.8899999856948853,0.0
48 Korea (KR),1.0,1.0,0.9700000286102295,0.9700000286102295,0.9700000286102295,0.8500000238418579,0.8500000238418579,0.11999999731779099,1.0,1.0,1.0,0.0
49 Taiwan (TW),0.9800000190734863,0.9800000190734863,0.3499999940395355,0.3499999940395355,0.3499999940395355,0.5299999713897705,0.5299999713897705,0.1899999976158142,1.0,0.9700000286102295,0.9700000286102295,0.0
50 Indonesia (ID),0.9200000166893005,0.9200000166893005,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.699999988079071,0.699999988079071,0.17000000178813934,1.0,0.9399999976158142,0.9399999976158142,0.0
51 Rest of ASEAN (AS),0.9200000166893005,0.9200000166893005,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.699999988079071,0.699999988079071,0.17000000178813934,1.0,0.9399999976158142,0.9399999976158142,0.0
52 Rest of OPEC ex Venez,0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
53 Rest of World (RW),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
54 Ukraine (UE),1.0,1.0,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.699999988079071,0.699999988079071,0.1599999964237213,1.0,1.0,1.0,0.0
55 Saudi Arabia (SD),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
56 Nigeria (NG),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
57 South Africa (SA),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
58 NorthAfrica OPEC (ON),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
59 CentralAfricaOPEC(OC),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
60 Malaysia (MY),0.9200000166893005,0.9200000166893005,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.699999988079071,0.699999988079071,0.17000000178813934,1.0,0.9399999976158142,0.9399999976158142,0.0
61 Kazakhstan (KZ),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
62 Rest NorthAfrica (AN),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
63 RestCentralAfrica(AC),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
64 Rest West Africa (AW),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
65 Rest East Africa (AE),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
66 Rest SouthAfrica (ZA),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
67 Egypt (EG),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
68 Dem. Rep. Congo (DC),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
69 Kenya (KE),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
70 UAE (UA),0.9900000095367432,0.9900000095367432,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.8999999761581421,0.8999999761581421,0.27000001072883606,1.0,0.9599999785423279,0.9599999785423279,0.0
71 Pakistan,0.9200000166893005,0.9200000166893005,0.6100000143051147,0.6100000143051147,0.6100000143051147,0.699999988079071,0.699999988079071,0.17000000178813934,1.0,0.9399999976158142,0.9399999976158142,0.0
