RTI,1 Hard coal,2 Other coal etc,3 Crude oil etc,4 Heavy fuel oil,5 Middle distillates,6 Other gas,7 Natural gas,8 Electricity,9 Heat,10 Combustible waste,11 Biofuels,12 Hydrogen
1 Belgium (BE),1.0,1.0,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.9900000095367432,0.2800000011920929,1.0,0.9599999785423279,0.9599999785423279,0.0
2 Denmark (DK),1.0,1.0,0.8899999856948853,0.8899999856948853,0.8899999856948853,1.0,1.0,0.15000000596046448,1.0,1.0,1.0,0.0
3 Germany (DE),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18000000715255737,1.0,1.0,1.0,0.0
4 Greece (EL),1.0,1.0,0.949999988079071,0.949999988079071,0.949999988079071,1.0,1.0,0.23000000417232513,1.0,0.9900000095367432,0.9900000095367432,0.0
5 Spain (ES),0.8799999952316284,0.8799999952316284,0.9399999976158142,0.9399999976158142,0.9399999976158142,0.8899999856948853,0.8899999856948853,0.15000000596046448,1.0,0.9900000095367432,0.9900000095367432,0.0
6 France (FR),1.0,1.0,0.8999999761581421,0.8999999761581421,0.8999999761581421,0.9300000071525574,0.9300000071525574,0.3799999952316284,1.0,1.0,1.0,0.0
7 Ireland (IE),1.0,1.0,1.0,1.0,1.0,0.9800000190734863,0.9800000190734863,0.20999999344348907,1.0,1.0,1.0,0.0
8 Italy (IT),1.0,1.0,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.9100000262260437,0.9100000262260437,0.10000000149011612,1.0,0.9800000190734863,0.9800000190734863,0.0
9 Luxembourg (LX),1.0,1.0,1.0,1.0,1.0,0.9700000286102295,0.9700000286102295,0.5299999713897705,1.0,1.0,1.0,0.0
10 Netherlands (NL),1.0,1.0,1.0,1.0,1.0,0.9800000190734863,0.9800000190734863,0.12999999523162842,1.0,1.0,1.0,0.0
11 Austria (AT),1.0,1.0,1.0,1.0,1.0,0.9900000095367432,0.9900000095367432,0.33000001311302185,1.0,1.0,1.0,0.0
12 Portugal (PT),1.0,1.0,0.6299999952316284,0.6299999952316284,0.6299999952316284,0.6800000071525574,0.6800000071525574,0.05000000074505806,1.0,0.75,0.75,0.0
13 Finland (FI),1.0,1.0,1.0,1.0,1.0,0.7300000190734863,0.7300000190734863,0.5400000214576721,1.0,1.0,1.0,0.0
14 Sweden (SW),1.0,1.0,1.0,1.0,1.0,0.949999988079071,0.949999988079071,0.4099999964237213,1.0,1.0,1.0,0.0
15 UK (UK),1.0,1.0,1.0,1.0,1.0,0.9800000190734863,0.9800000190734863,0.20000000298023224,1.0,1.0,1.0,0.0
16 Czech Rep. (CZ),1.0,1.0,0.7900000214576721,0.7900000214576721,0.7900000214576721,0.8799999952316284,0.8799999952316284,0.38999998569488525,1.0,0.9900000095367432,0.9900000095367432,0.0
17 Estonia (EN),1.0,1.0,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.8600000143051147,0.8600000143051147,0.25,1.0,0.9700000286102295,0.9700000286102295,0.0
18 Cyprus (CY),1.0,1.0,0.8500000238418579,0.8500000238418579,0.8500000238418579,1.0,1.0,0.23000000417232513,1.0,0.6800000071525574,0.6800000071525574,0.0
19 Latvia (LV),1.0,1.0,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.7099999785423279,0.7099999785423279,0.23999999463558197,1.0,0.949999988079071,0.949999988079071,0.0
20 Lithuania (LT),0.9900000095367432,0.9900000095367432,0.4399999976158142,0.4399999976158142,0.4399999976158142,0.7799999713897705,0.7799999713897705,0.10000000149011612,1.0,0.9800000190734863,0.9800000190734863,0.0
21 Hungary (HU),1.0,1.0,0.11999999731779099,0.11999999731779099,0.11999999731779099,0.9399999976158142,0.9399999976158142,0.3499999940395355,1.0,1.0,1.0,0.0
22 Malta (MT),1.0,1.0,0.2800000011920929,0.2800000011920929,0.2800000011920929,0.9100000262260437,0.9100000262260437,0.3799999952316284,1.0,1.0,1.0,0.0
23 Poland (PL),0.9900000095367432,0.9900000095367432,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.800000011920929,0.800000011920929,0.11999999731779099,1.0,0.9800000190734863,0.9800000190734863,0.0
24 Slovenia (SI),1.0,1.0,0.9100000262260437,0.9100000262260437,0.9100000262260437,0.9599999785423279,0.9599999785423279,0.3199999928474426,1.0,0.9900000095367432,0.9900000095367432,0.0
25 Slovakia (SK),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14000000059604645,1.0,1.0,1.0,0.0
26 Bulgaria (BG),0.9900000095367432,0.9900000095367432,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.949999988079071,0.949999988079071,0.36000001430511475,1.0,0.9700000286102295,0.9700000286102295,0.0
27 Romania (RO),0.9200000166893005,0.9200000166893005,0.20999999344348907,0.20999999344348907,0.20999999344348907,0.8100000023841858,0.8100000023841858,0.029999999329447746,1.0,0.9800000190734863,0.9800000190734863,0.0
28 Norway (NO),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7099999785423279,1.0,1.0,1.0,0.0
29 Switzerland (CH),1.0,1.0,1.0,1.0,1.0,0.9900000095367432,0.9900000095367432,0.36000001430511475,1.0,0.9900000095367432,0.9900000095367432,0.0
30 Iceland (IS),1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7099999785423279,1.0,1.0,1.0,0.0
31 Croatia (HR),1.0,1.0,0.6600000262260437,0.6600000262260437,0.6600000262260437,0.9300000071525574,0.9300000071525574,0.25,1.0,0.9700000286102295,0.9700000286102295,0.0
32 Turkey (TR),0.9800000190734863,0.9800000190734863,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.9399999976158142,0.9399999976158142,0.2199999988079071,1.0,0.5600000023841858,0.5600000023841858,0.0
33 Macedonia (MK),1.0,1.0,0.5099999904632568,0.5099999904632568,0.5099999904632568,1.0,1.0,0.6200000047683716,1.0,0.9700000286102295,0.9700000286102295,0.0
34 USA (US),1.0,1.0,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.9300000071525574,0.9300000071525574,0.25,1.0,1.0,1.0,0.0
35 Japan (JA),0.7200000286102295,0.7200000286102295,0.8899999856948853,0.8899999856948853,0.8899999856948853,0.8199999928474426,0.8199999928474426,0.2199999988079071,1.0,0.800000011920929,0.800000011920929,0.0
36 Canada (CA),1.0,1.0,1.0,1.0,1.0,0.9900000095367432,0.9900000095367432,0.550000011920929,1.0,1.0,1.0,0.0
37 Australia (AU),1.0,1.0,0.7099999785423279,0.7099999785423279,0.7099999785423279,0.949999988079071,0.949999988079071,0.2800000011920929,1.0,1.0,1.0,0.0
38 New Zealand (NZ),1.0,1.0,1.0,1.0,1.0,0.8500000238418579,0.8500000238418579,0.44999998807907104,1.0,0.9900000095367432,0.9900000095367432,0.0
39 Russian Fed. (RS),0.9800000190734863,0.9800000190734863,0.3100000023841858,0.3100000023841858,0.3100000023841858,0.8199999928474426,0.8199999928474426,0.18000000715255737,1.0,0.9700000286102295,0.9700000286102295,0.0
