,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,226.46359550294892,75.48786516764964,7.670541138003108,2.5568470460010357,20,20,0,0.1,0.75,0.06054698025799332,0.15,0.01,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,226.46359550294892,75.48786516764964,7.670541138003108,2.5568470460010357,20,20,-0.0840642647884745,0.1,0.92,0.06054698025799332,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,198.2860974449783,66.09536581499277,9.914304872248916,3.3047682907496387,20,20,0,0.1,0.75,0.10254162,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,198.2860974449783,66.09536581499277,9.914304872248916,3.3047682907496387,20,20,-0.0840642647884745,0.1,0.97,0.10254162,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,511.3694092002072,170.4564697334024,21.915831822866025,7.305277274288675,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,614.8608372526301,204.95361241754335,10.836161290194868,3.6120537633982894,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.05,1.34,0,0,5,1,0.85,1,0
7 Coal,189.5658421778875,63.18861405929584,4.739146054447188,1.579715351482396,20,20,0,0.1,0.75,0.00912295786758383,0.15,0.03,1.34,0,353.88,5,1,0.75,1,0
8 District heating,150.44958708609047,50.149862362030156,3.120678760564118,1.0402262535213727,20,20,0,0.1,0.98,0.0210232158211521,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,706.9164839705426,235.63882799018086,6.307061332560182,2.1023537775200607,20,20,0,0.1,1,0.12821433999999998,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1774.1387666129635,591.3795888709878,21.91583182286602,7.305277274288674,20,20,-0.22650852980867975,0.1,3.9,0.12821433999999998,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1147.972143102506,382.6573810341686,19.828609744497832,6.6095365814992775,20,20,-0.22650852980867975,0.1,3.5,0.12821433999999998,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,899.1110491432215,299.7036830477405,19.66805420000797,6.556018066669323,20,20,-0.22650852980867975,0.1,5.9,0.12821433999999998,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1061.0045565038313,353.6681855012771,6.957406927893975,2.3191356426313248,20,20,-0.2630344058337938,0.1,1,0,0,0,1.155714,0,0,5,1,1,1,0
