,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,278.4475,92.81583333333333,9.42775,3.142583333333333,20,20,0,0.1,0.75,0.04972173415492957,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,278.4475,92.81583333333333,9.42775,3.142583333333333,20,20,-0.0840642647884745,0.1,0.92,0.04972173415492957,0.15,0.03,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,319.4785714285714,106.49285714285713,12.215357142857142,4.071785714285714,20,20,0,0.1,0.75,0.06819426,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,319.4785714285714,106.49285714285713,12.215357142857142,4.071785714285714,20,20,-0.0840642647884745,0.1,0.97,0.06819426,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,964.7,321.56666666666666,43.85,14.616666666666667,20,20,0,0.1,0.7,0.046,0.3,-0.03,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,786.3766666666667,262.12555555555554,16.80916666666667,5.603055555555557,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0.03,2.07,0,0,5,1,0.85,1,0
7 Coal,233.08,77.69333333333334,5.827000000000001,1.9423333333333337,20,20,0,0.1,0.75,0.0216835769561478,0.15,0.05,2.07,0,353.88,5,1,0.75,1,0
8 District heating,183.26040288820099,61.08680096273366,3.8012523531778153,1.2670841177259384,20,20,0,0.1,0.98,0.0908207999273433,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,861.0844480857296,287.02814936190987,7.682537541190987,2.5608458470636624,20,20,0,0.1,1,0.303,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2505.714285714286,835.2380952380953,31.321428571428573,10.440476190476192,20,20,-0.22650852980867975,0.1,3.9,0.303,0.1,-0.055,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1691.357142857143,563.7857142857143,26.31,8.77,20,20,-0.22650852980867975,0.1,3.2,0.303,0.1,-0.075,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1227.8,409.26666666666665,20.23846153846154,6.746153846153846,20,20,-0.22650852980867975,0.1,5.3,0.303,0.1,-0.02,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1566.0714285714284,522.0238095238095,8.352380952380951,2.7841269841269836,20,20,-0.2630344058337938,0.1,1,0,0,0,0.605714,0,0,5,1,1,1,0
