,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,178.08783228752466,59.36261076250822,6.032007222641964,2.010669074213988,20,20,0,0.1,0.75,0.0434886365345445,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,178.08783228752466,59.36261076250822,6.032007222641964,2.010669074213988,20,20,-0.0840642647884745,0.1,0.92,0.0434886365345445,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,155.92943840843174,51.97647946947725,7.796471920421587,2.5988239734738623,20,20,0,0.1,0.75,0.01301196,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,155.92943840843174,51.97647946947725,7.796471920421587,2.5988239734738623,20,20,-0.0840642647884745,0.1,0.97,0.01301196,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,402.1338148427976,134.0446049475992,17.234306350405614,5.744768783468538,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,483.51803927526856,161.17267975842284,8.521407028811664,2.840469009603888,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.03,1.34,0,0,5,1,0.85,1,0
7 Coal,149.0719505457088,49.69065018190293,3.7267987636427202,1.2422662545475733,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,118.3114697671844,39.437156589061466,2.454058518766855,0.8180195062556184,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,555.909323787952,185.30310792931732,4.959785604064047,1.653261868021349,20,20,0,0.1,1,0.15169645,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1395.1581331280734,465.0527110426911,17.23430635040561,5.744768783468537,20,20,-0.22650852980867975,0.1,3.9,0.15169645,0.1,-0.02,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,902.7493802593416,300.9164600864472,15.592943840843175,5.197647946947725,20,20,-0.22650852980867975,0.1,3.5,0.15169645,0.1,-0.02,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,707.0484656576663,235.68282188588876,15.466685186261447,5.155561728753816,20,20,-0.22650852980867975,0.1,5.9,0.15169645,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,834.35927569424,278.11975856474663,5.47120836520813,1.8237361217360435,20,20,-0.2630344058337938,0.1,1,0,0,0,1.34,0,0,5,1,1,1,0
