,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,277.821997062117,92.607332354039,9.410099900491058,3.136699966830353,20,20,0,0.1,0.75,0.07728874999999999,0.15,0,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,277.821997062117,92.607332354039,9.410099900491058,3.136699966830353,20,20,-0.0840642647884745,0.1,0.92,0.07728874999999999,0.15,0,2.47,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,243.25428314194576,81.08476104731525,12.162714157097287,4.054238052365762,20,20,0,0.1,0.75,0.06990293580000001,0.15,0,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,243.25428314194576,81.08476104731525,12.162714157097287,4.054238052365762,20,20,-0.0840642647884745,0.1,0.97,0.06990293580000001,0.15,0,2.47,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,627.3399933660706,209.11333112202354,26.885999715688744,8.96199990522958,20,20,0,0.1,0.7,0.046,0.3,0,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,754.3016586901564,251.43388623005214,13.293633192757211,4.431211064252404,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0.02,2.47,0,0,5,1,0.85,1,0
7 Coal,232.5564103654665,77.51880345515549,5.813910259136663,1.9379700863788878,20,20,0,0.1,0.75,0.00595270851246775,0.15,0,2.47,0,353.88,5,1,0.75,1,0
8 District heating,184.5692003988529,61.52306679961763,3.8283998959027645,1.2761332986342548,20,20,0,0.1,0.98,0.0727631999417894,0.15,0,2.47,0,0,5,1,0.98,1,0
9 Electric,867.2340863292033,289.0780287764011,7.7374042000596495,2.5791347333532166,20,20,0,0.1,1,0.18214988000000001,0.1,0,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,2176.4856912700407,725.4952304233469,26.88599971568874,8.96199990522958,20,20,-0.22650852980867975,0.1,3.9,0.18214988000000001,0.1,-0.035,2.47,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1408.314270821791,469.43809027393036,24.325428314194575,8.108476104731524,20,20,-0.22650852980867975,0.1,2.7,0.18214988000000001,0.1,-0.042,2.09,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1103.0153729513331,367.6717909837777,24.128461283310408,8.042820427770137,20,20,-0.22650852980867975,0.1,4.6,0.18214988000000001,0.1,0,2.22,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1301.6237957595342,433.8745985865114,8.53523800498055,2.845079334993517,20,20,-0.2630344058337938,0.1,1,0,0,0,0.63,0,0,5,1,1,1,0
