,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,211.17220713520987,70.39073571173662,7.152607015870011,2.384202338623337,20,20,0,0.1,0.75,0.06021917323137665,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,211.17220713520987,70.39073571173662,7.152607015870011,2.384202338623337,20,20,-0.0840642647884745,0.1,0.92,0.06021917323137665,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,184.89732421976902,61.63244140658967,9.244866210988452,3.081622070329484,20,20,0,0.1,0.75,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,184.89732421976902,61.63244140658967,9.244866210988452,3.081622070329484,20,20,-0.0840642647884745,0.1,0.97,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,476.8404677246674,158.94682257488913,20.436020045342893,6.812006681780964,20,20,0,0.1,0.7,0.00331986242476354,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,573.3438957165644,191.11463190552146,10.104476577975095,3.368158859325032,20,20,-0.0976107966264223,0.1,0.82,0.00331986242476354,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,176.7658823982069,58.92196079940231,4.419147059955173,1.4730490199850577,20,20,0,0.1,0.75,0.00331986242476354,0.15,0.007,1.34,0,353.88,5,1,0.75,1,0
8 District heating,140.29085468236764,46.76361822745588,2.9099627256413263,0.9699875752137754,20,20,0,0.1,0.98,0.00692089423903697,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,659.1837149312496,219.7279049770832,5.881192777037439,1.960397592345813,20,20,0,0.1,1,0.094824,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1654.344479861091,551.448159953697,20.43602004534289,6.8120066817809635,20,20,-0.22650852980867975,0.1,3.9,0.094824,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1070.4581928512941,356.81939761709805,18.489732421976903,6.163244140658968,20,20,-0.22650852980867975,0.1,3.5,0.094824,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,838.4008223730417,279.4669407910139,18.34001798941029,6.11333932980343,20,20,-0.22650852980867975,0.1,5.9,0.094824,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,989.3628752110446,329.7876250703482,6.487625411219964,2.162541803739988,20,20,-0.2630344058337938,0.1,1,0,0,0,1.441429,0,0,5,1,1,1,0
