,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,247.18766070249168,82.39588690083056,8.372485281858589,2.7908284272861965,20,20,0,0.1,0.75,0.07394673415492958,0.15,0,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,247.18766070249168,82.39588690083056,8.372485281858589,2.7908284272861965,20,20,-0.0840642647884745,0.1,0.92,0.07394673415492958,0.15,0,2.47,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,216.431592320154,72.143864106718,10.821579616007702,3.6071932053359004,20,20,0,0.1,0.75,0.04290786,0.15,0,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,216.431592320154,72.143864106718,10.821579616007702,3.6071932053359004,20,20,-0.0840642647884745,0.1,0.97,0.04290786,0.15,-0.01,2.47,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,558.1656854572393,186.05522848574643,23.92138651959597,7.97379550653199,20,20,0,0.1,0.7,0.046,0.3,0,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,671.1277884664424,223.70926282214748,11.82779666802245,3.942598889340817,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0,2.47,0,0,5,1,0.85,1,0
7 Coal,206.9133318005612,68.97111060018706,5.17283329501403,1.7242777650046766,20,20,0,0.1,0.75,0.00912639724849527,0.15,0,2.47,0,353.88,5,1,0.75,1,0
8 District heating,164.21748229720322,54.739160765734404,3.406257332065324,1.1354191106884415,20,20,0,0.1,0.98,0.0730079999415935,0.15,0.01,2.47,0,0,5,1,0.98,1,0
9 Electric,771.6076025227352,257.20253417424505,6.884231142052985,2.294743714017662,20,20,0,0.1,1,0.1256857,0.1,0,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,1936.4931944434832,645.497731481161,23.92138651959597,7.97379550653199,20,20,-0.22650852980867975,0.1,3.9,0.1256857,0.1,-0.03,2.47,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1253.0250081693127,417.6750027231042,21.643159232015403,7.214386410671801,20,20,-0.22650852980867975,0.1,2.7,0.1256857,0.1,-0.035,2.09,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,981.3902161885527,327.1300720628509,21.46791097912459,7.155970326374863,20,20,-0.22650852980867975,0.1,4.6,0.1256857,0.1,0,2.22,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1158.098871186789,386.032957062263,7.594090958601894,2.5313636528672983,20,20,-0.2630344058337938,0.1,1,0,0,0,0.617143,0,0,5,1,1,1,0
