,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,229.78175095748907,76.5939169858297,7.7829302743665645,2.5943100914555215,20,20,0,0.1,0.75,0.08464060590802308,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,229.78175095748907,76.5939169858297,7.7829302743665645,2.5943100914555215,20,20,-0.0840642647884745,0.1,0.92,0.08464060590802308,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,201.19139484757108,67.06379828252369,10.059569742378555,3.353189914126185,20,20,0,0.1,0.75,0.03224016,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,201.19139484757108,67.06379828252369,10.059569742378555,3.353189914126185,20,20,-0.0840642647884745,0.1,0.97,0.03224016,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,518.8620182911044,172.9540060970348,22.236943641047333,7.412314547015778,20,20,0,0.1,0.7,0.046,0.3,-0.01,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,623.8698077071612,207.95660256905373,10.994933244740068,3.6649777482466894,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,192.34336998239004,64.11445666079668,4.808584249559752,1.6028614165199173,20,20,0,0.1,0.75,0.0105803955288048,0.15,0.03,2.07,0,353.88,5,1,0.75,1,0
8 District heating,152.65398164634783,50.88466054878261,3.1664030953219253,1.0554676984406417,20,20,0,0.1,0.98,0.0747359999402112,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,717.2742581725364,239.09141939084546,6.399472697469742,2.133157565823247,20,20,0,0.1,1,0.14603774,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,1800.1335328466885,600.0445109488961,22.23694364104733,7.412314547015776,20,20,-0.22650852980867975,0.1,3.9,0.14603774,0.1,-0.03,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1164.792285959622,388.264095319874,20.11913948475711,6.70637982825237,20,20,-0.22650852980867975,0.1,3.2,0.14603774,0.1,-0.03,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,912.2848673250187,304.0949557750062,19.956231472734782,6.652077157578261,20,20,-0.22650852980867975,0.1,5.3,0.14603774,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1076.5504461141961,358.850148704732,7.059347187634072,2.3531157292113574,20,20,-0.2630344058337938,0.1,1,0,0,0,0.848571,0,0,5,1,1,1,0
