,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1 Oil,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332,585.9345332
2 Oil condensing,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369,42.71335369
3 Gas,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572,1228.47572
4 Gas condensing,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339,389.2343339
5 Wood stove,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736,1296.984736
6 Wood boiler,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623,1064.51623
7 Coal,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633,288.5999633
8 District heating,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438,525.0103438
9 Electric,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179,406.0817179
10 Heatpump Ground,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537,235.8935537
