,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,241.10113769803257,80.36704589934419,8.937369759496034,2.9791232531653447,20,20,0,0.1,0.75,0.08816346830985916,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,241.10113769803257,80.36704589934419,8.937369759496034,2.9791232531653447,20,20,-0.0840642647884745,0.1,0.92,0.08816346830985916,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,227.44269886292233,75.81423295430744,11.579980751506488,3.859993583835496,20,20,0,0.1,0.75,0.051626399999999996,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,227.44269886292233,75.81423295430744,11.579980751506488,3.859993583835496,20,20,-0.0840642647884745,0.1,0.97,0.051626399999999996,0.15,-0.01,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,498.82994006489497,166.2766466882983,24.94149700324475,8.313832334414917,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,699.7475548132554,233.2491849377518,12.74787624610287,4.24929208203429,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0.01,2.07,0,0,5,1,0.85,1,0
7 Coal,212.0177775848711,70.67259252829037,5.04546217641184,1.6818207254706135,20,20,0,0.1,0.75,0.0151212381771281,0.15,0,2.07,0,353.88,5,1,0.75,1,0
8 District heating,166.700117297342,55.56670576578066,3.4577530288313967,1.152584342943799,20,20,0,0.1,0.98,0.078,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,783.2727432470898,261.0909144156966,6.988306743159659,2.3294355810532195,20,20,0,0.1,1,0.172,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2137.842600278121,712.614200092707,23.7538066697569,7.9179355565856335,20,20,-0.22650852980867975,0.1,3.9,0.172,0.1,0,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1365.8438835110219,455.28129450367396,21.378426002781215,7.1261420009270715,20,20,-0.22650852980867975,0.1,3.2,0.172,0.1,-0.035,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,831.3832334414916,277.1277444804972,20.46481805394441,6.82160601798147,20,20,-0.22650852980867975,0.1,5.3,0.172,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1187.690333487845,395.8967778292817,7.917935556585633,2.639311852195211,20,20,-0.2630344058337938,0.1,1,0,0,0,1.102857,0,0,5,1,1,1,0
