,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,251.97455384842644,83.99151794947548,9.3404360478296,3.1134786826098666,20,20,0,0.1,0.75,0.0942940670679277,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,251.97455384842644,83.99151794947548,9.3404360478296,3.1134786826098666,20,20,-0.0840642647884745,0.1,0.92,0.0942940670679277,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,237.70013331021508,79.2333777700717,12.102226108483535,4.034075369494512,20,20,0,0.1,0.75,0.06990293580000001,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,237.70013331021508,79.2333777700717,12.102226108483535,4.034075369494512,20,20,-0.0840642647884745,0.1,0.97,0.06990293580000001,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,521.3266631346754,173.77555437822514,26.066333156733773,8.688777718911258,20,20,0,0.1,0.7,0.046,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,731.3054580083641,243.76848600278802,13.322792502330593,4.440930834110198,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,221.57956376710518,73.85985458903507,5.273007390171508,1.7576691300571694,20,20,0,0.1,0.75,0.00912639724849527,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,174.21812308113743,58.07270769371248,3.6136941744715214,1.2045647248238405,20,20,0,0.1,0.98,0.0781919999374464,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,818.5975475093293,272.8658491697764,7.303472271329619,2.4344907571098733,20,20,0,0.1,1,0.19164984000000002,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,2234.2571277200377,744.7523759066793,24.825079196889305,8.275026398963101,20,20,-0.22650852980867975,0.1,3.9,0.19164984000000002,0.1,-0.015,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1427.442053821135,475.81401794037833,22.342571277200374,7.447523759066791,20,20,-0.22650852980867975,0.1,3.5,0.19164984000000002,0.1,-0.03,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,868.8777718911257,289.62592396370854,21.387760538858476,7.129253512952825,20,20,-0.22650852980867975,0.1,5.9,0.19164984000000002,0.1,0,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1241.2539598444653,413.75131994815507,8.2750263989631,2.7583421329877,20,20,-0.2630344058337938,0.1,1,0,0,0,1.302857,0,0,5,1,1,1,0
