,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,280,93.33333333333333,9.250000000000004,3.0833333333333344,20,20,0,0.1,0.75,0.11986969538378237,0.15,0,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,280,93.33333333333333,9.25,3.0833333333333335,20,20,-0.0840642647884745,0.1,0.92,0.11986969538378237,0.15,0,2.47,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,278.5714,92.85713333333332,13.71429,4.57143,20,20,0,0.1,0.75,0.07503388,0.15,0,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,278.5714,92.85713333333332,13.71429,4.57143,20,20,-0.0840642647884745,0.1,0.97,0.07503388,0.15,-0.03,2.47,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,504,168,29,9.666666666666666,20,20,0,0.1,0.7,0.046,0.3,0,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,350,116.66666666666667,25.933329999999998,8.644443333333333,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0.055,2.47,0,0,5,1,0.85,1,0
7 Coal,242.71147260946984,80.90382420315662,6.0677868152367465,2.0225956050789153,20,20,0,0.1,0.75,0.0497652622527945,0.15,0,2.47,0,353.88,5,1,0.75,1,0
8 District heating,190.8332,63.611066666666666,3.95833,1.3194433333333333,20,20,0,0.1,0.98,0.13004999989596,0.15,0,2.47,0,0,5,1,0.98,1,0
9 Electric,896.6667,298.8889,8,2.6666666666666665,20,20,0,0.1,1,0.269,0.1,0,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,2072.85714,690.9523800000001,41,13.666666666666666,20,20,-0.22650852980867975,0.1,3.9,0.269,0.1,-0.04,2.47,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1564.28571,521.42857,44.42857,14.809523333333333,20,20,-0.22650852980867975,0.1,2.7,0.269,0.1,-0.07,2.09,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,261.538462,87.17948733333333,23.07692,7.692306666666667,20,20,-0.22650852980867975,0.1,4.6,0.269,0.1,0,2.22,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,985.714286,328.5714286666667,12.38095,4.1269833333333334,20,20,-0.2630344058337938,0.1,1,0,0,0,0.648571,0,0,5,1,1,1,0
