,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,310.3312457142857,103.44374857142856,12.413249828571429,4.137749942857143,20,20,0.0,0.1,0.75,0.0844926913155632,0.15,0.0,2.47,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,337.3165714285714,112.43885714285712,13.492662857142856,4.497554285714285,20,20,-0.0840642647884745,0.1,0.86,0.0844926913155632,0.15,0.0,2.47,0,266.76,3,1,0.86,1.0,0
3 Gas,263.05422,87.68473999999999,5.2610844,1.7536948,20,20,0.0,0.1,0.75,0.0643886500429922,0.15,0.01,2.47,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,285.9285,95.3095,5.71857,1.90619,20,20,-0.0840642647884745,0.1,0.9,0.0643886500429922,0.15,0.01,2.47,0,201.96,3,1,0.9,1.0,0
5 Wood stove,289.88142857142856,96.62714285714284,0.0724703571428571,0.0241567857142857,20,20,0.0,0.1,0.7,0.046,0.3,0.0,2.47,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,344.5636071428571,114.8545357142857,1.3782544285714284,0.4594181428571428,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0.0,2.47,0,0.0,3,1,0.85,1.0,0
7 Coal,162.72889285714285,54.24296428571428,3.254577857142857,10.954339516017855,20,20,0.0,0.1,0.75,0.0279036973344797,0.15,0.05,2.47,0,353.88,3,1,0.75,1.0,0
8 District heating,174.58767857142857,58.19589285714285,10.475260714285714,0.4468166340210459,20,20,0.0,0.1,0.98,0.0814571999348342,0.15,0.0,2.47,0,0.0,3,1,0.98,1.0,0
9 Electric,354.44592857142857,118.14864285714285,0.3544459285714286,0.1181486428571428,20,20,0.0,0.1,1.0,0.1298460877042132,0.1,-0.03,2.47,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,922.35,307.45,9.2235,3.0745,20,20,-0.4329594072761062,0.1,3.5,0.1298460877042132,0.1,0.0,2.47,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,494.1160714285714,164.70535714285714,9.882321428571428,3.2941071428571425,20,20,-0.4329594072761062,0.1,2.5,0.1298460877042132,0.1,0.0,1.71,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,335.99892857142856,111.99964285714285,33.599892857142855,11.199964285714284,20,20,-0.4329594072761062,0.1,2.5,0.1298460877042132,0.1,0.0,1.97,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,509.2689642857143,169.75632142857145,5.092689642857143,1.6975632142857142,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.0,0.476,0,0.0,3,1,1.0,1.0,0
