,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,116.1154479446736,38.7051493148912,3.932942591674428,1.310980863891476,20,20,0,0.1,0.75,0.07483845678819168,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,116.1154479446736,38.7051493148912,3.932942591674428,1.310980863891476,20,20,-0.0840642647884745,0.1,0.92,0.07483845678819168,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,101.66790373035937,33.889301243453126,5.0833951865179685,1.6944650621726562,20,20,0,0.1,0.75,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,101.66790373035937,33.889301243453126,5.0833951865179685,1.6944650621726562,20,20,-0.0840642647884745,0.1,0.97,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,262.1961727782952,87.39872425943173,11.23697883335551,3.745659611118503,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,315.25968393580735,105.08656131193578,5.556061756492446,1.852020585497482,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.013,1.34,0,0,5,1,0.85,1,0
7 Coal,97.19673765052487,32.398912550174956,2.429918441263122,0.8099728137543739,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,77.14052741587376,25.713509138624588,1.6000762125567016,0.5333587375189005,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,362.4596881163814,120.8198960387938,3.2338409633490923,1.0779469877830308,20,20,0,0.1,1,0.11759765180000001,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,909.6601912716364,303.22006375721213,11.23697883335551,3.745659611118503,20,20,-0.22650852980867975,0.1,3.9,0.11759765180000001,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,588.6036531757647,196.2012177252549,10.166790373035937,3.3889301243453125,20,20,-0.22650852980867975,0.1,3.5,0.11759765180000001,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,461.00425982996967,153.6680866099899,10.084468183780585,3.3614893945935282,20,20,-0.22650852980867975,0.1,5.9,0.11759765180000001,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,544.0124673291159,181.3374891097053,3.567294867731907,1.189098289243969,20,20,-0.2630344058337938,0.1,1,0,0,0,1.395714,0,0,5,1,1,1,0
