,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,234.91651959829565,78.30550653276521,9.396660783931829,3.132220261310609,20,20,0.0,0.1,0.75,0.0229071367153912,0.15,0.0,1.34,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,255.3440430416257,85.11468101387523,10.213761721665028,3.404587240555009,20,20,-0.0840642647884745,0.1,0.86,0.0229071367153912,0.15,0.0,1.34,0,266.76,3,1,0.86,1.0,0
3 Gas,199.1284560657428,66.37615202191427,3.982569121314856,1.3275230404382854,20,20,0.0,0.1,0.75,0.0181306964746345,0.15,0.0,1.34,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,216.44397398450303,72.14799132816768,4.328879479690061,1.4429598265633534,20,20,-0.0840642647884745,0.1,0.9,0.0181306964746345,0.15,0.0,1.34,0,201.96,3,1,0.9,1.0,0
5 Wood stove,219.43628698889708,73.14542899629902,0.0548590717472242,0.0182863572490747,20,20,0.0,0.1,0.15,0.0091229578675838,0.3,-0.04,1.34,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,260.8299502163481,86.9433167387827,1.0433198008653923,0.3477732669551308,20,20,-0.0976107966264223,0.1,0.85,0.0091229578675838,0.3,0.0,1.34,0,0.0,3,1,0.85,1.0,0
7 Coal,123.18355201422176,41.06118400474059,2.4636710402844355,3.798864077083232,20,20,0.0,0.1,0.75,0.0091229578675838,0.15,0.02,1.34,0,353.88,3,1,0.75,1.0,0
8 District heating,132.16049102740394,44.053497009134645,7.929629461644236,0.1549518944107766,20,20,0.0,0.1,0.98,0.0181306964746345,0.15,0.0,1.34,0,0.0,3,1,0.98,1.0,0
9 Electric,268.31073272733323,89.43691090911108,0.2683107327273332,0.089436910909111,20,20,0.0,0.1,1.0,0.1501023215821152,0.1,-0.12,1.34,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,698.2063676919453,232.7354558973151,6.982063676919453,2.327354558973151,20,20,-0.4329594072761062,0.1,3.5,0.1501023215821152,0.1,0.0,1.34,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,374.0391255492564,124.67970851641878,7.480782510985128,2.493594170328376,20,20,-0.4329594072761062,0.1,2.5,0.1501023215821152,0.1,0.0,1.17,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,254.3466053734944,84.78220179116478,25.43466053734944,8.478220179116478,20,20,-0.4329594072761062,0.1,2.5,0.1501023215821152,0.1,0.0,1.2,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,385.5096587327669,128.50321957758896,3.855096587327669,1.2850321957758897,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.0,1.0455162322423122,0,0.0,3,1,1.0,1.0,0
