,1 Investment cost mean,2 Investment cost SD,3 O&M cost mean,4 O&M cost SD,5 Lifetime,6 Leadtime,7 Learning rate,8 Discount rate,9 Conversion efficiency,10 Fuel cost mean,11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Empty,16 Empty,17 Empty,18 Empty,19 Empty,20 Empty
1 Oil,682.5117257142858,227.5039085714286,27.300469028571435,9.100156342857144,20,20,0.0,0.1,0.75,0.1448331900257953,0.15,0.0,2.47,0,266.76,3,1,0.75,1.0,0
2 Oil condensing,741.8605714285715,247.28685714285717,29.674422857142854,9.891474285714285,20,20,-0.0840642647884745,0.1,0.86,0.1448331900257953,0.15,0.0,2.47,0,266.76,3,1,0.86,1.0,0
3 Gas,578.53533,192.84511,11.5707066,3.8569022,20,20,0.0,0.1,0.75,0.1319208942390369,0.15,0.0,2.47,0,201.96,3,1,0.75,1.0,0
4 Gas condensing,628.84275,209.61425,12.576855,4.192285,20,20,-0.0840642647884745,0.1,0.9,0.1319208942390369,0.15,0.0,2.47,0,201.96,3,1,0.9,1.0,0
5 Wood stove,637.5364285714286,212.5121428571429,0.1593841071428571,0.0531280357142857,20,20,0.0,0.1,0.7,0.046,0.3,0.0,2.47,0,0.0,3,1,0.7,1.0,0
6 Wood boiler,757.7989821428572,252.59966071428573,3.031195928571429,1.010398642857143,20,20,-0.0976107966264223,0.1,0.85,0.046,0.3,0.02,2.47,0,0.0,3,1,0.85,1.0,0
7 Coal,357.8897678571429,119.29658928571428,7.157795357142858,22.56527196418393,20,20,0.0,0.1,0.75,0.0206629406706792,0.15,0.0,2.47,0,353.88,3,1,0.75,1.0,0
8 District heating,383.9708035714286,127.99026785714284,23.038248214285712,0.9204150419167728,20,20,0.0,0.1,0.98,0.09134999992692,0.15,-0.01,2.47,0,0.0,3,1,0.98,1.0,0
9 Electric,779.5331785714286,259.84439285714285,0.7795331785714287,0.2598443928571429,20,20,0.0,0.1,1.0,0.1613955288048151,0.1,-0.05,2.47,0,0.0,3,1,1.0,0.0,0
10 Heatpump Ground,2028.525,676.175,20.28525,6.76175,20,20,-0.4329594072761062,0.1,3.5,0.1613955288048151,0.1,0.01,2.47,0,0.0,3,1,1.0,0.7142857142857143,0
11 Heatpump AirWater,1086.7098214285716,362.2366071428572,21.734196428571437,7.244732142857144,20,20,-0.4329594072761062,0.1,2.5,0.1613955288048151,0.1,0.0,1.71,0,0.0,3,1,1.0,0.6,0
12 Heatpump AirAir,738.9626785714286,246.32089285714284,73.89626785714286,24.632089285714287,20,20,-0.4329594072761062,0.1,2.5,0.1613955288048151,0.1,-0.01,1.97,0,0.0,3,1,1.0,0.6,0
13 Solar Thermal,1120.0355892857144,373.34519642857146,11.200355892857145,3.733451964285715,20,20,-0.2630344058337938,0.1,1.0,0.0,0.0,0.0,0.523,0,0.0,3,1,1.0,1.0,0
