,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,245.56,81.85333333333334,4.6042499999999995,1.5347499999999998,20,20,0,0.1,0.75,0.052564344348140134,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,245.56,81.85333333333334,4.6042499999999995,1.5347499999999998,20,20,-0.0840642647884745,0.1,0.92,0.052564344348140134,0.15,-0.012,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,200.45714285714286,66.81904761904762,6.890714285714286,2.296904761904762,20,20,0,0.1,0.75,0.04703446,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,200.45714285714286,66.81904761904762,6.890714285714286,2.296904761904762,20,20,-0.0840642647884745,0.1,0.97,0.04703446,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,526.2,175.4,26.310000000000002,8.770000000000001,20,20,0,0.1,0.7,0.046,0.3,-0.05,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,745.45,248.48333333333335,11.693333333333333,3.897777777777778,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,205.5508661417323,68.51695538057744,5.138771653543309,1.7129238845144361,20,20,0,0.1,0.75,0.0638865004299226,0.15,0,2.07,0,353.88,5,1,0.75,1,0
8 District heating,180.08487453313418,60.02829151104473,3.7353844163947416,1.2451281387982471,20,20,0,0.1,0.98,0.0548639999561087,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,846.1636139180157,282.0545379726719,7.549414862115572,2.516471620705191,20,20,0,0.1,1,0.2141881,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2756.285714285714,918.7619047619047,31.321428571428573,10.440476190476192,20,20,-0.22650852980867975,0.1,3.9,0.2141881,0.1,-0.1,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1628.7142857142858,542.9047619047619,26.31,8.77,20,20,-0.22650852980867975,0.1,3.2,0.2141881,0.1,-0.09,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1281.7692307692307,427.2564102564102,10.793846153846154,3.597948717948718,20,20,-0.22650852980867975,0.1,5.3,0.2141881,0.1,-0.03,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1252.857142857143,417.61904761904765,8.352380952380951,2.7841269841269836,20,20,-0.2630344058337938,0.1,1,0,0,-0.06,0.592857,0,0,5,1,1,1,0
