,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,219.6631128991851,73.2210376330617,7.44020221110143,2.4800674037004766,20,20,0,0.1,0.75,0.08464060590802308,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,219.6631128991851,73.2210376330617,7.44020221110143,2.4800674037004766,20,20,-0.0840642647884745,0.1,0.92,0.08464060590802308,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,192.33175783799618,64.11058594599872,9.61658789189981,3.2055292972999365,20,20,0,0.1,0.75,0.03724476,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,192.33175783799618,64.11058594599872,9.61658789189981,3.2055292972999365,20,20,-0.0840642647884745,0.1,0.97,0.03724476,0.15,-0.015,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,496.01348074009536,165.33782691336512,21.257720603146947,7.085906867715649,20,20,0,0.1,0.7,0.046,0.3,-0.015,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,596.397161366067,198.799053788689,10.510761853778213,3.503587284592738,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,183.8733633972008,61.291121132400264,4.59683408493002,1.5322780283100066,20,20,0,0.1,0.75,0.0123748925193465,0.15,0.04,2.07,0,353.88,5,1,0.75,1,0
8 District heating,145.9317315894922,48.64391052983073,3.0269677975458915,1.0089892658486306,20,20,0,0.1,0.98,0.0405107999675913,0.15,0.04,2.07,0,0,5,1,0.98,1,0
9 Electric,685.6884661035696,228.56282203452318,6.117666384653915,2.0392221282179714,20,20,0,0.1,1,0.09586882,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,1720.8630964452288,573.6210321484097,21.257720603146947,7.085906867715649,20,20,-0.22650852980867975,0.1,3.9,0.09586882,0.1,-0.025,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1113.4996506410305,371.1665502136768,19.23317578379962,6.411058594599873,20,20,-0.22650852980867975,0.1,3.2,0.09586882,0.1,-0.012,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,872.1116144880799,290.70387149602664,19.077441566926748,6.359147188975583,20,20,-0.22650852980867975,0.1,5.3,0.09586882,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1029.1436165015584,343.04787216718614,6.748482731157759,2.249494243719253,20,20,-0.2630344058337938,0.1,1,0,0,-0.025,0.748571,0,0,5,1,1,1,0
