RTI,HTTI,1 Inv cost mean (EUR/kW),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Replacetime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Belgium (BE),1 Oil,570.8721313476562,190.2907257080078,9.320417404174805,3.1068060398101807,20.0,20.0,0.0,0.10000000149011612,0.75,0.04735560715198517,0.15000000596046448,-0.17000000178813934,2.069999933242798,0.414000004529953,266.760009765625,5.0,1.0,0.75,1.0,0.0
1 Belgium (BE),2 Oil condensing,634.3023681640625,211.4341278076172,9.320417404174805,3.1068060398101807,20.0,20.0,-0.08406426757574081,0.10000000149011612,0.9200000166893005,0.04735560715198517,0.15000000596046448,-0.10999999940395355,2.069999933242798,0.414000004529953,266.760009765625,5.0,1.0,0.8600000143051147,1.0,-0.02856915257871151
1 Belgium (BE),3 Gas,375.30682373046875,125.1022720336914,12.046798706054688,4.015599727630615,20.0,20.0,0.0,0.10000000149011612,0.75,0.05040597915649414,0.15000000596046448,-0.18000000715255737,2.069999933242798,0.414000004529953,201.9600067138672,5.0,1.0,0.75,1.0,0.0
1 Belgium (BE),4 Gas condensing,417.007568359375,139.0025177001953,12.046798706054688,4.015599727630615,20.0,20.0,-0.08406426757574081,0.10000000149011612,0.9200000166893005,0.05040597915649414,0.15000000596046448,-0.3100000023841858,2.069999933242798,0.414000004529953,201.9600067138672,5.0,1.0,0.8999999761581421,1.0,-0.02856915257871151
1 Belgium (BE),5 Wood stove,372.13861083984375,124.04620361328125,26.629764556884766,8.876588821411133,20.0,20.0,0.0,0.10000000149011612,0.699999988079071,0.04600000008940697,0.30000001192092896,0.14000000059604645,2.069999933242798,0.414000004529953,0.0,5.0,1.0,0.699999988079071,1.0,0.0
1 Belgium (BE),6 Wood boiler,1183.0245361328125,394.3415222167969,13.166939735412598,4.388979911804199,20.0,20.0,-0.09761079400777817,0.10000000149011612,0.8199999928474426,0.04600000008940697,0.30000001192092896,0.20999999344348907,2.069999933242798,0.414000004529953,0.0,5.0,1.0,0.8500000238418579,1.0,0.0
1 Belgium (BE),7 Coal,431.56011962890625,143.85337829589844,5.7585015296936035,1.919500470161438,20.0,20.0,0.0,0.10000000149011612,0.75,0.060713671147823334,0.15000000596046448,0.1599999964237213,2.069999933242798,0.414000004529953,353.8800048828125,5.0,1.0,0.75,1.0,0.0
1 Belgium (BE),8 District heating,261.5833435058594,87.19444274902344,3.7919137477874756,1.263971209526062,20.0,20.0,0.0,0.10000000149011612,0.9800000190734863,0.08164799958467484,0.15000000596046448,0.25999999046325684,2.069999933242798,0.414000004529953,0.0,5.0,1.0,0.9800000190734863,1.0,0.0
1 Belgium (BE),9 Electric,310.7232971191406,103.57443237304688,7.663663387298584,2.5545544624328613,20.0,20.0,0.0,0.10000000149011612,1.0,0.27527934312820435,0.10000000149011612,-0.4000000059604645,2.069999933242798,0.414000004529953,0.0,5.0,1.0,1.0,0.0,0.0
1 Belgium (BE),10 Heatpump Ground,2004.0489501953125,668.0162963867188,26.629764556884766,8.876588821411133,20.0,20.0,-0.22650852799415588,0.10000000149011612,3.9000000953674316,0.27527934312820435,0.10000000149011612,-0.15000000596046448,2.069999933242798,0.414000004529953,0.0,5.0,1.0,1.0,0.7142857313156128,-0.07410000264644623
