,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,195.32506981626912,65.10835660542304,6.615849138938147,2.2052830463127155,20,20,0,0.1,0.75,0.0153312659757409,0.15,0.02,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,195.32506981626912,65.10835660542304,6.615849138938147,2.2052830463127155,20,20,-0.0840642647884745,0.1,0.92,0.0153312659757409,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,171.02195053037389,57.007316843457964,8.551097526518694,2.850365842172898,20,20,0,0.1,0.75,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,171.02195053037389,57.007316843457964,8.551097526518694,2.850365842172898,20,20,-0.0840642647884745,0.1,0.97,0.0351086738,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,441.0566092625432,147.01886975418105,18.902426111251852,6.300808703750618,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,530.3180658990102,176.7726886330034,9.346199577230083,3.1153998590766943,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,163.50072194139292,54.50024064713097,4.0875180485348235,1.3625060161782745,20,20,0,0.1,0.75,0.00912295786758383,0.15,0.02,1.34,0,353.88,5,1,0.75,1,0
8 District heating,129.7629141503091,43.254304716769695,2.6915884446133744,0.8971961482044581,20,20,0,0.1,0.98,0.0027944969905417,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,609.7161500909745,203.23871669699147,5.439846490036706,1.8132821633455685,20,20,0,0.1,1,0.05972156,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1530.1963994822925,510.0654664940975,18.90242611125185,6.300808703750616,20,20,-0.22650852980867975,0.1,3.9,0.05972156,0.1,-0.015,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,990.1270820179541,330.04236067265134,17.102195053037388,5.700731684345796,20,20,-0.22650852980867975,0.1,3.5,0.05972156,0.1,-0.012,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,775.4841481539221,258.49471605130736,16.963715740867045,5.654571913622348,20,20,-0.22650852980867975,0.1,5.9,0.05972156,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,915.1174545923515,305.03915153078384,6.000770194048206,2.000256731349402,20,20,-0.2630344058337938,0.1,1,0,0,-0.005,1.22,0,0,5,1,1,1,0
