,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,153.0193978587755,51.00646595292517,5.182915088764976,1.7276383629216587,20,20,0,0.1,0.75,0.07657410553046105,0.15,-0.02,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,153.0193978587755,51.00646595292517,5.182915088764976,1.7276383629216587,20,20,-0.0840642647884745,0.1,0.92,0.07657410553046105,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,133.98011794086332,44.660039313621105,6.699005897043167,2.233001965681056,20,20,0,0.1,0.75,0.00734008,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,133.98011794086332,44.660039313621105,6.699005897043167,2.233001965681056,20,20,-0.0840642647884745,0.1,0.97,0.00734008,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,345.52767258433175,115.17589086144392,14.808328825042791,4.936109608347597,20,20,0,0.1,0.7,0.00912295786758383,0.3,0.01,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,415.4558920359227,138.48529734530757,7.321895919048935,2.4406319730163117,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.008,1.34,0,0,5,1,0.85,1,0
7 Coal,128.08792053411645,42.69597351137215,3.2021980133529118,1.0673993377843038,20,20,0,0.1,0.75,0.00912295786758383,0.15,0.02,1.34,0,353.88,5,1,0.75,1,0
8 District heating,101.65742168354467,33.885807227848225,2.1086143394997587,0.7028714464999196,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,477.65705774200944,159.2190192473365,4.261624148567217,1.420541382855739,20,20,0,0.1,1,0.07571872,0.1,-0.01,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1198.7694763129875,399.5898254376625,14.80832882504279,4.936109608347596,20,20,-0.22650852980867975,0.1,3.9,0.07571872,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,775.6743670260508,258.55812234201693,13.398011794086335,4.466003931362112,20,20,-0.22650852980867975,0.1,3.5,0.07571872,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,607.5211825658581,202.50706085528603,13.289525868628145,4.429841956209382,20,20,-0.22650852980867975,0.1,5.9,0.07571872,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,716.9111574028652,238.97038580095509,4.701056769854853,1.567018923284951,20,20,-0.2630344058337938,0.1,1,0,0,0,1.26,0,0,5,1,1,1,0
