,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,192.67402740890057,64.22467580296686,6.526055767075664,2.1753519223585545,20,20,0,0.1,0.75,0.04106480574719407,0.15,0.02,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,192.67402740890057,64.22467580296686,6.526055767075664,2.1753519223585545,20,20,-0.0840642647884745,0.1,0.92,0.04106480574719407,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,168.70076132576548,56.233587108588495,8.435038066288275,2.811679355429425,20,20,0,0.1,0.75,0.11565016,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,168.70076132576548,56.233587108588495,8.435038066288275,2.811679355429425,20,20,-0.0840642647884745,0.1,0.97,0.11565016,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,435.07038447171095,145.02346149057033,18.645873620216186,6.215291206738729,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,523.120343233843,174.3734477446143,9.219348623329113,3.073116207776371,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0.015,1.34,0,0,5,1,0.85,1,0
7 Coal,161.2816143383099,53.76053811276997,4.032040358457748,1.3440134528192493,20,20,0,0.1,0.75,0.00912295786758383,0.15,0.04,1.34,0,353.88,5,1,0.75,1,0
8 District heating,128.0017117166441,42.66723723888137,2.655056958324568,0.8850189861081893,20,20,0,0.1,0.98,0.018420464316423,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,601.4407998153079,200.48026660510263,5.366014371362807,1.7886714571209357,20,20,0,0.1,1,0.12565396029999998,0.1,-0.02,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1509.427864493691,503.142621497897,18.645873620216182,6.215291206738727,20,20,-0.22650852980867975,0.1,3.9,0.12565396029999998,0.1,-0.012,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,976.6886182018002,325.5628727339334,16.87007613257655,5.62335871085885,20,20,-0.22650852980867975,0.1,3.5,0.12565396029999998,0.1,-0.012,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,764.9589177524589,254.9863059174863,16.73347632583504,5.577825441945013,20,20,-0.22650852980867975,0.1,5.9,0.12565396029999998,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,902.6970562168152,300.8990187389384,5.9193249587987875,1.9731083195995958,20,20,-0.2630344058337938,0.1,1,0,0,-0.005,1.34,0,0,5,1,1,1,0
