,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,219.8685967404876,73.2895322468292,7.447162147661675,2.482387382553892,20,20,0,0.1,0.75,0.06054698025799332,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,219.8685967404876,73.2895322468292,7.447162147661675,2.482387382553892,20,20,-0.0840642647884745,0.1,0.92,0.06054698025799332,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,192.5116745654039,64.17055818846796,9.625583728270195,3.2085279094233985,20,20,0,0.1,0.75,0.01617276,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,192.5116745654039,64.17055818846796,9.625583728270195,3.2085279094233985,20,20,-0.0840642647884745,0.1,0.97,0.01617276,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,496.4774765107784,165.49249217025945,21.27760613617622,7.092535378725407,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,596.9550610427217,198.9850203475739,10.520594145109353,3.506864715036451,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,184.04536772020884,61.348455906736284,4.601134193005221,1.533711397668407,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,2.07,0,353.88,5,1,0.75,1,0
8 District heating,146.06824341607592,48.689414472025305,3.0297993743287632,1.0099331247762544,20,20,0,0.1,0.98,0.122065348237317,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,686.3298933240626,228.77663110802087,6.123389155181631,2.041129718393877,20,20,0,0.1,1,0.058351879999999995,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,1722.4728776904556,574.1576258968186,21.277606136176217,7.0925353787254055,20,20,-0.22650852980867975,0.1,3.9,0.058351879999999995,0.1,-0.035,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1114.5412737997067,371.5137579332356,19.25116745654039,6.417055818846797,20,20,-0.22650852980867975,0.1,3.5,0.058351879999999995,0.1,-0.035,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,872.9274312277423,290.97581040924746,19.095287558106865,6.3650958527022885,20,20,-0.22650852980867975,0.1,5.9,0.058351879999999995,0.1,-0.025,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1030.1063288148803,343.36877627162676,6.7547955987861,2.2515985329287003,20,20,-0.2630344058337938,0.1,1,0,0,-0.03,1.11,0,0,5,1,1,1,0
