,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,203.05849999458943,67.68616666486314,6.877787903042544,2.2925959676808483,20,20,0,0.1,0.75,0.06121563402036656,0.15,0,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,203.05849999458943,67.68616666486314,6.877787903042544,2.2925959676808483,20,20,-0.0840642647884745,0.1,0.92,0.06121563402036656,0.15,0,2.47,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,177.79315667729028,59.26438555909676,8.889657833864513,2.963219277954838,20,20,0,0.1,0.75,0.04987918,0.15,0,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,177.79315667729028,59.26438555909676,8.889657833864513,2.963219277954838,20,20,-0.0840642647884745,0.1,0.97,0.04987918,0.15,0,2.47,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,458.5191935361696,152.8397311787232,19.65082258012156,6.550274193373853,20,20,0,0.1,0.7,0.0123069647463456,0.3,-0.02,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,551.3147446089658,183.77158153632195,9.716240053504547,3.238746684501516,20,20,-0.0976107966264223,0.1,0.82,0.0123069647463456,0.3,0.04,2.47,0,0,5,1,0.85,1,0
7 Coal,169.9741429847239,56.658047661574635,4.249353574618097,1.4164511915393658,20,20,0,0.1,0.75,0.0123069647463456,0.15,0.02,2.47,0,353.88,5,1,0.75,1,0
8 District heating,134.90056717795542,44.96685572598514,2.7981554681130762,0.9327184893710254,20,20,0,0.1,0.98,0.0154686156491831,0.15,0.04,2.47,0,0,5,1,0.98,1,0
9 Electric,633.8564065350557,211.28546884501858,5.655224234691046,1.8850747448970153,20,20,0,0.1,1,0.08139938,0.1,0,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,1590.7808755336496,530.2602918445499,19.650822580121556,6.550274193373852,20,20,-0.22650852980867975,0.1,3.9,0.08139938,0.1,-0.025,2.47,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1029.328801815891,343.109600605297,17.779315667729026,5.926438555909676,20,20,-0.22650852980867975,0.1,3.2,0.08139938,0.1,-0.018,2.09,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,806.187593030628,268.729197676876,17.635353597544988,5.878451199181662,20,20,-0.22650852980867975,0.1,5.3,0.08139938,0.1,0,2.22,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,951.349347132869,317.11644904428965,6.238356374641763,2.079452124880588,20,20,-0.2630344058337938,0.1,1,0,0,-0.02,0.895714,0,0,5,1,1,1,0
