,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,174.1151617502159,58.03838725007196,5.897449027023441,1.965816342341147,20,20,0,0.1,0.75,0.08476525935275703,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,174.1151617502159,58.03838725007196,5.897449027023441,1.965816342341147,20,20,-0.0840642647884745,0.1,0.92,0.08476525935275703,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,152.45106328359918,50.81702109453306,7.622553164179958,2.540851054726653,20,20,0,0.1,0.75,0.00734008,0.15,0,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,152.45106328359918,50.81702109453306,7.622553164179958,2.540851054726653,20,20,-0.0840642647884745,0.1,0.97,0.00734008,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,393.16326846822943,131.05442282274313,16.84985436292412,5.616618120974707,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,472.7320251820378,157.57734172734592,8.331316879445815,2.7771056264819385,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,145.74654791564055,48.58218263854685,3.643663697891014,1.2145545659636714,20,20,0,0.1,0.75,0.00912295786758383,0.15,0.04,1.34,0,353.88,5,1,0.75,1,0
8 District heating,115.67225245439825,38.557417484799416,2.3993149360688717,0.7997716453562905,20,20,0,0.1,0.98,0.0181306964746345,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,543.5084507824224,181.16948359414081,4.849145849019908,1.6163819496733025,20,20,0,0.1,1,0.06776404000000001,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,1364.0358293795714,454.67860979319045,16.849854362924116,5.616618120974706,20,20,-0.22650852980867975,0.1,3.9,0.06776404000000001,0.1,-0.01,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,882.611419010311,294.20380633677036,15.245106328359917,5.081702109453306,20,20,-0.22650852980867975,0.1,3.5,0.06776404000000001,0.1,-0.01,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,691.2760764276562,230.42535880921875,15.12166417185498,5.04055472395166,20,20,-0.22650852980867975,0.1,5.9,0.06776404000000001,0.1,-0.005,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,815.7469175701359,271.9156391900453,5.349160115214005,1.7830533717380017,20,20,-0.2630344058337938,0.1,1,0,0,-0.005,1.274286,0,0,5,1,1,1,0
