,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,218.0382357667359,72.67941192224531,7.385166050163635,2.4617220167212115,20,20,0,0.1,0.75,0.06021917323137665,0.15,0.01,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,218.0382357667359,72.67941192224531,7.385166050163635,2.4617220167212115,20,20,-0.0840642647884745,0.1,0.92,0.06021917323137665,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,190.90905435797154,63.63635145265718,9.545452717898577,3.181817572632859,20,20,0,0.1,0.75,0.11354296,0.15,-0.015,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,190.90905435797154,63.63635145265718,9.545452717898577,3.181817572632859,20,20,-0.0840642647884745,0.1,0.97,0.11354296,0.15,-0.015,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,492.3444033442424,164.11480111474745,21.10047442903896,7.03349147634632,20,20,0,0.1,0.7,0.0101599312123817,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,591.985532592482,197.32851086416065,10.433012356580374,3.4776707855267914,20,20,-0.0976107966264223,0.1,0.82,0.0101599312123817,0.3,0.05,2.07,0,0,5,1,0.85,1,0
7 Coal,182.51322778085927,60.83774259361976,4.562830694521482,1.520943564840494,20,20,0,0.1,0.75,0.0101599312123817,0.15,0.03,2.07,0,353.88,5,1,0.75,1,0
8 District heating,144.85225524761177,48.28408508253725,3.0045769159364255,1.0015256386454752,20,20,0,0.1,0.98,0.105803955288048,0.15,-0.015,2.07,0,0,5,1,0.98,1,0
9 Electric,680.6163377254782,226.87211257515938,6.072413196345783,2.024137732115261,20,20,0,0.1,1,0.0678255,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,1708.1336442555346,569.3778814185115,21.100474429038957,7.033491476346319,20,20,-0.22650852980867975,0.1,3.9,0.0678255,0.1,0,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1105.2629462829932,368.42098209433107,19.090905435797154,6.363635145265718,20,20,-0.22650852980867975,0.1,3.2,0.0678255,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,865.6604893964702,288.55349646549007,18.936323205547787,6.312107735182596,20,20,-0.22650852980867975,0.1,5.3,0.0678255,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1021.5309048979178,340.51030163263925,6.698563310806018,2.2328544369353396,20,20,-0.2630344058337938,0.1,1,0,0,0,0.845714,0,0,5,1,1,1,0
