,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,304.6837642299132,101.5612547433044,10.319933949722865,3.4399779832409547,20,20,0,0.1,0.75,0.04481154929577465,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,304.6837642299132,101.5612547433044,10.319933949722865,3.4399779832409547,20,20,-0.0840642647884745,0.1,0.92,0.04481154929577465,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,266.77380278195164,88.92460092731721,13.338690139097583,4.446230046365861,20,20,0,0.1,0.75,0.03844762,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,266.77380278195164,88.92460092731721,13.338690139097583,4.446230046365861,20,20,-0.0840642647884745,0.1,0.97,0.03844762,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,687.995596648191,229.331865549397,29.485525570636764,9.828508523545588,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,827.2328007317535,275.7442669105845,14.578954309925953,4.859651436641984,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0,2.07,0,0,5,1,0.85,1,0
7 Coal,255.041585098477,85.01386169949232,6.376039627461925,2.1253465424873084,20,20,0,0.1,0.75,0.0498417884780739,0.15,0,2.07,0,353.88,5,1,0.75,1,0
8 District heating,202.4146371889131,67.4715457296377,4.198556282785126,1.3995187609283752,20,20,0,0.1,0.98,0.0781919999374464,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,951.0843226434394,317.02810754781314,8.485510369848145,2.828503456616048,20,20,0,0.1,1,0.191,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2386.9234985753565,795.6411661917855,29.485525570636756,9.828508523545585,20,20,-0.22650852980867975,0.1,3.9,0.191,0.1,-0.037,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1544.4799108428779,514.826636947626,26.677380278195166,8.892460092731723,20,20,-0.22650852980867975,0.1,3.2,0.191,0.1,-0.032,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1209.6625875133032,403.22086250443436,26.461369101853503,8.820456367284502,20,20,-0.22650852980867975,0.1,5.3,0.191,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1427.4738569911447,475.8246189970482,9.360484308138652,3.1201614360462173,20,20,-0.2630344058337938,0.1,1,0,0,0,0.642857,0,0,5,1,1,1,0
