RTI,HTTI,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
1 Belgium (BE),1 Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22120.119140625,18510.103515625,18271.4453125,19844.966796875,16085.0849609375,18784.810546875,17078.158203125,16937.333984375,16210.8583984375,14819.6181640625,16258.1748046875,15882.40625,15676.15234375,15675.490234375,15788.462890625,15673.8291015625,15643.3447265625,15636.6162109375,15614.330078125,15575.7822265625,15553.2705078125,15529.1728515625,15501.578125,15474.3671875,15448.9150390625,15422.5634765625,15395.974609375,15369.673828125,15343.44140625,15317.0576171875,15290.703125,15264.38671875,15238.0556640625,15211.7109375,15185.376953125,15159.044921875,15132.7080078125,15106.3720703125,15080.0380859375,15053.703125,15027.3671875,15001.0322265625,14974.697265625,14948.361328125,14922.0263671875,14895.69140625,14869.35546875,14843.0205078125,14816.685546875,14790.3505859375,14764.0146484375,14737.6796875,14711.3447265625,14685.0087890625,14658.673828125,14632.3388671875,14606.00390625,14579.66796875,14553.3330078125,14526.998046875,14500.6630859375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),2 Oil condensing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,962.835693359375,891.0278930664062,973.2402954101562,1170.40771484375,1051.1295166015625,1361.21826171875,1396.739501953125,1546.4522705078125,1828.4786376953125,2005.48095703125,2584.727294921875,2868.227783203125,3208.207763671875,3570.42822265625,3945.765625,4288.193359375,4645.9423828125,5005.265625,5362.2509765625,5717.25537109375,6074.69873046875,6431.64892578125,6788.169921875,7144.79345703125,7501.64794921875,7858.3525390625,8215.041015625,8571.7705078125,8928.505859375,9285.21875,9641.9384765625,9998.6630859375,10355.384765625,10712.10546875,11068.8271484375,11425.548828125,11782.2705078125,12138.9921875,12495.7138671875,12852.435546875,13209.1572265625,13565.87890625,13922.6005859375,14279.322265625,14636.04296875,14992.7646484375,15349.486328125,15706.2080078125,16062.9296875,16419.650390625,16776.373046875,17133.09375,17489.81640625,17846.537109375,18203.259765625,18559.98046875,18916.703125,19273.423828125,19630.146484375,19986.8671875,20343.587890625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),3 Gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33729.76171875,25238.404296875,25780.533203125,27339.05078125,19967.7265625,20347.220703125,20319.279296875,19015.7734375,17291.455078125,15403.4453125,12872.90234375,11022.3935546875,8981.8623046875,6881.8388671875,4788.41357421875,2757.460693359375,685.129150390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),4 Gas condensing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12125.796875,10467.1552734375,12427.802734375,15460.9521484375,13401.7216796875,16450.00390625,18022.390625,18514.78515625,20225.21484375,21799.3359375,22293.767578125,23476.498046875,24675.6953125,25733.5078125,26758.53515625,27877.189453125,28965.61328125,30037.96484375,31119.5625,32207.845703125,33289.37109375,34371.11328125,35454.72265625,36538.08203125,37620.6640625,38703.6171875,39786.71484375,40869.6640625,41952.5859375,43035.578125,44118.5546875,45201.515625,46284.484375,47367.45703125,48450.42578125,49533.390625,50616.36328125,51699.33203125,52782.30078125,53865.26953125,54948.23828125,56031.20703125,57114.17578125,58197.14453125,59280.11328125,60363.08203125,61446.05078125,62529.01953125,63611.98828125,64694.95703125,65777.9296875,66860.8984375,67943.8671875,69026.8359375,70109.8046875,71192.7734375,72275.7421875,73358.7109375,74441.6796875,75524.6484375,76607.6171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),5 Wood stove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3709.641357421875,3106.630126953125,4058.662109375,4378.3095703125,3255.22314453125,3868.601318359375,4386.94873046875,4100.1298828125,4081.123779296875,4012.0107421875,3662.989990234375,3509.38623046875,3349.42431640625,3152.82177734375,2949.62744140625,2771.298583984375,2583.701416015625,2392.404541015625,2203.728515625,2016.6591796875,1827.7340087890625,1638.9659423828125,1450.6788330078125,1262.299560546875,1073.72216796875,885.2531127929688,696.8148803710938,508.33746337890625,319.85430908203125,131.38917541503906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),6 Wood boiler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.25235748291016,89.81822967529297,117.34317016601562,126.58475494384766,94.11431884765625,111.84817504882812,126.83452606201172,118.54207611083984,117.9925765991211,115.99440002441406,105.9035873413086,101.46263122558594,96.83783721923828,91.15371704101562,85.27899932861328,80.1231918334961,74.69942474365234,69.16868591308594,63.71372604370117,58.30521774291992,52.843055725097656,47.385433197021484,41.941715240478516,36.49533462524414,31.043224334716797,25.594249725341797,20.146163940429688,14.696944236755371,9.247559547424316,3.7986960411071777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),7 Coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.6943359375,731.6631469726562,715.289794921875,934.11669921875,614.06298828125,702.6320190429688,545.5828857421875,523.2539672851562,427.9827575683594,310.3825988769531,242.64918518066406,160.7753143310547,69.74622344970703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),8 District heating,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.55565643310547,96.0001220703125,104.88902282714844,80.0000991821289,72.88897705078125,60.44451904296875,90.66677856445312,90.66677856445312,97.77790069580078,99.55567932128906,104.88902282714844,108.62236022949219,112.9245834350586,116.86058807373047,121.12512969970703,125.19617462158203,129.33099365234375,133.44583129882812,137.58346557617188,141.70010375976562,145.8261260986328,149.95059204101562,154.0758056640625,158.19932556152344,162.32412719726562,166.4486083984375,170.5730438232422,174.69741821289062,178.82192993164062,182.9463653564453,187.07081604003906,191.19525146484375,195.31971740722656,199.44415283203125,203.568603515625,207.69305419921875,211.8175048828125,215.94195556640625,220.06640625,224.19085693359375,228.3153076171875,232.43975830078125,236.564208984375,240.68865966796875,244.8131103515625,248.93756103515625,253.06201171875,257.18646240234375,261.3109130859375,265.43536376953125,269.559814453125,273.68426513671875,277.8087158203125,281.93316650390625,286.0576171875,290.1820373535156,294.3064880371094,298.4309387207031,302.5553894042969,306.6798400878906,310.8042907714844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),9 Electric,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5899.220703125,5234.15869140625,5351.28759765625,5645.12451171875,4994.37255859375,5174.365234375,5388.47021484375,5207.4873046875,5129.6494140625,5079.8330078125,4548.810546875,4368.11328125,4142.154296875,3873.483642578125,3591.548095703125,3350.632568359375,3092.075927734375,2829.775146484375,2571.086181640625,2314.908203125,2055.664306640625,1796.8951416015625,1538.7769775390625,1280.5137939453125,1021.9462280273438,763.5645141601562,505.21533203125,246.8080596923828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),10 Heatpump Ground,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.382564067840576,14.028717994689941,23.362051010131836,33.542564392089844,43.13435745239258,49.77919006347656,59.85919189453125,71.34636688232422,85.43970489501953,98.87970733642578,117.5104751586914,140.4345703125,157.45928955078125,176.01869201660156,195.44137573242188,214.58596801757812,233.21446228027344,252.22222900390625,271.240234375,290.16363525390625,309.08172607421875,328.0493469238281,346.9989013671875,365.939208984375,384.88604736328125,403.8359069824219,422.78192138671875,441.72821044921875,460.6755676269531,479.6227111816406,498.5694580078125,517.5164184570312,536.4634399414062,555.410400390625,574.3572998046875,593.3042602539062,612.251220703125,631.1981811523438,650.1451416015625,669.0921020507812,688.0390625,706.9859619140625,725.9329223632812,744.8798828125,763.8268432617188,782.7738037109375,801.7207641601562,820.667724609375,839.6146850585938,858.5616455078125,877.508544921875,896.4555053710938,915.4024658203125,934.3494262695312,953.29638671875,972.2433471679688,991.1903076171875,1010.1372680664062,1029.084228515625,1048.0311279296875,1066.9781494140625,1085.925048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),11 Heatpump AirWater,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.429090976715088,22.595691680908203,57.28248977661133,96.28214263916016,128.96060180664062,150.59518432617188,195.5210723876953,237.96145629882812,287.08538818359375,341.3919372558594,409.31005859375,497.19921875,561.2692260742188,631.6867065429688,704.9415893554688,777.5166625976562,847.9473876953125,919.8660278320312,991.802490234375,1063.4095458984375,1134.9736328125,1206.7332763671875,1278.423828125,1350.0804443359375,1421.7596435546875,1493.45166015625,1565.12890625,1636.8070068359375,1708.4891357421875,1780.170654296875,1851.8504638671875,1923.5311279296875,1995.212158203125,2066.892822265625,2138.5732421875,2210.254150390625,2281.934814453125,2353.615478515625,2425.296142578125,2496.976806640625,2568.657470703125,2640.338134765625,2712.018798828125,2783.699462890625,2855.38037109375,2927.06103515625,2998.74169921875,3070.42236328125,3142.10302734375,3213.78369140625,3285.46435546875,3357.14501953125,3428.82568359375,3500.50634765625,3572.18701171875,3643.867919921875,3715.548583984375,3787.229248046875,3858.909912109375,3930.590576171875,4002.271240234375,4073.951904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),12 Heatpump AirAir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1066666692495346,0.1066666692495346,0.1066666692495346,0.1066666692495346,5.02606725692749,9.605267524719238,14.878067016601562,20.99566650390625,27.598068237304688,35.05966567993164,42.40366744995117,49.315189361572266,56.459651947021484,63.65752029418945,70.7826919555664,77.8927230834961,85.04053497314453,92.18023681640625,99.31056213378906,106.44489288330078,113.58232879638672,120.71714782714844,127.8517074584961,134.98716735839844,142.12255859375,149.25759887695312,156.3927764892578,163.5280303955078,170.66323852539062,177.7984161376953,184.93362426757812,192.06881713867188,199.2040252685547,206.33921813964844,213.47442626953125,220.609619140625,227.74481201171875,234.88002014160156,242.0152130126953,249.15042114257812,256.2856140136719,263.4208068847656,270.5560302734375,277.69122314453125,284.826416015625,291.96160888671875,299.0968322753906,306.2320251464844,313.3672180175781,320.5024108886719,327.63763427734375,334.7728271484375,341.90802001953125,349.043212890625,356.17840576171875,363.3136291503906,370.4488220214844,377.5840148925781,384.7192077636719,391.85443115234375,398.9896240234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1 Belgium (BE),13 Solar Thermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,250.0,263.0,275.0,285.0,291.0,301.3999938964844,310.67999267578125,319.45599365234375,328.315185546875,337.5838317871094,346.5841369628906,355.5777282714844,364.62896728515625,373.6911315917969,382.7170715332031,391.7550048828125,400.79925537109375,409.8396911621094,418.87762451171875,427.918212890625,436.95867919921875,445.9984130859375,455.03826904296875,464.07843017578125,473.1184387207031,482.15838623046875,491.1983947753906,500.2384033203125,509.2784118652344,518.3184204101562,527.3583984375,536.3983764648438,545.4384155273438,554.4783935546875,563.5183715820312,572.5584106445312,581.598388671875,590.638427734375,599.6784057617188,608.7183837890625,617.7584228515625,626.7984008789062,635.83837890625,644.87841796875,653.9183959960938,662.9583740234375,671.9984130859375,681.0383911132812,690.0784301757812,699.118408203125,708.1583862304688,717.1984252929688,726.2384033203125,735.2783813476562,744.3184204101562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
