,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,257.87714805241376,85.95904935080459,8.734548563065626,2.9115161876885423,20,20,0,0.1,0.75,0.06021917323137665,0.15,0,1.34,0,266.76,5,1,0.75,1,0
2 Oil condensing,257.87714805241376,85.95904935080459,8.734548563065626,2.9115161876885423,20,20,-0.0840642647884745,0.1,0.92,0.06021917323137665,0.15,0,1.34,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,225.79105129013186,75.26368376337729,11.289552564506593,3.7631841881688644,20,20,0,0.1,0.75,0.027929179999999998,0.15,0.015,1.34,0,201.96,5,1,0.75,1,0
4 Gas condensing,225.79105129013186,75.26368376337729,11.289552564506593,3.7631841881688644,20,20,-0.0840642647884745,0.1,0.97,0.027929179999999998,0.15,0,1.34,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,582.3032375377085,194.10107917923617,24.955853037330368,8.318617679110123,20,20,0,0.1,0.7,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.7,1,0
6 Wood boiler,700.1503213251019,233.38344044170063,12.339282890680014,4.113094296893338,20,20,-0.0976107966264223,0.1,0.82,0.00912295786758383,0.3,0,1.34,0,0,5,1,0.85,1,0
7 Coal,215.8611791021884,71.95372636739613,5.396529477554711,1.7988431591849035,20,20,0,0.1,0.75,0.00912295786758383,0.15,0,1.34,0,353.88,5,1,0.75,1,0
8 District heating,171.31897229335948,57.10632409778649,3.5535589593318857,1.1845196531106286,20,20,0,0.1,0.98,0.0329819432502149,0.15,0,1.34,0,0,5,1,0.98,1,0
9 Electric,804.9753267967945,268.32510893226487,7.181935734174534,2.393978578058178,20,20,0,0.1,1,0.08184716,0.1,0,1.34,0,0,5,1,1,0,0
10 Heatpump Ground,2020.2357220696008,673.4119073565336,24.955853037330364,8.31861767911012,20,20,-0.22650852980867975,0.1,3.9,0.08184716,0.1,-0.015,1.34,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1307.2113495744477,435.7371165248159,22.579105129013186,7.526368376337729,20,20,-0.22650852980867975,0.1,3.2,0.08184716,0.1,-0.013,1.34,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1023.8298681981689,341.27662273272296,22.39627836683494,7.465426122278314,20,20,-0.22650852980867975,0.1,5.3,0.08184716,0.1,0,1.34,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1208.1801867278984,402.7267289092995,7.922493027723924,2.640831009241308,20,20,-0.2630344058337938,0.1,1,0,0,0,0.977,0,0,5,1,1,1,0
