,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,266.62990986203147,88.87663662067716,4.999310809913089,1.6664369366376963,20,20,0,0.1,0.75,0.05667880281690141,0.15,0,2.07,0,266.76,5,1,0.75,1,0
2 Oil condensing,266.62990986203147,88.87663662067716,4.999310809913089,1.6664369366376963,20,20,-0.0840642647884745,0.1,0.92,0.05667880281690141,0.15,0,2.07,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,217.6570692751277,72.55235642504256,7.481961756332516,2.4939872521108386,20,20,0,0.1,0.75,0.07545532,0.15,0,2.07,0,201.96,5,1,0.75,1,0
4 Gas condensing,217.6570692751277,72.55235642504256,7.481961756332516,2.4939872521108386,20,20,-0.0840642647884745,0.1,0.97,0.07545532,0.15,0,2.07,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,571.3498068472103,190.44993561573676,28.567490342360514,9.522496780786838,20,20,0,0.1,0.7,0.046,0.3,0,2.07,0,0,5,1,0.7,1,0
6 Wood boiler,809.4122263668812,269.80407545562707,12.69666237438245,4.232220791460817,20,20,-0.0976107966264223,0.1,0.82,0.046,0.3,0.03,2.07,0,0,5,1,0.85,1,0
7 Coal,248.69373864430105,82.89791288143368,5.579696297384813,1.8598987657949377,20,20,0,0.1,0.75,0.0344548581255374,0.15,0,2.07,0,353.88,5,1,0.75,1,0
8 District heating,195.53678882670144,65.17892960890048,4.055893509705843,1.351964503235281,20,20,0,0.1,0.98,0.0781919999374464,0.15,0,2.07,0,0,5,1,0.98,1,0
9 Electric,918.7674218418769,306.2558072806256,8.19718115408436,2.73239371802812,20,20,0,0.1,1,0.229,0.1,0,2.07,0,0,5,1,1,0,0
10 Heatpump Ground,2992.784702533006,997.5949008443354,34.00891707423871,11.336305691412903,20,20,-0.22650852980867975,0.1,3.9,0.229,0.1,-0.04,2.07,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,1768.4636878604126,589.4878959534709,28.56749034236051,9.522496780786836,20,20,-0.22650852980867975,0.1,3.2,0.229,0.1,-0.043,2.07,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,1391.7495294996147,463.9165098332049,11.719996037891493,3.9066653459638307,20,20,-0.22650852980867975,0.1,5.3,0.229,0.1,0,2.07,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1360.3566829695483,453.4522276565161,9.06904455313032,3.02301485104344,20,20,-0.2630344058337938,0.1,1,0,0,0,0.605714,0,0,5,1,1,1,0
