,1 Inv cost mean (EUR/Kw),2 Inv Cost SD,3 O&M mean (EUR/kW),4 O&M SD,5 Lifetime,6 Leadtime,7 Investment LR,8 Discount rate,9 Conversion efficiency,10 Fuel cost  (EUR/kWh),11 Fuel cost SD,12 Gamma value,13 Capacity factor mean,14 Capacity factor SD,15 Emission factor,"16 Payback time, mean","17 Payback time, SD",18 UD/FD,19 RES calc,20 Efficiency LR
1 Oil,157.85999999999999,52.62,7.893000000000001,2.6310000000000002,20,20,0,0.1,0.75,0.06914352692941698,0.15,0,2.47,0,266.76,5,1,0.75,1,0
2 Oil condensing,157.85999999999999,52.62,7.893000000000001,2.6310000000000002,20,20,-0.0840642647884745,0.1,0.92,0.06914352692941698,0.15,0,2.47,0,266.76,5,1,0.86,1,-0.02856915219677092
3 Gas,194.19285714285712,64.73095238095237,12.528571428571428,4.1761904761904765,20,20,0,0.1,0.75,0.02182708,0.15,0.015,2.47,0,201.96,5,1,0.75,1,0
4 Gas condensing,194.19285714285712,64.73095238095237,12.528571428571428,4.1761904761904765,20,20,-0.0840642647884745,0.1,0.97,0.02182708,0.15,0.015,2.47,0,201.96,5,1,0.9,1,-0.02856915219677092
5 Wood stove,526.2,175.4,26.310000000000002,8.770000000000001,20,20,0,0.1,0.7,0.00832244196044712,0.3,0,2.47,0,0,5,1,0.7,1,0
6 Wood boiler,789.3,263.09999999999997,11.693333333333333,3.897777777777778,20,20,-0.0976107966264223,0.1,0.82,0.00832244196044712,0.3,0,2.47,0,0,5,1,0.85,1,0
7 Coal,132.13984251968503,44.04661417322834,3.303496062992126,1.1011653543307087,20,20,0,0.1,0.75,0.00832244196044712,0.15,0,2.47,0,353.88,5,1,0.75,1,0
8 District heating,184.90388253458363,61.634627511527874,3.835341991608999,1.278447330536333,20,20,0,0.1,0.98,0.0333327601031814,0.15,0,2.47,0,0,5,1,0.98,1,0
9 Electric,868.8066550761228,289.6022183587076,7.7514345526704425,2.583811517556814,20,20,0,0.1,1,0.09572834,0.1,0,2.47,0,0,5,1,1,0,0
10 Heatpump Ground,2380.4285714285716,793.4761904761905,25.057142857142857,8.352380952380953,20,20,-0.22650852980867975,0.1,3.9,0.09572834,0.1,-0.035,2.47,0,0,5,1,1,0.714285714285714,-0.09761079662642234
11 Heatpump AirWater,914.5857142857143,304.8619047619048,21.298571428571428,7.099523809523809,20,20,-0.22650852980867975,0.1,2.7,0.09572834,0.1,-0.032,2.09,0,0,5,1,1,0.6,-0.09761079662642234
12 Heatpump AirAir,458.7384615384616,152.91282051282053,16.19076923076923,5.396923076923077,20,20,-0.22650852980867975,0.1,4.6,0.09572834,0.1,-0.005,2.22,0,0,5,1,1,0.6,-0.09761079662642234
13 Solar Thermal,1774.8809523809523,591.6269841269841,8.352380952380951,2.7841269841269836,20,20,-0.2630344058337938,0.1,1,0,0,-0.05,0.794286,0,0,5,1,1,1,0
